trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,744,2841,0.000100000000000000004792173602
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,747,391,1,0.000100000000000000004792173602
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,379,389,1,0.259378161844333765539971636827
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2320,553,2620,0.998999999999999999111821580300
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,2.000000000000000000000000000000,5000,667,1,0.000100000000000000004792173602
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,886,499,1,0.000100000000000000004792173602
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3749,609,1367,0.998999999999999999111821580300
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,172,502,5000,0.000100000000000000004792173602
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,269,1,0.000100000000000000004792173602
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,657,1288,0.657916100451802154935876387754
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,392,619,2798,0.000100000000000000004792173602
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,739,4625,0.000100000000000000004792173602
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,4496,722,5000,0.415478301432816832239325322007
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,504,989,0.000100000000000000004792173602
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,2740,665,5000,0.000100000000000000004792173602
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,801,3550,0.000100000000000000004792173602
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,1760,552,5000,0.000100000000000000004792173602
59,59_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,9.000000000000000000000000000000,3671,581,537,0.000100000000000000004792173602
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3611,594,3110,0.000100000000000000004792173602
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,1360,374,4099,0.000100000000000000004792173602
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,389,261,1880,0.000100000000000000004792173602
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3613,655,4297,0.000100000000000000004792173602
64,64_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,1353,387,1920,0.998999999999999999111821580300
65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1335,231,2447,0.000100000000000000004792173602
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1353,192,2829,0.998999999999999999111821580300
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3600,525,2338,0.998999999999999999111821580300
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,1315,317,2016,0.000100000000000000004792173602
69,69_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3625,565,4110,0.998999999999999999111821580300
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3594,619,1946,0.000100000000000000004792173602
71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1376,91,2210,0.998999999999999999111821580300
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,344,54,1702,0.998999999999999999111821580300
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1403,124,1083,0.000100000000000000004792173602
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3428,2619,2234,0.418989927311845311574955985634
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1389,227,3865,0.998999999999999999111821580300
76,76_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2349,2504,0.998999999999999999111821580300
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,1329,486,2457,0.000100000000000000004792173602
78,78_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,1404,501,3921,0.000100000000000000004792173602
79,79_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,253,2976,2010,0.000100000000000000004792173602
80,80_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1338,26,4081,0.000100000000000000004792173602
81,81_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,253,2977,3717,0.033392388989397489562627185933
82,82_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3430,2747,1069,0.998999999999999999111821580300
83,83_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2707,2211,0.998999999999999999111821580300
84,84_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2564,3108,1903,0.000100000000000000004792173602
85,85_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,1404,261,1742,0.998999999999999999111821580300
86,86_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3057,3489,3652,0.000100000000000000004792173602
87,87_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1396,51,2702,0.000100000000000000004792173602
88,88_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2023,2796,0.998999999999999999111821580300
89,89_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1856,3423,1724,0.998999999999999999111821580300
90,90_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,552,3845,0.168038693321868604080293607694
91,91_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,572,3040,0.474219321833147133826713570670
92,92_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,586,871,0.611756254272196930976690509851
93,93_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3436,483,3918,0.266319247313980822511325641244
94,94_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,570,745,0.998999999999999999111821580300
95,95_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,525,2111,0.276928153634105556069044951073
96,96_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,1852,484,1011,0.207328458996599351848999504000
97,97_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,658,4138,0.274570150054494144242767106334
98,98_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,2.000000000000000000000000000000,5000,510,178,0.694193590851763242532967979059
99,99_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,600,3468,0.346610178969532167769784791744
100,100_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,4810,557,2928,0.768076871629339796854196720233
101,101_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,4.000000000000000000000000000000,5000,584,470,0.475710737662674909564941572171
102,102_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,2.000000000000000000000000000000,5000,642,357,0.894285661100432172077034920221
103,103_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,3.000000000000000000000000000000,5000,591,1,0.395750783416410401027718535261
104,104_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,4911,473,3782,0.410091716338582601419915363294
105,105_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,590,4867,0.998999999999999999111821580300
106,106_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,2.000000000000000000000000000000,4027,563,245,0.998999999999999999111821580300
107,107_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,520,4445,0.279439856449611112587660954887
108,108_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,587,2569,0.257737328240880192442574525558
109,109_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,532,3935,0.000100000000000000004792173602
110,110_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,533,5000,0.885078124050834857960978752089
111,111_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,61,424,1004,0.199630972997956235293059989999
112,112_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,1856,533,686,0.455718247614820326507611980560
113,113_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,555,3770,0.278816585083378032372536381445
114,114_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2982,498,3421,0.387991985181496301660075687323
115,115_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,4962,719,3562,0.998999999999999999111821580300
116,116_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3636,570,1,0.795379371104020904681419779081
117,117_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,4898,578,1,0.998999999999999999111821580300
118,118_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,4423,565,605,0.853439713120617615693674906652
119,119_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3057,547,4296,0.233827436762688384286335008255
120,120_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,364,2994,0.000100000000000000004792173602
121,121_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,412,2563,0.998999999999999999111821580300
122,122_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,562,2410,0.998999999999999999111821580300
123,123_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,1,0.000100000000000000004792173602
124,124_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,5000,0.998999999999999999111821580300
125,125_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4052,5000,0.998999999999999999111821580300
126,126_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3923,1,0.998999999999999999111821580300
127,127_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,1,0.000100000000000000004792173602
128,128_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,5000,0.998999999999999999111821580300
129,129_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3676,1,0.000100000000000000004792173602
130,130_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4236,5000,0.000100000000000000004792173602
131,131_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2660,5000,5000,0.998999999999999999111821580300
132,132_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,5000,366,2554,0.998999999999999999111821580300
133,133_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4700,1,0.998999999999999999111821580300
134,134_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,1,0.998999999999999999111821580300
135,135_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,525,5000,0.998999999999999999111821580300
136,136_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,2749,0.000100000000000000004792173602
137,137_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3816,1829,0.000100000000000000004792173602
138,138_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4067,1,0.000100000000000000004792173602
139,139_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,4667,0.000100000000000000004792173602
140,140_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3198,5000,0.000100000000000000004792173602
141,141_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,537,99,0.998999999999999999111821580300
142,142_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4509,1,0.000100000000000000004792173602
143,143_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4463,2661,0.998999999999999999111821580300
144,144_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2123,5000,0.998999999999999999111821580300
145,145_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3370,5000,0.000100000000000000004792173602
146,146_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,189,2694,0.000100000000000000004792173602
147,147_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4473,3068,0.000100000000000000004792173602
148,148_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,4236,1321,0.000100000000000000004792173602
149,149_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,644,1953,0.998999999999999999111821580300
150,150_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,1910,430,3114,0.998999999999999999111821580300
151,151_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,5000,259,3092,0.998999999999999999111821580300
152,152_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,1108,410,2974,0.998999999999999999111821580300
153,153_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,547,1821,0.000100000000000000004792173602
154,154_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2153,461,3484,0.000100000000000000004792173602
155,155_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,303,449,3068,0.000100000000000000004792173602
156,156_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,2766,369,5000,0.998999999999999999111821580300
157,157_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,464,3044,0.998999999999999999111821580300
158,158_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,3029,441,3086,0.998999999999999999111821580300
159,159_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,558,5000,0.000100000000000000004792173602
160,160_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3436,5000,0.998999999999999999111821580300
161,161_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2573,5000,0.000100000000000000004792173602
162,162_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2549,3882,0.000100000000000000004792173602
163,163_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,262,2680,0.998999999999999999111821580300
164,164_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,99,3005,0.998999999999999999111821580300
165,165_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3624,1,0.998999999999999999111821580300
166,166_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,610,2914,0.000100000000000000004792173602
167,167_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2658,5000,0.998999999999999999111821580300
168,168_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,420,420,2066,0.998999999999999999111821580300
169,169_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,5000,513,1589,0.998999999999999999111821580300
170,170_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,5000,366,3374,0.000100000000000000004792173602
171,171_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,920,448,3231,0.000100000000000000004792173602
172,172_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,295,1480,0.998999999999999999111821580300
173,173_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,5000,0.998999999999999999111821580300
174,174_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2060,4750,0.998999999999999999111821580300
175,175_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3052,1,0.998999999999999999111821580300
176,176_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,2437,415,3030,0.998999999999999999111821580300
177,177_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,3467,1,0.000100000000000000004792173602
178,178_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3899,5000,0.000100000000000000004792173602
179,179_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3447,482,2986,0.998999999999999999111821580300
180,180_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,323,490,788,0.721028396437610741287471682881
181,181_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,1766,520,820,0.750726692044117682733883611945
182,182_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1657,213,3320,0.272875050852120215605367548051
183,183_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,344,3539,0.211780434760439478791838041616
184,184_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,565,2369,0.000100000000000000004792173602
185,185_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,5000,311,1664,0.998999999999999999111821580300
