trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,5.000000000000000000000000000000,1774,1704,1672,0.611283894777297942546567810496
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4764,4678,4993,0.155685069787409147146206578327
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,1.000000000000000000000000000000,3008,1091,1178,0.884247619940433660090661760478
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1000,2801,2935,0.350944315099623038722853607396
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,0.000000000000000000000000000000,501,292,4369,0.417283789364248480779906458338
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3449,3562,2299,0.817919545548968063286565666203
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4247,2150,3564,0.081542561892420054037167176375
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2193,4194,557,0.685414966517500556797415356414
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,1.000000000000000000000000000000,1943,697,3410,0.773392952707037339976636758365
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3953,3030,90,0.489114646906591954422793833146
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,1.000000000000000000000000000000,3199,1315,3893,0.718481607547029832439022811741
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,207,4922,2134,0.013371798569895326086465203730
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,628,2392,717,0.188953667375165973441042410741
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2680,3805,2787,0.542888338868599329423147992202
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,1.000000000000000000000000000000,4392,520,1514,0.305728021558839824223241521395
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1446,3167,4522,0.956791041188221447200135116873
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,5.000000000000000000000000000000,1364,379,296,0.108403103228937841562284916108
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4627,3357,3226,0.627287509124446640562666743790
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2598,2257,2011,0.397923428686987601388125312951
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,863,3969,4004,0.868428998165298282607693636237
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,130,1460,2600,0.926959806774742878232586917875
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3429,4728,921,0.339396398948505539916453699334
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,1.000000000000000000000000000000,3876,828,4626,0.576559581576474022845957279060
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2174,2870,1383,0.159127188645675765599207807099
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2431,2031,4769,0.254907060477696345568432434447
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4168,4362,1839,0.976325732290744818797634252405
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3687,139,3085,0.247760346589051189125640917155
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,422,3744,1094,0.515241881680488567063491700537
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,1.000000000000000000000000000000,1233,1214,2463,0.714240236083324986360310049349
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2934,2629,4144,0.048758213315252214858919188600
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,521,449,1,0.000100000000000000004792173602
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2337,551,1649,0.000100000000000000004792173602
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,394,1,0.000100000000000000004792173602
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,1190,591,4875,0.000100000000000000004792173602
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,3749,610,1412,0.001065563502493705122856071377
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,587,513,2217,0.000100000000000000004792173602
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,1.000000000000000000000000000000,2373,516,1,0.000100000000000000004792173602
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2303,588,3015,0.000100000000000000004792173602
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,1.000000000000000000000000000000,179,509,1,0.000100000000000000004792173602
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,543,5000,0.000100000000000000004792173602
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,0.000000000000000000000000000000,592,500,948,0.000100000000000000004792173602
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2066,659,5000,0.000100000000000000004792173602
