trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0_0,COMPLETED,SOBOL,0.160000000000000003330669073875,840.000000000000000000000000000000,1083,2611,0.070542474478483205291290403238,11,0.05
1,1_0,COMPLETED,SOBOL,0.190000000000000002220446049250,824.000000000000000000000000000000,3129,1989,0.680266904624179047367249495437,26,0.25
2,2_0,COMPLETED,SOBOL,0.149999999999999994448884876874,775.000000000000000000000000000000,4730,4890,0.889683827124536086294881442882,50,0.001
3,3_0,COMPLETED,SOBOL,0.410000000000000031086244689504,1734.000000000000000000000000000000,1982,511,0.360119819998741153010968218950,15,0.01
4,4_0,COMPLETED,SOBOL,0.140000000000000013322676295502,808.000000000000000000000000000000,1436,3869,0.530711051404476163995127535600,43,0.25
5,5_0,COMPLETED,SOBOL,0.359999999999999986677323704498,1194.000000000000000000000000000000,4353,750,0.219490960024297243613489172276,22,0.01
6,6_0,COMPLETED,SOBOL,0.110000000000000000555111512313,900.000000000000000000000000000000,2750,3631,0.460092540236189950775269608130,4,0.025
7,7_0,COMPLETED,SOBOL,0.149999999999999994448884876874,776.000000000000000000000000000000,540,1750,0.789099973971024160057652352407,33,0.1
8,8_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1041.000000000000000000000000000000,160,4393,0.287202520200982691633839749557,35,0.001
9,9_0,FAILED,SOBOL,,,3115,11,0.961982364999130368232727050781,2,0.01
10,10_0,COMPLETED,SOBOL,0.200000000000000011102230246252,794.000000000000000000000000000000,4013,3107,0.731134507544338729800870169129,24,0.1
11,11_0,COMPLETED,SOBOL,0.209999999999999992228438827624,820.000000000000000000000000000000,1763,2489,0.019075132891535759999124266528,41,0.01
12,12_0,COMPLETED,SOBOL,0.070000000000000006661338147751,953.000000000000000000000000000000,2320,3190,0.871755753383040454806973684754,19,0.005
13,13_0,COMPLETED,SOBOL,0.300000000000000044408920985006,929.000000000000000000000000000000,4407,1312,0.378040294475853466682480075178,46,0.1
