trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
0,0_0,FAILED,GenerationStep_0,,,2524,4197,9,0.149403059870004656373154716675
1,1_0,FAILED,GenerationStep_0,,,1872,852,3,0.851514814341440828826534925611
2,2_0,FAILED,GenerationStep_0,,,53,3472,8,0.460014991676434892298175327596
3,3_0,COMPLETED,GenerationStep_0,0.609999999999999986677323704498,7080.000000000000000000000000000000,4304,1495,1,0.537103394409641610174332981842
4,4_0,FAILED,GenerationStep_0,,,4768,2522,5,0.726303057719022038263290141913
5,5_0,FAILED,GenerationStep_0,,,839,2429,9,0.274720943156629815451452714115
6,6_0,FAILED,GenerationStep_0,,,2336,4493,2,0.911829961046576542571528989356
7,7_0,COMPLETED,GenerationStep_0,0.619999999999999995559107901499,5763.000000000000000000000000000000,3310,533,6,0.085211805939674381549231441113
8,8_0,FAILED,GenerationStep_0,,,3492,3385,3,0.369281126374378820820254532009
9,9_0,FAILED,GenerationStep_0,,,2115,1564,7,0.633555486807599654852651838155
10,10_0,FAILED,GenerationStep_0,,,963,3952,5,0.054961105814203617403457258206
11,11_0,FAILED,GenerationStep_0,,,4683,1076,8,0.944136985307559406521704659099
12,12_0,FAILED,GenerationStep_0,,,3907,4894,7,0.758842907045036541013871556061
13,13_0,COMPLETED,GenerationStep_0,0.790000000000000035527136788005,1685.000000000000000000000000000000,489,153,1,0.244160739380866298464667352164
14,14_0,FAILED,GenerationStep_0,,,1338,3078,10,0.569364256113767619460475088999
15,15_0,FAILED,GenerationStep_0,,,3019,1892,4,0.429596302822232267715207854053
16,16_0,FAILED,GenerationStep_0,,,2845,2897,6,0.904277240298688389508185991872
17,17_0,FAILED,GenerationStep_0,,,1550,2053,3,0.108359235890209681940632435726
18,18_0,FAILED,GenerationStep_0,,,355,4752,8,0.703156460564583585259867959394
19,19_0,COMPLETED,GenerationStep_0,0.729999999999999982236431605997,2695.000000000000000000000000000000,4001,275,4,0.282274734642356639469085166638
20,20_0,FAILED,GenerationStep_0,,,4465,3820,1,0.483161529345437879001678993518
21,21_0,FAILED,GenerationStep_0,,,1141,1227,7,0.529549662409350307967770277173
22,22_0,FAILED,GenerationStep_0,,,2014,3214,4,0.156955727638676767465852890382
23,23_0,FAILED,GenerationStep_0,,,3632,1754,10,0.828367443876340980857264639781
24,24_0,FAILED,GenerationStep_0,,,3170,4683,3,0.624186490751802880438958709419
25,25_0,COMPLETED,GenerationStep_0,0.690000000000000057731597280508,4433.000000000000000000000000000000,2437,362,10,0.390368777386844167942570038576
26,26_0,FAILED,GenerationStep_0,,,660,2673,2,0.798071503218263367251950057835
27,27_0,FAILED,GenerationStep_0,,,4985,2298,8,0.189339337538927787729647889137
28,28_0,FAILED,GenerationStep_0,,,4209,3595,9,0.015732569126412271343085080844
29,29_0,FAILED,GenerationStep_0,,,186,1353,5,0.998958327664062339934503143013
30,30_0,RUNNING,GenerationStep_0,,,1660,4358,6,0.314458951221778970630538196929
31,31_0,RUNNING,GenerationStep_0,,,2696,672,2,0.672782952757552288325371137034
32,32_0,RUNNING,GenerationStep_0,,,2759,3550,5,0.815614223802462179335748260200
33,33_0,RUNNING,GenerationStep_0,,,1637,1417,8,0.175694617608562114741133086682
