trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
0,0_0,FAILED,SOBOL,,,2275,4278,3244,0.394037879943847646480037383299,0.183407091140747074975436703426,9.198594371676444225727209413890,str\(\'t-test\'\),16,str\(\'bounded\'\)
1,1_0,FAILED,SOBOL,,,3719,1765,2383,0.507166552454233143798489891196,0.752737497614696660086508472887,4.607265552842989997373024380067,str\(\'ks-test\'\),31,str\(\'bounded\'\)
2,2_0,FAILED,SOBOL,,,4962,3079,3995,0.175749626765027644470507084407,0.602952483261004035242081044998,1.484548469156958150350078540214,str\(\'t-test\'\),44,str\(\'bounded\'\)
3,3_0,FAILED,SOBOL,,,1020,568,379,0.787821212776005252997890693223,0.455018797867000113210877998426,7.321783043552191116987160057761,str\(\'ks-test\'\),4,str\(\'bounded\'\)
4,4_0,FAILED,SOBOL,,,203,3598,1613,0.962348909605294511315776162519,0.306721826553344734112016567451,7.546417552751489843387844302924,str\(\'t-test\'\),50,str\(\'bounded\'\)
5,5_0,FAILED,SOBOL,,,3756,1106,2764,0.077478064505383373306024452631,0.626537012191489384171916299238,3.740153511166572464219370885985,str\(\'ks-test\'\),10,str\(\'bounded\'\)
6,6_0,FAILED,SOBOL,,,2502,4989,1095,0.744075881909579073258953485492,0.978675811091437974909013064462,0.613495762473903583078538304107,str\(\'t-test\'\),23,str\(\'bounded\'\)
7,7_0,FAILED,SOBOL,,,1450,2496,4530,0.358147945662960431878474309997,0.082257368840277192423293683987,5.673604057809338740980820148252,str\(\'ks-test\'\),38,str\(\'bounded\'\)
8,8_0,FAILED,SOBOL,,,1730,2772,781,0.032075864426791667050054002175,0.840588390132412266453343363537,6.473473390360363843853974685771,str\(\'t-test\'\),45,str\(\'bounded\'\)
9,9_0,FAILED,SOBOL,,,2866,260,4846,0.885938619459047949078467354411,0.224233196567744014204848213012,2.310945101596415085509761411231,str\(\'ks-test\'\),10,str\(\'bounded\'\)
10,10_0,FAILED,SOBOL,,,4119,3960,1512,0.312787623330950725897281472498,0.390830750573426477512128940361,4.188633768915199340199251309969,str\(\'t-test\'\),22,str\(\'bounded\'\)
11,11_0,FAILED,SOBOL,,,485,1447,2862,0.667593257473781731548001516785,0.554114396063610903375717953168,9.595236895097420060096737870481,str\(\'ks-test\'\),32,str\(\'bounded\'\)
12,12_0,FAILED,SOBOL,,,753,4672,4131,0.584550026183947912805649593793,0.718255870794877404605927040393,5.621129977154546430995196715230,str\(\'t-test\'\),15,str\(\'bounded\'\)
13,13_0,FAILED,SOBOL,,,4623,2179,246,0.440412303473800448294639409141,0.351415920373052359515497755638,0.683001135649159540896846465330,str\(\'ks-test\'\),26,str\(\'bounded\'\)
14,14_0,FAILED,SOBOL,,,3379,3291,3631,0.865277020795270801478693556419,0.014140412632375955193086980444,2.554937337958254062186824739911,str\(\'t-test\'\),38,str\(\'bounded\'\)
15,15_0,FAILED,SOBOL,,,2010,799,1994,0.222082177195698032834414448189,0.925908844722434842822167411214,8.748741304796189055537070089485,str\(\'ks-test\'\),3,str\(\'bounded\'\)
16,16_0,FAILED,SOBOL,,,2053,3254,4756,0.717560253689065619120412975462,0.499919159293174764080447403103,1.081802314103580853199559896893,str\(\'ks-test\'\),41,str\(\'bounded\'\)
17,17_0,FAILED,SOBOL,,,3188,746,871,0.323744070954620821733982438673,0.569746921272948347869657936826,5.205269569296390841373067814857,str\(\'t-test\'\),1,str\(\'bounded\'\)
18,18_0,FAILED,SOBOL,,,4442,4410,3006,0.998214936317875944915556374326,0.793724587360396971469356230955,8.327073619763366352231059863698,str\(\'ks-test\'\),14,str\(\'bounded\'\)
19,19_0,FAILED,SOBOL,,,806,1903,1368,0.105455844730138775799943573475,0.146318959392607222946836031952,2.959526722008362309424001068692,str\(\'t-test\'\),28,str\(\'bounded\'\)
20,20_0,FAILED,SOBOL,,,451,3835,157,0.147284532558172948091268494863,0.123244064494967456302454422712,1.953643995619378959105461035506,str\(\'ks-test\'\),20,str\(\'bounded\'\)
21,21_0,FAILED,SOBOL,,,4320,1348,4221,0.751467875799164186645384688745,0.941587039874866582600532183278,6.852716645946727247462604282191,str\(\'t-test\'\),34,str\(\'bounded\'\)
22,22_0,FAILED,SOBOL,,,3076,2560,2137,0.427954450894147131467804001659,0.671437767708674027034021492000,9.980287465107627653537747391965,str\(\'ks-test\'\),47,str\(\'bounded\'\)
23,23_0,FAILED,SOBOL,,,1706,71,3488,0.533194885281845887270435468963,0.273516896598041070465257007527,3.825544420093298203511267274735,str\(\'t-test\'\),7,str\(\'bounded\'\)
24,24_0,FAILED,SOBOL,,,1368,4717,2238,0.830994964823126847086598445458,0.525051042890176122845957706886,3.336623195736668989752615743782,str\(\'ks-test\'\),25,str\(\'bounded\'\)
25,25_0,FAILED,SOBOL,,,2810,2211,3389,0.195444715367630111879648779905,0.408198278184980167804241091289,7.967008289558814126962715818081,str\(\'t-test\'\),35,str\(\'bounded\'\)
26,26_0,FAILED,SOBOL,,,4054,3572,470,0.612649640016257768238006065076,0.199083903256803751435910498913,6.090237460603006525161617901176,str\(\'ks-test\'\),48,str\(\'bounded\'\)
27,27_0,FAILED,SOBOL,,,111,1064,3905,0.476156511450186392675476554359,0.861839759005233685407176835724,0.213941852636635315709767724002,str\(\'t-test\'\),12,str\(\'bounded\'\)
