start_time,end_time,run_time,program_string,n_samples,threshold,outlier_detector_kwargs,result,exit_code,signal,hostname
1727347851,1727347859,8,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 678 threshold 0.7079529713839294 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",678,0.7079529713839294,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7106
1727347851,1727347859,8,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 103 threshold 0.6418038794770837 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",103,0.6418038794770837,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7106
1727347851,1727347859,8,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 571 threshold 0.7325139811262489 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",571,0.7325139811262489,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7106
1727347851,1727347859,8,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 366 threshold 0.22670975364744664 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",366,0.22670975364744664,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7106
1727347851,1727347859,8,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 466 threshold 0.4758815916255117 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",466,0.4758815916255117,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7106
1727347873,1727347876,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 483 threshold 0.7862389646470547 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",483,0.7862389646470547,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347873,1727347876,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 517 threshold 0.5200113808736206 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",517,0.5200113808736206,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347873,1727347876,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 726 threshold 0.7681793697178365 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",726,0.7681793697178365,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347873,1727347876,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 249 threshold 0.7263379601761699 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",249,0.7263379601761699,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
1727347873,1727347876,3,"module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 OneClassDriftDetector n_samples 620 threshold 0.5139205345883966 outlier_detector_kwargs {'nu':0.5,'kernel':'rbf','gamma':'auto'}",620,0.5139205345883966,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}",None,1,None,i7122
