start_time,end_time,run_time,program_string,n_samples,n_permutations,update_interval,n_consecutive_deviations,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727665545,1727666210,665,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 138 n_permutations 31 update_interval 144 n_consecutive_deviations 5,138,31,144,5,0.2780861070911722,0,None,i7181,658,3.4134113882168e-05
1727665455,1727666278,823,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 317 n_permutations 50 update_interval 50 n_consecutive_deviations 5,317,50,50,5,0.2505752532561505,0,None,i7181,816,1.5687442920695523e-05
1727665365,1727666301,936,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 310 n_permutations 26 update_interval 50 n_consecutive_deviations 4,310,26,50,4,0.25237095996140857,0,None,i7186,928,1.3771368480600837e-05
1727665435,1727666327,892,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 144 n_permutations 50 update_interval 50 n_consecutive_deviations 1,144,50,50,1,0.2605342498794019,0,None,i7186,884,1.0127655818217078e-05
1727665305,1727666340,1035,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 575 n_permutations 40 update_interval 131 n_consecutive_deviations 5,575,40,131,5,0.2685335262904004,0,None,i7186,1028,3.11931755691411e-05
1727665535,1727666376,841,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 321 n_permutations 45 update_interval 50 n_consecutive_deviations 4,321,45,50,4,0.2520935841775205,0,None,i7181,834,1.4561826660234765e-05
1727665615,1727666381,766,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 188 n_permutations 50 update_interval 50 n_consecutive_deviations 2,188,50,50,2,0.2631934394597202,0,None,i7181,759,1.1021686328948638e-05
1727665696,1727666485,789,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 138 n_permutations 45 update_interval 100 n_consecutive_deviations 2,138,45,100,2,0.2728316449589966,0,None,i7186,782,2.0037612288488294e-05
1727665635,1727666488,853,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 323 n_permutations 23 update_interval 55 n_consecutive_deviations 1,323,23,55,1,0.2574107573564882,0,None,i7181,845,1.1301759189374671e-05
1727665916,1727666518,602,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 137 n_permutations 25 update_interval 131 n_consecutive_deviations 4,137,25,131,4,0.27815484804630974,0,None,i7174,596,2.982050293721889e-05
1727665836,1727666624,788,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 141 n_permutations 10 update_interval 50 n_consecutive_deviations 1,141,10,50,1,0.2610914134105161,0,None,i7181,781,1.01556080138134e-05
1727665756,1727666702,946,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 315 n_permutations 10 update_interval 50 n_consecutive_deviations 4,315,10,50,4,0.2502629040038591,0,None,i7186,939,1.454150814727754e-05
1727666059,1727666820,761,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 145 n_permutations 50 update_interval 88 n_consecutive_deviations 5,145,50,88,5,0.2673191027496382,0,None,i7186,754,2.107467101011424e-05
1727666241,1727666984,743,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 136 n_permutations 50 update_interval 125 n_consecutive_deviations 3,136,50,125,3,0.2776398938736131,0,None,i7186,737,2.7022358674154826e-05
1727666262,1727667044,782,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 127 n_permutations 46 update_interval 94 n_consecutive_deviations 1,127,46,94,1,0.2704184756391703,0,None,i7186,775,1.7963560416434003e-05
1727666101,1727667048,947,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 316 n_permutations 34 update_interval 50 n_consecutive_deviations 4,316,34,50,4,0.2508924264351182,0,None,i7186,939,1.4543644858385861e-05
1727666180,1727667070,890,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 151 n_permutations 44 update_interval 50 n_consecutive_deviations 3,151,44,50,3,0.26196333815726003,0,None,i7186,882,1.2239432746292338e-05
1727666342,1727667215,873,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 ImageBasedDriftDetector n_samples 115 n_permutations 28 update_interval 50 n_consecutive_deviations 1,115,28,50,1,0.2617390255668114,0,None,i7186,866,1.0465683034612557e-05
