trial_index,arm_name,trial_status,generation_method,result,n_samples,n_windows,disjoint_training_windows
83,83_0,COMPLETED,BoTorch,0.328986975397973946400043132599,576,250,True
84,76_0,COMPLETED,BoTorch,0.267215388326097480486964741431,111,25,False
85,85_0,COMPLETED,BoTorch,0.328986975397973946400043132599,535,144,True
86,86_0,COMPLETED,BoTorch,0.311863241678726477168481778790,697,25,False
87,87_0,COMPLETED,BoTorch,0.315069946936806566384348116117,707,25,False
88,88_0,COMPLETED,BoTorch,0.328986975397973946400043132599,557,111,True
89,89_0,COMPLETED,BoTorch,0.328986975397973946400043132599,479,25,True
90,90_0,COMPLETED,BoTorch,0.321057645923781942443042680679,845,250,False
91,91_0,COMPLETED,BoTorch,0.328986975397973946400043132599,622,199,True
92,92_0,COMPLETED,BoTorch,0.271739025566811398526567700173,137,42,False
93,93_0,COMPLETED,BoTorch,0.325823685479980751367179436784,1000,250,False
94,94_0,COMPLETED,BoTorch,0.313047515677761678531965117145,676,25,False
95,95_0,COMPLETED,BoTorch,0.328986975397973946400043132599,585,250,True
96,96_0,COMPLETED,BoTorch,0.311389290882778557723042922589,643,37,False
97,97_0,COMPLETED,BoTorch,0.328986975397973946400043132599,500,160,True
98,98_0,COMPLETED,BoTorch,0.328986975397973946400043132599,532,250,True
99,99_0,COMPLETED,BoTorch,0.328986975397973946400043132599,474,87,True
100,100_0,COMPLETED,BoTorch,0.328986975397973946400043132599,451,145,True
101,101_0,COMPLETED,BoTorch,0.328986975397973946400043132599,515,140,True
102,102_0,COMPLETED,BoTorch,0.328986975397973946400043132599,501,250,True
103,103_0,COMPLETED,BoTorch,0.328986975397973946400043132599,517,147,True
104,104_0,COMPLETED,BoTorch,0.273961649782923255536104534258,139,47,False
105,105_0,COMPLETED,BoTorch,0.328986975397973946400043132599,472,142,True
106,106_0,COMPLETED,BoTorch,0.328986975397973946400043132599,630,250,True
107,107_0,COMPLETED,BoTorch,0.328986975397973946400043132599,270,250,True
108,108_0,COMPLETED,BoTorch,0.328986975397973946400043132599,588,250,True
109,109_0,COMPLETED,BoTorch,0.328986975397973946400043132599,755,250,True
110,110_0,COMPLETED,BoTorch,0.266495417269657530745519125048,104,26,False
111,111_0,COMPLETED,BoTorch,0.328986975397973946400043132599,406,25,True
112,112_0,COMPLETED,BoTorch,0.328986975397973946400043132599,762,250,True
113,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
114,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
115,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
116,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
117,117_0,COMPLETED,BoTorch,0.289293294741919893020565268671,278,250,False
118,118_0,COMPLETED,BoTorch,0.322358900144717797076054921490,869,147,False
119,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
120,120_0,COMPLETED,BoTorch,0.291649782923299571990582990111,293,210,False
121,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
122,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
123,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
124,124_0,RUNNING,BoTorch,,728,250,True
125,125_0,COMPLETED,BoTorch,0.328986975397973946400043132599,904,250,True
126,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
127,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
128,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
129,129_0,COMPLETED,BoTorch,0.328986975397973946400043132599,728,217,True
130,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
131,36_0,COMPLETED,BoTorch,0.264861312108055968472797303548,100,25,False
