start_time,end_time,run_time,program_string,n_samples,n_windows,disjoint_training_windows,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727410624,1727410637,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 621 n_windows 203 disjoint_training_windows True,621,203,True,0.2645115100782024,0,None,i7186,8,0
1727410647,1727410661,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 64 disjoint_training_windows True,100,64,True,0.2645115100782024,0,None,i7186,10,0
1727410667,1727410679,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 491 n_windows 101 disjoint_training_windows True,491,101,True,0.2645115100782024,0,None,i7186,8,0
1727410685,1727410697,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 441 n_windows 93 disjoint_training_windows True,441,93,True,0.2645115100782024,0,None,i7186,8,0
1727410707,1727410720,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 449 n_windows 100 disjoint_training_windows True,449,100,True,0.2645115100782024,0,None,i7186,9,0
1727410727,1727410740,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 573 n_windows 125 disjoint_training_windows True,573,125,True,0.2645115100782024,0,None,i7186,8,0
1727410746,1727410758,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 1000 n_windows 188 disjoint_training_windows True,1000,188,True,0.2645115100782024,0,None,i7186,8,0
1727410767,1727410782,15,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 60 disjoint_training_windows True,100,60,True,0.2645115100782024,0,None,i7186,11,0
1727410788,1727410803,15,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 320 n_windows 154 disjoint_training_windows False,320,154,False,0.3084040092521203,0,None,i7186,12,0.0008719756213973622
1727410807,1727410821,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 69 disjoint_training_windows True,100,69,True,0.2645115100782024,0,None,i7186,10,0
1727410827,1727410842,15,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 51 disjoint_training_windows True,100,51,True,0.2645115100782024,0,None,i7186,11,0
1727410847,1727410860,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 612 n_windows 115 disjoint_training_windows True,612,115,True,0.2645115100782024,0,None,i7186,8,0
1727410866,1727410879,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 313 n_windows 86 disjoint_training_windows True,313,86,True,0.2645115100782024,0,None,i7186,9,0
1727410888,1727410900,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 289 n_windows 73 disjoint_training_windows True,289,73,True,0.2645115100782024,0,None,i7186,9,0
1727410908,1727410920,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 268 n_windows 81 disjoint_training_windows True,268,81,True,0.2645115100782024,0,None,i7186,9,0
1727410927,1727410940,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 483 n_windows 250 disjoint_training_windows True,483,250,True,0.2645115100782024,0,None,i7186,8,0
1727410948,1727410960,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 574 n_windows 119 disjoint_training_windows True,574,119,True,0.2645115100782024,0,None,i7186,8,0
1727410968,1727410981,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py NOAAWeather 1000 UDetect n_samples 100 n_windows 25 disjoint_training_windows False,100,25,False,0.2805925762749202,0,None,i7186,9,0.0003359400815067734
