trial_index,arm_name,trial_status,generation_method,generation_node,VAL_ACCURACY,RAM_USAGE,lr,epochs,width_and_height
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.302800000000000013589129821412,670.820000000000050022208597511053,0.127115666866302490234375000000,9,25
1,1_0,COMPLETED,BoTorch,GenerationStep_1,0.160599999999999992761345879444,659.730000000000018189894035458565,0.000000000000000000000000000000,1,30
2,2_0,COMPLETED,BoTorch,GenerationStep_1,0.279799999999999993161026168309,635.639999999999986357579473406076,0.041463882565747657571453288483,1,20
