start_time,end_time,run_time,program_string,lr,epochs,width_height,dense,conv,dense_units,conv_filters,val_split,VAL_LOSS,RAM_USAGE,RUNTIME,exit_code,signal,hostname
1739441374,1739441394,20,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.03615352809429169 --epochs=31 --validation_split=0.2 --width=25 --height=25 --data=data --conv=2 --dense=5 --dense_units=19 --conv_filters=16,0.03615352809429169,31,25,5,2,19,16,0.2,0.1491,753.33,20,0,None,arbeitsrechner
1739441398,1739441426,28,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.0541406630538404 --epochs=43 --validation_split=0.2 --width=15 --height=15 --data=data --conv=2 --dense=9 --dense_units=6 --conv_filters=7,0.0541406630538404,43,15,9,2,6,7,0.2,0.5627,677.34,28,0,None,arbeitsrechner
1739441432,1739441457,25,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.08617495531216264 --epochs=38 --validation_split=0.2 --width=30 --height=30 --data=data --conv=1 --dense=2 --dense_units=11 --conv_filters=18,0.08617495531216264,38,30,2,1,11,18,0.2,0.0674,699.88,25,0,None,arbeitsrechner
1739441463,1739441495,32,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.004125321842730046 --epochs=49 --validation_split=0.2 --width=20 --height=20 --data=data --conv=3 --dense=8 --dense_units=14 --conv_filters=9,0.004125321842730046,49,20,8,3,14,9,0.2,0.2134,706.5,32,0,None,arbeitsrechner
1739441501,1739441523,22,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.016591846756637097 --epochs=37 --validation_split=0.2 --width=15 --height=15 --data=data --conv=3 --dense=6 --dense_units=18 --conv_filters=19,0.016591846756637097,37,15,6,3,18,19,0.2,0.1423,706.82,22,0,None,arbeitsrechner
1739441528,1739441552,24,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.09860485615208746 --epochs=48 --validation_split=0.2 --width=25 --height=25 --data=data --conv=1 --dense=1 --dense_units=7 --conv_filters=12,0.09860485615208746,48,25,1,1,7,12,0.2,1.61,666.92,24,0,None,arbeitsrechner
1739441558,1739441588,30,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.06657664878293872 --epochs=33 --validation_split=0.2 --width=20 --height=20 --data=data --conv=2 --dense=9 --dense_units=10 --conv_filters=13,0.06657664878293872,33,20,9,2,10,13,0.2,1.6096,732.44,30,0,None,arbeitsrechner
1739441594,1739441626,32,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.04862613901495934 --epochs=44 --validation_split=0.2 --width=30 --height=30 --data=data --conv=2 --dense=4 --dense_units=15 --conv_filters=6,0.04862613901495934,44,30,4,2,15,6,0.2,0.2333,734.1,32,0,None,arbeitsrechner
1739441632,1739441659,27,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.03884531855583191 --epochs=39 --validation_split=0.2 --width=20 --height=20 --data=data --conv=2 --dense=1 --dense_units=13 --conv_filters=20,0.03884531855583191,39,20,1,2,13,20,0.2,0.1297,735.92,27,0,None,arbeitsrechner
1739441665,1739441697,32,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.07085823593661189 --epochs=50 --validation_split=0.2 --width=30 --height=30 --data=data --conv=3 --dense=7 --dense_units=12 --conv_filters=11,0.07085823593661189,50,30,7,3,12,11,0.2,0.5942,791.2,32,0,None,arbeitsrechner
