trial_index,arm_name,trial_status,generation_method,generation_node,VAL_LOSS,RAM_USAGE,RUNTIME,lr,epochs,width_height,dense,conv,dense_units,conv_filters,val_split
20,20_0,COMPLETED,BoTorch,GenerationStep_1,0.184100000000000013633538742397,645.379999999999995452526491135359,22.000000000000000000000000000000,0.000000000000000000000000000000,37,15.000000000000000000000000000000,4,1,20,14,0.2
21,21_0,COMPLETED,BoTorch,GenerationStep_1,0.426200000000000023270274596143,648.000000000000000000000000000000,23.000000000000000000000000000000,0.043813654715181817034252986787,33,15.000000000000000000000000000000,5,1,16,17,0.2
22,22_0,COMPLETED,BoTorch,GenerationStep_1,0.182999999999999996003197111349,639.399999999999977262632455676794,28.000000000000000000000000000000,0.000000000000000000000000000000,48,15.000000000000000000000000000000,2,1,20,13,0.2
23,23_0,COMPLETED,BoTorch,GenerationStep_1,0.123700000000000004396483177516,640.009999999999990905052982270718,30.000000000000000000000000000000,0.100000000000000005551115123126,44,15.000000000000000000000000000000,3,1,13,7,0.2
24,24_0,COMPLETED,BoTorch,GenerationStep_1,0.285999999999999976463271877947,651.730000000000018189894035458565,33.000000000000000000000000000000,0.000000000000000000000000000000,48,15.000000000000000000000000000000,6,1,17,18,0.2
25,25_0,COMPLETED,BoTorch,GenerationStep_1,0.139600000000000001865174681370,632.159999999999968167685437947512,32.000000000000000000000000000000,0.022050562278753318284918449876,50,15.000000000000000000000000000000,1,1,13,7,0.2
26,26_0,COMPLETED,BoTorch,GenerationStep_1,0.194200000000000011501910535117,634.490000000000009094947017729282,31.000000000000000000000000000000,0.100000000000000005551115123126,46,15.000000000000000000000000000000,1,1,9,19,0.2
27,27_0,COMPLETED,BoTorch,GenerationStep_1,0.585200000000000053468340865948,642.179999999999949977791402488947,30.000000000000000000000000000000,0.015484978420544430813277081427,42,15.000000000000000000000000000000,3,1,6,20,0.2
28,28_0,COMPLETED,BoTorch,GenerationStep_1,0.153799999999999992272847748609,638.480000000000018189894035458565,27.000000000000000000000000000000,0.100000000000000005551115123126,37,15.000000000000000000000000000000,2,1,20,15,0.2
29,29_0,COMPLETED,BoTorch,GenerationStep_1,0.127900000000000013677947663382,633.769999999999981810105964541435,27.000000000000000000000000000000,0.042289783104436214078436506725,38,15.000000000000000000000000000000,1,1,18,13,0.2
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.227000000000000007327471962526,648.980000000000018189894035458565,28.000000000000000000000000000000,0.010457425018724616702647800537,36,15.000000000000000000000000000000,6,1,18,14,0.2
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.152799999999999991384669328909,647.950000000000045474735088646412,28.000000000000000000000000000000,0.007153987160256220292908757585,38,15.000000000000000000000000000000,4,1,17,20,0.2
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.077600000000000002309263891220,662.860000000000013642420526593924,30.000000000000000000000000000000,0.071341886646289362494677277482,42,20.000000000000000000000000000000,3,1,13,11,0.2
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.144800000000000012034817586937,647.700000000000045474735088646412,25.000000000000000000000000000000,0.059888209283065103882837121319,31,15.000000000000000000000000000000,5,1,20,14,0.2
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.227599999999999996758148768095,644.269999999999981810105964541435,27.000000000000000000000000000000,0.014316881745180044457899093402,36,15.000000000000000000000000000000,4,1,13,10,0.2
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.233699999999999991073806882014,640.809999999999945430317893624306,27.000000000000000000000000000000,0.067898833014230816629286380248,39,15.000000000000000000000000000000,3,1,16,11,0.2
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.348399999999999987476684282228,666.450000000000045474735088646412,26.000000000000000000000000000000,0.045251807454910246419910180293,32,15.000000000000000000000000000000,5,2,18,7,0.2
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.227399999999999991029397961029,647.710000000000036379788070917130,27.000000000000000000000000000000,0.013891573256557512155984213109,35,15.000000000000000000000000000000,4,1,19,16,0.2
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.211100000000000009858780458671,699.580000000000040927261579781771,28.000000000000000000000000000000,0.000000000000000000000000000000,37,30.000000000000000000000000000000,4,1,18,13,0.2
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.073400000000000006905587213168,632.179999999999949977791402488947,25.000000000000000000000000000000,0.080325521411339764754622194687,34,15.000000000000000000000000000000,1,1,17,9,0.2
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.133899999999999991251442565954,696.740000000000009094947017729282,25.000000000000000000000000000000,0.033534050083516245277515110956,31,30.000000000000000000000000000000,3,1,19,11,0.2
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.275100000000000011191048088222,634.279999999999972715158946812153,30.000000000000000000000000000000,0.051914728736150793364512168182,45,15.000000000000000000000000000000,1,1,17,11,0.2
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.126799999999999996047606032334,690.279999999999972715158946812153,27.000000000000000000000000000000,0.000000000000000000000000000000,31,25.000000000000000000000000000000,5,1,20,17,0.2
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.139000000000000012434497875802,662.090000000000031832314562052488,28.000000000000000000000000000000,0.005969447876886613789382263207,40,20.000000000000000000000000000000,4,1,20,10,0.2
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.172199999999999991961985301714,641.889999999999986357579473406076,33.000000000000000000000000000000,0.100000000000000005551115123126,50,15.000000000000000000000000000000,3,1,20,10,0.2
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.165300000000000002486899575160,693.610000000000013642420526593924,26.000000000000000000000000000000,0.041728959106592196370844050080,30,25.000000000000000000000000000000,5,1,20,16,0.2
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.225500000000000005995204332976,630.639999999999986357579473406076,23.000000000000000000000000000000,0.100000000000000005551115123126,30,15.000000000000000000000000000000,1,1,20,5,0.2
47,47_0,COMPLETED,BoTorch,GenerationStep_1,0.114900000000000002131628207280,666.009999999999990905052982270718,32.000000000000000000000000000000,0.000000000000000000000000000000,46,20.000000000000000000000000000000,3,1,20,14,0.2
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.163000000000000005995204332976,631.690000000000054569682106375694,26.000000000000000000000000000000,0.000000000000000000000000000000,36,15.000000000000000000000000000000,1,1,16,5,0.2
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.105300000000000004707345624411,654.029999999999972715158946812153,26.000000000000000000000000000000,0.088658207338117675511135473698,33,15.000000000000000000000000000000,3,3,20,5,0.2
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.170600000000000001643130076445,688.559999999999945430317893624306,24.000000000000000000000000000000,0.035854633766143624573619064222,31,25.000000000000000000000000000000,5,2,18,5,0.2
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.235699999999999992850163721414,631.429999999999949977791402488947,22.000000000000000000000000000000,0.097130992106051847190251180564,33,15.000000000000000000000000000000,1,1,20,5,0.2
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.395399999999999973709918776876,645.210000000000036379788070917130,24.000000000000000000000000000000,0.028732543012874964261094135054,45,15.000000000000000000000000000000,4,1,11,12,0.2
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.146900000000000002797762022055,631.080000000000040927261579781771,29.000000000000000000000000000000,0.094753108924382586919499260603,36,15.000000000000000000000000000000,1,1,15,5,0.2
54,54_0,COMPLETED,BoTorch,GenerationStep_1,0.285100000000000020072832285223,640.149999999999977262632455676794,28.000000000000000000000000000000,0.026416161931768381704310755254,43,20.000000000000000000000000000000,1,1,17,5,0.2
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.118999999999999994670929481799,660.710000000000036379788070917130,31.000000000000000000000000000000,0.065747018564527873185632245168,49,20.000000000000000000000000000000,1,1,17,14,0.2
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.097100000000000005750955267558,693.259999999999990905052982270718,25.000000000000000000000000000000,0.035636068369141397915722535572,31,25.000000000000000000000000000000,5,1,17,20,0.2
57,57_0,COMPLETED,BoTorch,GenerationStep_1,0.175699999999999995070609770664,635.179999999999949977791402488947,29.000000000000000000000000000000,0.098623938335884508976647566669,32,15.000000000000000000000000000000,1,1,20,6,0.2
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.219200000000000005950795411991,696.019999999999981810105964541435,26.000000000000000000000000000000,0.000000000000000000000000000000,30,15.000000000000000000000000000000,1,3,20,20,0.2
59,59_0,COMPLETED,BoTorch,GenerationStep_1,0.273299999999999987387866440258,680.710000000000036379788070917130,23.000000000000000000000000000000,0.000000000000000000000000000000,30,25.000000000000000000000000000000,1,2,12,5,0.2
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.302099999999999979660714188867,683.019999999999981810105964541435,27.000000000000000000000000000000,0.100000000000000005551115123126,30,15.000000000000000000000000000000,10,3,20,5,0.2
61,61_0,COMPLETED,BoTorch,GenerationStep_1,0.273299999999999987387866440258,648.539999999999963620211929082870,19.000000000000000000000000000000,0.000000000000000000000000000000,30,15.000000000000000000000000000000,1,3,20,5,0.2
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.385000000000000008881784197001,649.539999999999963620211929082870,24.000000000000000000000000000000,0.090380187607099538027455309930,36,15.000000000000000000000000000000,1,3,17,5,0.2
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.157500000000000001110223024625,675.620000000000004547473508864641,23.000000000000000000000000000000,0.000000000000000000000000000000,33,30.000000000000000000000000000000,1,1,13,5,0.2
64,64_0,COMPLETED,BoTorch,GenerationStep_1,0.157900000000000012567724638757,663.360000000000013642420526593924,24.000000000000000000000000000000,0.000000000000000000000000000000,30,25.000000000000000000000000000000,1,1,18,5,0.2
65,65_0,COMPLETED,BoTorch,GenerationStep_1,1.621399999999999952393636704073,642.549999999999954525264911353588,27.000000000000000000000000000000,0.100000000000000005551115123126,40,20.000000000000000000000000000000,1,1,13,5,0.2
66,66_0,COMPLETED,BoTorch,GenerationStep_1,0.328500000000000014210854715202,680.700000000000045474735088646412,24.000000000000000000000000000000,0.053478838200345414632952412148,30,20.000000000000000000000000000000,2,2,12,6,0.2
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.203999999999999986899368309423,637.440000000000054569682106375694,23.000000000000000000000000000000,0.078582244733682138360109092901,30,15.000000000000000000000000000000,3,1,20,5,0.2
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.182100000000000011857181902997,631.960000000000036379788070917130,23.000000000000000000000000000000,0.082081803595935920458970258551,30,15.000000000000000000000000000000,1,1,10,14,0.2
69,69_0,COMPLETED,BoTorch,GenerationStep_1,0.219200000000000005950795411991,663.820000000000050022208597511053,23.000000000000000000000000000000,0.039448781864007048669762411919,30,25.000000000000000000000000000000,1,1,11,5,0.2
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.337299999999999988720134069808,684.090000000000031832314562052488,22.000000000000000000000000000000,0.078172192467048540187590788264,30,20.000000000000000000000000000000,1,3,19,5,0.2
71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.186099999999999987654319966168,639.679999999999949977791402488947,23.000000000000000000000000000000,0.004477117328276965582678492694,30,20.000000000000000000000000000000,1,1,14,5,0.2
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.165800000000000002930988785010,630.460000000000036379788070917130,23.000000000000000000000000000000,0.042314995679077552215296975646,30,15.000000000000000000000000000000,1,1,7,5,0.2
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.323000000000000009325873406851,638.899999999999977262632455676794,22.000000000000000000000000000000,0.065086897185329534165632026088,30,20.000000000000000000000000000000,1,1,6,5,0.2
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.168599999999999999866773237045,648.590000000000031832314562052488,24.000000000000000000000000000000,0.075120864226026207166597714604,30,15.000000000000000000000000000000,1,3,20,5,0.2
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.132500000000000006661338147751,648.100000000000022737367544323206,24.000000000000000000000000000000,0.033570572556101511974002704619,30,15.000000000000000000000000000000,1,3,10,5,0.2
76,76_0,COMPLETED,BoTorch,GenerationStep_1,0.263799999999999978950171453107,650.330000000000040927261579781771,20.000000000000000000000000000000,0.030620414079822307062972441827,30,15.000000000000000000000000000000,1,2,15,5,0.2
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.282999999999999973798736618846,646.659999999999968167685437947512,18.000000000000000000000000000000,0.027953573165768044045398355024,30,15.000000000000000000000000000000,1,3,18,5,0.2
78,78_0,COMPLETED,BoTorch,GenerationStep_1,0.316400000000000014566126083082,647.090000000000031832314562052488,21.000000000000000000000000000000,0.046295709774259223567849375058,30,15.000000000000000000000000000000,1,3,5,5,0.2
79,79_0,COMPLETED,BoTorch,GenerationStep_1,0.406999999999999972910558199146,651.070000000000050022208597511053,19.000000000000000000000000000000,0.028360674121146969839379892164,30,15.000000000000000000000000000000,1,3,5,5,0.2
80,80_0,COMPLETED,BoTorch,GenerationStep_1,0.140899999999999997468691503855,630.210000000000036379788070917130,17.000000000000000000000000000000,0.074883267569297709553843844787,30,15.000000000000000000000000000000,1,1,13,5,0.2
81,81_0,COMPLETED,BoTorch,GenerationStep_1,0.268500000000000016431300764452,650.700000000000045474735088646412,19.000000000000000000000000000000,0.045079790573177645762736887036,30,15.000000000000000000000000000000,1,3,14,5,0.2
82,82_0,COMPLETED,BoTorch,GenerationStep_1,0.222399999999999986588505862528,634.490000000000009094947017729282,33.000000000000000000000000000000,0.021254474483200339746113982642,40,15.000000000000000000000000000000,1,1,17,14,0.2
83,83_0,COMPLETED,BoTorch,GenerationStep_1,0.679599999999999981881160238117,649.019999999999981810105964541435,24.000000000000000000000000000000,0.040135461599673766253104645330,30,15.000000000000000000000000000000,1,2,5,5,0.2
84,84_0,COMPLETED,BoTorch,GenerationStep_1,0.088400000000000006350475700856,649.500000000000000000000000000000,20.000000000000000000000000000000,0.070152611950249743610896757673,30,20.000000000000000000000000000000,4,1,17,5,0.2
85,85_0,COMPLETED,BoTorch,GenerationStep_1,0.145699999999999996180832795289,665.440000000000054569682106375694,22.000000000000000000000000000000,0.044523565008361985773088775886,30,20.000000000000000000000000000000,1,2,19,5,0.2
86,86_0,COMPLETED,BoTorch,GenerationStep_1,0.163399999999999989697130331479,674.940000000000054569682106375694,22.000000000000000000000000000000,0.077044737583859393414975613723,30,30.000000000000000000000000000000,1,1,13,5,0.2
87,87_0,COMPLETED,BoTorch,GenerationStep_1,0.127799999999999996935784452035,636.750000000000000000000000000000,19.000000000000000000000000000000,0.082752443657798505083356133127,30,15.000000000000000000000000000000,1,1,15,20,0.2
88,88_0,COMPLETED,BoTorch,GenerationStep_1,0.151299999999999990052401699359,648.269999999999981810105964541435,19.000000000000000000000000000000,0.013177743789138079977263373621,30,15.000000000000000000000000000000,1,2,19,5,0.2
89,89_0,COMPLETED,BoTorch,GenerationStep_1,0.384000000000000007993605777301,646.049999999999954525264911353588,19.000000000000000000000000000000,0.007247388660481935210300186156,30,15.000000000000000000000000000000,1,2,11,5,0.2
90,90_0,COMPLETED,BoTorch,GenerationStep_1,0.176600000000000006972200594646,634.570000000000050022208597511053,18.000000000000000000000000000000,0.036543345778625918596205224276,30,15.000000000000000000000000000000,2,1,18,5,0.2
91,91_0,COMPLETED,BoTorch,GenerationStep_1,0.160599999999999992761345879444,663.450000000000045474735088646412,19.000000000000000000000000000000,0.032822142985418176208689544637,30,25.000000000000000000000000000000,1,1,18,5,0.2
92,92_0,COMPLETED,BoTorch,GenerationStep_1,0.332000000000000017319479184152,677.269999999999981810105964541435,19.000000000000000000000000000000,0.018804766079466180700441313434,30,30.000000000000000000000000000000,1,1,12,5,0.2
93,93_0,COMPLETED,BoTorch,GenerationStep_1,0.186999999999999999555910790150,638.250000000000000000000000000000,20.000000000000000000000000000000,0.036092603226392717952197841669,30,20.000000000000000000000000000000,1,1,5,5,0.2
94,94_0,COMPLETED,BoTorch,GenerationStep_1,0.111199999999999993294252931264,639.220000000000027284841053187847,22.000000000000000000000000000000,0.069632250653953439711862927197,30,20.000000000000000000000000000000,1,1,15,5,0.2
95,95_0,COMPLETED,BoTorch,GenerationStep_1,0.190000000000000002220446049250,667.269999999999981810105964541435,22.000000000000000000000000000000,0.020331187584284822478242205079,30,20.000000000000000000000000000000,1,2,19,5,0.2
96,96_0,COMPLETED,BoTorch,GenerationStep_1,0.125099999999999988986587595718,640.730000000000018189894035458565,27.000000000000000000000000000000,0.000000000000000000000000000000,30,20.000000000000000000000000000000,1,1,18,5,0.2
97,97_0,COMPLETED,BoTorch,GenerationStep_1,0.256099999999999994315658113919,656.649999999999977262632455676794,25.000000000000000000000000000000,0.081031864123317767778509335130,30,15.000000000000000000000000000000,4,3,20,5,0.2
98,98_0,COMPLETED,BoTorch,GenerationStep_1,0.297300000000000008704148513061,663.929999999999949977791402488947,24.000000000000000000000000000000,0.032220417817533548998643055938,30,15.000000000000000000000000000000,5,3,12,5,0.2
99,99_0,COMPLETED,BoTorch,GenerationStep_1,0.564599999999999990762944435119,638.679999999999949977791402488947,21.000000000000000000000000000000,0.040839392346001278377709553524,30,20.000000000000000000000000000000,1,1,13,5,0.2
