trial_index,arm_name,trial_status,generation_method,generation_node,VAL_LOSS,RAM_USAGE,RUNTIME,lr,epochs,width_height,dense,conv,dense_units,conv_filters,val_split
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.149100000000000010302869668521,753.330000000000040927261579781771,20.000000000000000000000000000000,0.036153528094291689787276311563,31,25.000000000000000000000000000000,5,2,19,16,0.2
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.562699999999999977973175191437,677.340000000000031832314562052488,28.000000000000000000000000000000,0.054140663053840402951788490782,43,15.000000000000000000000000000000,9,2,6,7,0.2
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.067400000000000001576516694968,699.879999999999995452526491135359,25.000000000000000000000000000000,0.086174955312162640486128850625,38,30.000000000000000000000000000000,2,1,11,18,0.2
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.213400000000000006350475700856,706.500000000000000000000000000000,32.000000000000000000000000000000,0.004125321842730045839020558418,49,20.000000000000000000000000000000,8,3,14,9,0.2
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.142300000000000009814371537686,706.820000000000050022208597511053,22.000000000000000000000000000000,0.016591846756637097098918687266,37,15.000000000000000000000000000000,6,3,18,19,0.2
5,5_0,COMPLETED,Sobol,GenerationStep_0,1.610000000000000097699626167014,666.919999999999959072738420218229,24.000000000000000000000000000000,0.098604856152087458354138505001,48,25.000000000000000000000000000000,1,1,7,12,0.2
6,6_0,COMPLETED,Sobol,GenerationStep_0,1.609599999999999919708670859109,732.440000000000054569682106375694,30.000000000000000000000000000000,0.066576648782938716020218805625,33,20.000000000000000000000000000000,9,2,10,13,0.2
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.233300000000000007371880883511,734.100000000000022737367544323206,32.000000000000000000000000000000,0.048626139014959338102705999063,44,30.000000000000000000000000000000,4,2,15,6,0.2
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.129700000000000009725553695716,735.919999999999959072738420218229,27.000000000000000000000000000000,0.038845318555831911955245061563,39,20.000000000000000000000000000000,1,2,13,20,0.2
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.594199999999999950439644180733,791.200000000000045474735088646412,32.000000000000000000000000000000,0.070858235936611890792846679688,50,30.000000000000000000000000000000,7,3,12,11,0.2
10,10_0,COMPLETED,Sobol,GenerationStep_0,1.627399999999999957722707222274,691.879999999999995452526491135359,21.000000000000000000000000000000,0.088830034900456669721968694375,30,15.000000000000000000000000000000,4,3,5,14,0.2
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.702400000000000024336088699783,696.440000000000054569682106375694,25.000000000000000000000000000000,0.020879617892205715179443359375,41,25.000000000000000000000000000000,9,1,20,5,0.2
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.152900000000000008126832540256,721.950000000000045474735088646412,29.000000000000000000000000000000,0.008406980521976947437479132930,34,30.000000000000000000000000000000,10,1,16,15,0.2
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.233800000000000007815970093361,692.970000000000027284841053187847,29.000000000000000000000000000000,0.076394015643745663557417913125,45,20.000000000000000000000000000000,4,3,9,8,0.2
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.546200000000000018829382497643,753.409999999999968167685437947512,22.000000000000000000000000000000,0.058428314980119466781616210938,35,25.000000000000000000000000000000,7,2,8,17,0.2
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.286899999999999988364862701928,640.429999999999949977791402488947,23.000000000000000000000000000000,0.026378779485821724631877671641,46,15.000000000000000000000000000000,3,1,17,10,0.2
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.619299999999999961630692268955,764.039999999999963620211929082870,24.000000000000000000000000000000,0.028809206467121841604983600860,36,30.000000000000000000000000000000,9,3,9,7,0.2
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.144499999999999989563903568524,665.289999999999963620211929082870,23.000000000000000000000000000000,0.062433496117591857910156250000,45,20.000000000000000000000000000000,3,1,16,16,0.2
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.623500000000000054178883601708,728.909999999999968167685437947512,22.000000000000000000000000000000,0.078842801414430147000089732501,34,25.000000000000000000000000000000,6,2,17,9,0.2
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.275100000000000011191048088222,687.190000000000054569682106375694,25.000000000000000000000000000000,0.012406011391431093909831773203,44,15.000000000000000000000000000000,1,3,8,18,0.2
