Unnamed: 0,end_time,run_time,program_string,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747602845,1747602858,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier PCACD recent_samples_size 352 window_size 3976 ev_threshold 0.45097752468287944 delta 0.6427288334071636 divergence_metric str\(\'kl\'\) sample_period 0.05468283230438829 online_scaling True,352,3976,0.4509775246828794,0.6427288334071636,str\(\'kl\'\),0.0546828323043882,True,0.55,1,0,,i7066,1,632.05078125,631.9817708333334,-1,0.0,5119332
1747602845,1747602858,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2363 window_size 1697 ev_threshold 0.5804027127753943 delta 0.3638885996975005 divergence_metric str\(\'kl\'\) sample_period 0.015162299247458579 online_scaling False,2363,1697,0.5804027127753943,0.3638885996975005,str\(\'kl\'\),0.0151622992474585,False,0.55,1,0,,i7066,1,633.07421875,632.984375,-1,0.0,5119334
1747602845,1747602858,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier PCACD recent_samples_size 988 window_size 3237 ev_threshold 0.6587939599398523 delta 0.8836156537178904 divergence_metric str\(\'intersection\'\) sample_period 0.017253831438720228 online_scaling True,988,3237,0.6587939599398523,0.8836156537178904,str\(\'intersection\'\),0.0172538314387202,True,0.55,1,0,,i7066,1,632.171875,632.08203125,-1,0.0,5119336
1747602845,1747602858,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4521 window_size 812 ev_threshold 0.8687131997644901 delta 0.1699056000560522 divergence_metric str\(\'intersection\'\) sample_period 0.08383796250447631 online_scaling False,4521,812,0.8687131997644901,0.1699056000560522,str\(\'intersection\'\),0.0838379625044763,False,0.55,1,0,,i7066,1,633.7734375,633.2799479166666,-1,0.0,5119333
1747602848,1747602867,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier PCACD recent_samples_size 476 window_size 664 ev_threshold 0.7466951920073479 delta 0.37648662505857644 divergence_metric str\(\'intersection\'\) sample_period 0.07098147277720274 online_scaling True,476,664,0.7466951920073479,0.3764866250585764,str\(\'intersection\'\),0.0709814727772027,True,0.55,1,0,,i7067,1,633.7890625,633.2877604166666,-1,0.0,5119331
1747602848,1747602867,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2765 window_size 3519 ev_threshold 0.22478599750809372 delta 0.8230053625889122 divergence_metric str\(\'intersection\'\) sample_period 0.06754801825620234 online_scaling True,2765,3519,0.2247859975080937,0.8230053625889122,str\(\'intersection\'\),0.0675480182562023,True,0.55,1,0,,i7067,1,632.77734375,632.6888020833334,-1,0.0,5119330
1747602866,1747602879,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3906 window_size 1393 ev_threshold 0.021514956841245294 delta 0.4284889656398445 divergence_metric str\(\'kl\'\) sample_period 0.07529753223061562 online_scaling False,3906,1393,0.0215149568412452,0.4284889656398445,str\(\'kl\'\),0.0752975322306156,False,0.55,1,0,,i7183,1,632.6875,632.6184895833334,-1,0.0,5119339
1747602868,1747602881,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier PCACD recent_samples_size 785 window_size 493 ev_threshold 0.09841664873436093 delta 0.5353460570853203 divergence_metric str\(\'kl\'\) sample_period 0.03062103438191116 online_scaling False,785,493,0.0984166487343609,0.5353460570853203,str\(\'kl\'\),0.0306210343819111,False,0.55,2,0,,i7168,2,636.3828125,634.4401041666666,-1,0.0,5119340
1747603161,1747603174,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2831 window_size 3006 ev_threshold 0.8222328494042158 delta 0.9687097876034677 divergence_metric str\(\'intersection\'\) sample_period 0.077343604080379 online_scaling True,2831,3006,0.8222328494042158,0.9687097876034676,str\(\'intersection\'\),0.077343604080379,True,0.55,1,0,,i7064,1,632.10546875,632.0182291666666,-1,0.0,5119542
1747603161,1747603174,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier PCACD recent_samples_size 937 window_size 2663 ev_threshold 0.2639742411784828 delta 0.7827442042846232 divergence_metric str\(\'intersection\'\) sample_period 0.013028415897861124 online_scaling True,937,2663,0.2639742411784828,0.7827442042846232,str\(\'intersection\'\),0.0130284158978611,True,0.55,1,0,,i7064,1,633.1015625,633.0338541666666,-1,0.0,5119544
