start_time,end_time,run_time,program_string,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745458773,1745458792,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 0 batch_size 1603 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.001 subsets 17,5000,0,1603,str\(\'H\'\),3,str\(\'stdev\'\),0.001,17,0.17,8.0,0,,i7176,8.0,791.53125,791.3489583333334,-1.0,0.2691855583543241,4667883
1745459953,1745459972,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2501 feature_id 0 batch_size 394 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.999 subsets 1,2501,0,394,str\(\'H\'\),3,str\(\'stdev\'\),0.999,1,0.17,8.0,0,,i7175,8.0,792.2578125,792.0690104166666,-1.0,0.2291351805205709,4668610
1745462173,1745462193,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1736 feature_id 0 batch_size 795 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.5841725691330826 subsets 25,1736,0,795,str\(\'KL\'\),1,str\(\'stdev\'\),0.5841725691330826,25,0.17,8.0,0,,i7182,8.0,791.88671875,791.73046875,-1.0,0.0991603694374475,4670093
1745462594,1745462620,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 167 feature_id 0 batch_size 586 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.30801595153689076 subsets 1,167,0,586,str\(\'H\'\),1,str\(\'stdev\'\),0.3080159515368907,1,0.17,13.0,0,,i7176,13.0,793.0,792.9091796875,-1.0,0.8162048698572628,4670389
1745463434,1745463454,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2029 feature_id 0 batch_size 2141 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.999 subsets 16,2029,0,2141,str\(\'H\'\),2,str\(\'stdev\'\),0.999,16,0.17,8.0,0,,i7180,8.0,792.84765625,792.6067708333334,-1.0,0.1797649034424853,4670967
1745472647,1745472661,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1314 feature_id 0 batch_size 1 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.23198816046141565 subsets 1,1314,0,1,str\(\'KL\'\),1,str\(\'stdev\'\),0.2319881604614156,1,,,1,,i7186,,,,,,4676919
1745473458,1745473484,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3745 feature_id 0 batch_size 447 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.5908191456484 subsets 1,3745,0,447,str\(\'KL\'\),3,str\(\'stdev\'\),0.5908191456484,1,0.17,10.0,0,,i7180,10.0,791.28125,791.0950520833334,-1.0,0.207472712006717,4677446
1745475018,1745475057,39,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2750 feature_id 0 batch_size 1 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.999 subsets 59,2750,0,1,str\(\'KL\'\),3,str\(\'tstat\'\),0.999,59,0.17,24.0,0,,i7176,24.0,792.71875,792.60078125,-1.0,0.2079764903442485,4678475
1745476157,1745476183,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 127 batch_size 1707 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.999 subsets 89,5000,127,1707,str\(\'KL\'\),2,str\(\'stdev\'\),0.999,89,0.17,11.0,0,,i7181,11.0,791.6171875,791.396484375,-1.0,0.1433249370277078,4679076
1745478798,1745478817,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2900 feature_id 0 batch_size 465 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.001 subsets 100,2900,0,465,str\(\'KL\'\),3,str\(\'tstat\'\),0.001,100,0.17,9.0,0,,i7182,9.0,791.0625,790.8307291666666,-1.0,0.234256926952141,4680593
1745487933,1745488023,90,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 712 feature_id 0 batch_size 10 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'tstat\'\) significance 0.4994538639693964 subsets 38,712,0,10,str\(\'KL\'\),1,str\(\'tstat\'\),0.4994538639693964,38,0.17,77.0,0,,i7182,77.0,791.8125,791.74921875,-1.0,0.2703610411418976,4684767
1745488323,1745488349,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 172 feature_id 0 batch_size 103 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.33883879315984644 subsets 1,172,0,103,str\(\'KL\'\),1,str\(\'stdev\'\),0.3388387931598464,1,0.17,13.0,0,,i7181,13.0,791.59765625,791.4814453125,-1.0,0.8267002518891687,4684906
1745490408,1745490428,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1944 feature_id 0 batch_size 1365 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'tstat\'\) significance 0.7601221351299097 subsets 22,1944,0,1365,str\(\'KL\'\),1,str\(\'tstat\'\),0.7601221351299097,22,0.17,8.0,0,,i7181,8.0,793.0,792.8046875,-1.0,0.061376994122586,4685596
1745490675,1745490707,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 576 feature_id 0 batch_size 1938 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.5084040524458641 subsets 75,576,0,1938,str\(\'KL\'\),1,str\(\'stdev\'\),0.5084040524458641,75,0.17,18.0,0,,i7181,18.0,791.01171875,790.87890625,-1.0,0.32544080604534,4685689
1745491621,1745491673,52,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2869 feature_id 0 batch_size 1135 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.999 subsets 77,2869,0,1135,str\(\'KL\'\),2,str\(\'tstat\'\),0.999,77,0.17,22.0,0,,i7186,22.0,791.71875,791.534375,-1.0,0.2133501259445843,4685993
1745491911,1745491938,27,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2037 feature_id 8 batch_size 1420 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.6092641961031868 subsets 58,2037,8,1420,str\(\'KL\'\),2,str\(\'tstat\'\),0.6092641961031868,58,0.29,11.0,0,,i7186,11.0,792.63671875,792.3828125,-1.0,0.189840470193115,4686092
1745492414,1745492472,58,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2578 feature_id 8 batch_size 1007 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.6376428139555033 subsets 83,2578,8,1007,str\(\'KL\'\),2,str\(\'tstat\'\),0.6376428139555033,83,0.29,20.0,0,,i7186,20.0,791.69921875,791.521875,-1.0,0.254911838790932,4686255
1745492753,1745492785,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1498 feature_id 0 batch_size 1365 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 49,1498,0,1365,str\(\'KL\'\),2,str\(\'stdev\'\),0.001,49,0.17,10.0,0,,i7183,10.0,793.0859375,792.7669270833334,-1.0,0.1759865659109991,4686377
1745493718,1745493837,119,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1457 feature_id 8 batch_size 47 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'tstat\'\) significance 0.7342701653029617 subsets 16,1457,8,47,str\(\'H\'\),1,str\(\'tstat\'\),0.7342701653029617,16,0.29,8.0,0,,i7176,8.0,791.44921875,790.0377604166666,-1.0,0.2288832913518052,4686699
1745501264,1745501290,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4447 feature_id 24 batch_size 452 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.5595506364822097 subsets 59,4447,24,452,str\(\'H\'\),2,str\(\'tstat\'\),0.5595506364822097,59,0.17,14.0,0,,i7183,14.0,791.6953125,791.439453125,-1.0,0.2116708648194794,4689662
1745501445,1745501471,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3129 feature_id 8 batch_size 340 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.6610501434481053 subsets 60,3129,8,340,str\(\'H\'\),2,str\(\'tstat\'\),0.6610501434481053,60,0.29,12.0,0,,i7183,12.0,791.62109375,791.3876953125,-1.0,0.1461796809403862,4689735
1745502023,1745502042,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4317 feature_id 8 batch_size 923 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.6760608836903292 subsets 20,4317,8,923,str\(\'H\'\),3,str\(\'tstat\'\),0.6760608836903292,20,0.29,6.0,0,,i7183,6.0,793.15234375,792.9283854166666,-1.0,0.2324937027707808,4690025
