start_time,end_time,run_time,program_string,recent_samples_size,max_window_size,min_window_size,min_p_value,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1745685393,1745685406,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 5000 min_p_value 0.999,5000,1,5000,0.999,,,1,,i7171,4772134,,,,,
1745686215,1745686228,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 725 max_window_size 1 min_window_size 3648 min_p_value 0.999,725,1,3648,0.999,,,1,,i7169,4772411,,,,,
1745687288,1745687307,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 2878 max_window_size 1 min_window_size 2351 min_p_value 0.0001,2878,1,2351,0.0001,,,1,,i7163,4772735,,,,,
1745688424,1745688437,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1996 max_window_size 1 min_window_size 3465 min_p_value 0.999,1996,1,3465,0.999,,,1,,i7161,4773045,,,,,
1745689295,1745689308,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 2022 max_window_size 1 min_window_size 3581 min_p_value 0.999,2022,1,3581,0.999,,,1,,i7175,4773266,,,,,
1745690254,1745690267,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 2524 min_p_value 0.999,5000,1,2524,0.999,,,1,,i7175,4773486,,,,,
1745691174,1745691187,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1675 max_window_size 1 min_window_size 2716 min_p_value 0.0001,1675,1,2716,0.0001,,,1,,i7174,4773689,,,,,
1745692414,1745692428,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 4146 min_p_value 0.999,1,1,4146,0.999,,,1,,i7179,4774649,,,,,
1745693335,1745693348,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 4929 min_p_value 0.999,5000,1,4929,0.999,,,1,,i7176,4774852,,,,,
1745694036,1745694049,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 3997 min_p_value 0.999,5000,1,3997,0.999,,,1,,i7174,4775006,,,,,
1745694695,1745694708,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 3466 max_window_size 1 min_window_size 2569 min_p_value 0.999,3466,1,2569,0.999,,,1,,i7176,4775150,,,,,
1745695535,1745695548,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1648 max_window_size 1 min_window_size 2242 min_p_value 0.0001,1648,1,2242,0.0001,,,1,,i7183,4775348,,,,,
