start_time,end_time,run_time,program_string,recent_samples_size,feature_id,p,big_windowSize,small_windowSize,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1750527398,1750527411,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 2740 feature_id 5 p 205 big_windowSize 1648 small_windowSize 410,2740,5,205,1648,410,,,1,,i7176,5531119,,,,,
1750527518,1750527543,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 2556 feature_id 6 p 467 big_windowSize 718 small_windowSize 152,2556,6,467,718,152,,,1,,i7176,5531121,,,,,
1750527518,1750528131,613,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 4734 feature_id 2 p 386 big_windowSize 419 small_windowSize 65,4734,2,386,419,65,0.57,588.0,0,,i7176,5531122,588.0,482.30078125,442.698962602459,-1.0,0.0
1750527547,1750540817,13270,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3629 feature_id 4 p 142 big_windowSize 825 small_windowSize 7,3629,4,142,825,7,0.57,13248.0,0,,i7176,5531123,13248.0,482.50390625,362.7265359869909,-1.0,0.0
1750540934,1750540947,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3036 feature_id 1 p 368 big_windowSize 1708 small_windowSize 57,3036,1,368,1708,57,,,1,,i7185,5532160,,,,,
1750540934,1750541186,252,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 4082 feature_id 7 p 107 big_windowSize 1053 small_windowSize 124,4082,7,107,1053,124,0.57,242.0,0,,i7186,5532159,242.0,482.125,482.09375,-1.0,0.0
1750540963,1750541218,255,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3582 feature_id 7 p 403 big_windowSize 1760 small_windowSize 311,3582,7,403,1760,311,0.57,245.0,0,,i7185,5532161,245.0,483.8359375,483.8070023148149,-1.0,0.0
1750541325,1750541861,536,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3829 feature_id 2 p 65 big_windowSize 1619 small_windowSize 227,3829,2,65,1619,227,0.57,528.0,0,,i7185,5532163,528.0,483.8046875,483.7907670454546,-1.0,0.0
1750541324,1750542203,879,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 4536 feature_id 4 p 167 big_windowSize 1911 small_windowSize 472,4536,4,167,1911,472,0.57,871.0,0,,i7186,5532162,871.0,483.51953125,483.27234023876406,-1.0,0.0
1750542314,1750542327,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 2805 feature_id 4 p 339 big_windowSize 1151 small_windowSize 160,2805,4,339,1151,160,,,1,,i7179,5532190,,,,,
1750542344,1750542560,216,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 4506 feature_id 7 p 413 big_windowSize 972 small_windowSize 215,4506,7,413,972,215,0.57,207.0,0,,i7179,5532192,207.0,482.625,482.5835597826087,-1.0,0.0
1750542285,1750543859,1574,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1208 feature_id 0 p 404 big_windowSize 741 small_windowSize 35,1208,0,404,741,35,0.57,1562.0,0,,i7179,5532189,1562.0,483.78125,483.7768032625786,-1.0,0.0
1750542314,1750543942,1628,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1661 feature_id 3 p 345 big_windowSize 1390 small_windowSize 90,1661,3,345,1390,90,0.61,1618.0,0,,i7179,5532191,1618.0,483.52734375,483.5236995045732,-1.0,0.0
1750544066,1750544166,100,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 2187 feature_id 1 p 45 big_windowSize 1029 small_windowSize 194,2187,1,45,1029,194,,,1,,i7180,5532273,,,,,
