start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_clusters,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745679813,1745680680,867,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 5000 n_samples 877 n_clusters 1 threshold 0.7237850851498366,5000,877,1,0.7237850851498366,0.93,852.0,0,,i7183,852.0,762.421875,683.2555042613636,-1.0,0.9990655233734002,4769067
1745680624,1745681853,1229,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3281 n_samples 525 n_clusters 1 threshold 0.827463239211334,3281,525,1,0.827463239211334,0.92,1214.0,0,,i7178,1214.0,773.55078125,695.8460811491935,-1.0,0.9998718570214494,4770270
1745681514,1745682658,1144,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 5000 n_samples 719 n_clusters 2 threshold 0.9303425601682128,5000,719,2,0.9303425601682128,0.92,1129.0,0,,i7176,1129.0,774.9765625,674.8784646739131,-1.0,0.9995962287279634,4770524
1745682334,1745683539,1205,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2977 n_samples 373 n_clusters 1 threshold 0.8760280240419231,2977,373,1,0.8760280240419231,0.93,1190.0,0,,i7176,1190.0,777.91796875,686.9187112603306,-1.0,0.9998948260459066,4770815
1744286459,1744286994,535,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1507 n_samples 1408 n_clusters 1 threshold 0.8121087377946824,1507,1408,1,0.8121087377946824,0.9,525.0,0,,i7145,525.0,782.5,655.9858664772727,-1.0,0.9764096029864568,4211883
1744286398,1744287191,793,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 730 n_samples 1020 n_clusters 2 threshold 0.9986127275079488,730,1020,2,0.9986127275079488,0.9,781.0,0,,i7124,781.0,696.22265625,615.32744140625,-1.0,0.6839329256130009,4211868
1744286518,1744287455,937,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 251 n_samples 369 n_clusters 7 threshold 0.4209515540264547,251,369,7,0.4209515540264547,0.9,925.0,0,,i7139,925.0,650.80859375,591.96796875,-1.0,0.570150422932274,4211905
1744286339,1744287599,1260,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4520 n_samples 705 n_clusters 7 threshold 0.8640397637039423,4520,705,7,0.8640397637039423,0.92,1250.0,0,,i7131,1250.0,752.95703125,663.4034510334645,-1.0,0.9996046910001316,4211844
1744286278,1744287801,1523,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3253 n_samples 2478 n_clusters 2 threshold 0.4019264433775097,3253,2478,2,0.4019264433775097,0.85,1510.0,0,,i7142,1510.0,721.36328125,619.4964511846405,-1.0,0.9700399298356748,4211822
1744286548,1744287821,1273,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2459 n_samples 836 n_clusters 9 threshold 0.6206146664004772,2459,836,9,0.6206146664004772,0.86,1260.0,0,,i7123,1260.0,709.91015625,617.2005004882812,-1.0,0.9990159586364136,4211921
