start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744422709,1744423292,583,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1337 n_reference_samples 322 n_recent_samples 34 threshold 0.01650993140261531 stability_offset 0.7,1337,322,34,0.0165099314026153,0.7,0.52,571.0,0,,i7123,571.0,798.58984375,798.1370497881356,-1.0,0.0,4254116
1744444225,1744444264,39,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2680 n_reference_samples 1 n_recent_samples 1 threshold 0.001 stability_offset 1e-12,2680,1,1,0.001,1e-12,0.52,26.0,0,,i7092,26.0,797.47265625,794.7875,-1.0,0.0,4264784
1744444226,1744444433,207,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2760 n_reference_samples 681 n_recent_samples 1 threshold 0.1037283929352092 stability_offset 1e-12,2760,681,1,0.1037283929352092,1e-12,0.52,193.0,0,,i7095,193.0,798.828125,798.1511008522727,-1.0,0.0,4264778
1744444226,1744444460,234,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1986 n_reference_samples 1055 n_recent_samples 1 threshold 0.29597036417752637 stability_offset 1e-12,1986,1055,1,0.2959703641775263,1e-12,0.52,220.0,0,,i7091,220.0,799.828125,799.24375,-1.0,0.0,4264786
1744444275,1744444594,319,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2310 n_reference_samples 3704 n_recent_samples 1 threshold 0.15280143558105688 stability_offset 1e-12,2310,3704,1,0.1528014355810568,1e-12,0.52,306.0,0,,i7155,306.0,799.921875,799.3747632575758,-1.0,0.0,4264810
1744611505,1744616113,4608,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1 n_reference_samples 1 n_recent_samples 371 threshold 0.999 stability_offset 1e-12,1,1,371,0.999,1e-12,0.82,4595.0,0,,i7157,4595.0,799.76171875,764.5290808026031,-1.0,0.9688497061293032,4340682
1744670654,1744676782,6128,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2119 n_reference_samples 382 n_recent_samples 282 threshold 0.6125552323593655 stability_offset 0.9,2119,382,282,0.6125552323593655,0.9,0.83,6116.0,0,,i7090,6116.0,827.2734375,782.8461714926591,-1.0,0.9967254408060452,4386215
1745684493,1745688641,4148,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2075 n_reference_samples 1099 n_recent_samples 66 threshold 0.6654892418198287 stability_offset 0.8,2075,1099,66,0.6654892418198287,0.8,0.83,4136.0,0,,i7184,4136.0,891.33203125,780.5523399939904,-1.0,1.0,4771426
1745708800,1745715181,6381,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2595 n_reference_samples 2059 n_recent_samples 98 threshold 0.19901470310613514 stability_offset 0.3,2595,2059,98,0.1990147031061351,0.3,0.57,6360.0,0,,i7173,6360.0,799.4453125,732.6095280662225,-1.0,0.8299748110831234,4778865
1745724359,1745724789,430,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3688 n_reference_samples 3604 n_recent_samples 2 threshold 0.4785458889622241 stability_offset 1e-12,3688,3604,2,0.4785458889622241,1e-12,0.52,419.0,0,,i7174,419.0,802.84375,802.3575994318181,-1.0,0.0,4782923
