start_time,end_time,run_time,program_string,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1748006418,1748006431,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 823 window_size 1129 ev_threshold 0.7274058656431734 delta 0.46565605872683224 divergence_metric str\(\'intersection\'\) sample_period 0.05245623429305852 online_scaling False,823,1129,0.7274058656431734,0.4656560587268322,str\(\'intersection\'\),0.0524562342930585,False,,,1,,i7028,5184412
1748006479,1748006492,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1845 window_size 1882 ev_threshold 0.3777632717322558 delta 0.7812314850129187 divergence_metric str\(\'intersection\'\) sample_period 0.03452821923419833 online_scaling False,1845,1882,0.3777632717322558,0.7812314850129187,str\(\'intersection\'\),0.0345282192341983,False,,,1,,i7028,5184414
1748006509,1748006522,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 48 window_size 4629 ev_threshold 0.9554147732537239 delta 0.3394937341399491 divergence_metric str\(\'intersection\'\) sample_period 0.022315610544756056 online_scaling True,48,4629,0.955414773253724,0.3394937341399491,str\(\'intersection\'\),0.022315610544756,True,,,1,,i7028,5184415
1748006539,1748006551,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4326 window_size 1491 ev_threshold 0.800984017027542 delta 0.1344665198326111 divergence_metric str\(\'kl\'\) sample_period 0.08285247968509793 online_scaling False,4326,1491,0.800984017027542,0.1344665198326111,str\(\'kl\'\),0.0828524796850979,False,,,1,,i7028,5184416
1748006569,1748006582,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2308 window_size 1895 ev_threshold 0.5613397266343236 delta 0.6278828339204192 divergence_metric str\(\'kl\'\) sample_period 0.09827672907151283 online_scaling True,2308,1895,0.5613397266343236,0.6278828339204192,str\(\'kl\'\),0.0982767290715128,True,,,1,,i7028,5184417
1748006599,1748006611,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1402 window_size 4243 ev_threshold 0.5939740137364715 delta 0.5380964851658792 divergence_metric str\(\'kl\'\) sample_period 0.04529931257478893 online_scaling True,1402,4243,0.5939740137364715,0.5380964851658792,str\(\'kl\'\),0.0452993125747889,True,,,1,,i7028,5184418
1748006629,1748006642,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2984 window_size 2375 ev_threshold 0.6325170885976404 delta 0.987947066070512 divergence_metric str\(\'intersection\'\) sample_period 0.05793106671422721 online_scaling False,2984,2375,0.6325170885976404,0.987947066070512,str\(\'intersection\'\),0.0579310667142272,False,,,1,,i7028,5184420
1748006659,1748006672,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2182 window_size 245 ev_threshold 0.8377017413340508 delta 0.6565306571610272 divergence_metric str\(\'kl\'\) sample_period 0.03238528351299465 online_scaling False,2182,245,0.8377017413340508,0.6565306571610272,str\(\'kl\'\),0.0323852835129946,False,,,1,,i7028,5184421
1748006689,1748006702,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3843 window_size 4789 ev_threshold 0.20973193283937872 delta 0.3902715623844415 divergence_metric str\(\'intersection\'\) sample_period 0.09387686676345766 online_scaling True,3843,4789,0.2097319328393787,0.3902715623844415,str\(\'intersection\'\),0.0938768667634576,True,,,1,,i7028,5184422
1748006720,1748006732,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1905 window_size 4927 ev_threshold 0.4449228330925107 delta 0.04356856488622725 divergence_metric str\(\'intersection\'\) sample_period 0.05540062236599625 online_scaling False,1905,4927,0.4449228330925107,0.0435685648862272,str\(\'intersection\'\),0.0554006223659962,False,,,1,,i7028,5184423
