start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1744584923,1744584936,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 52 n_permutations 531 significance_level 0.5704853012081178,5000,1,52,531,0.5704853012081178,,,1,,i7094,4335907,,,,,
1744584923,1744584936,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4027 n_samples 1 k_neighbors 100 n_permutations 148 significance_level 0.09612247564454486,4027,1,100,148,0.0961224756445448,,,1,,i7094,4335906,,,,,
1744584923,1744584936,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4662 n_samples 1 k_neighbors 30 n_permutations 252 significance_level 0.8617971762504796,4662,1,30,252,0.8617971762504796,,,1,,i7112,4335902,,,,,
1744584923,1744584936,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1176 n_samples 2796 k_neighbors 100 n_permutations 1 significance_level 0.3447668285807718,1176,2796,100,1,0.3447668285807718,0.55,0.0,0,,i7093,4335909,0.0,633.421875,633.3919270833334,-1.0,0.0
1744584923,1744584936,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 105 n_samples 2970 k_neighbors 100 n_permutations 1000 significance_level 0.332713364869736,105,2970,100,1000,0.332713364869736,0.55,0.0,0,,i7093,4335910,0.0,631.29296875,631.2630208333334,-1.0,0.0
1744584924,1744584937,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 100 n_permutations 530 significance_level 0.17560069277412482,5000,1,100,530,0.1756006927741248,,,1,,i7093,4335908,,,,,
1744584941,1744584954,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 53 n_permutations 507 significance_level 0.2676173805353762,5000,1,53,507,0.2676173805353762,,,1,,i7136,4335912,,,,,
1744584941,1744584954,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 40 n_permutations 438 significance_level 0.8320770958219682,5000,1,40,438,0.8320770958219682,,,1,,i7136,4335913,,,,,
1744584941,1744584954,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1 n_samples 2748 k_neighbors 100 n_permutations 1 significance_level 0.2506770212794931,1,2748,100,1,0.2506770212794931,0.55,0.0,0,,i7112,4335914,0.0,632.9375,632.9075520833334,-1.0,0.0
1744584941,1744584954,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 5000 n_samples 1 k_neighbors 100 n_permutations 1000 significance_level 0.6220942027526443,5000,1,100,1000,0.6220942027526443,,,1,,i7094,4335917,,,,,
