start_time,end_time,run_time,program_string,recent_samples_size,n_samples,const,max_depth,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745542235,1745542249,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 5000 n_samples 2940 const 0.001 max_depth 1 threshold 0.999,5000,2940,0.001,1,0.999,0.68,4,0,,i7180,4,484.4140625,484.23828125,-1,0.8080901366826746,4710334
1745542995,1745543008,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1 n_samples 1581 const 10 max_depth 1 threshold 0.001,1,1581,10.0,1,0.001,0.66,2,0,,i7185,2,482.83984375,482.66796875,-1,0.0003001477650535,4710700
1745543915,1745544013,98,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4747 n_samples 85 const 0.001 max_depth 1 threshold 0.001,4747,85,0.001,1,0.001,0.73,89,0,,i7185,89,531.19140625,499.9612926136364,-1,0.9969523457702252,4711147
1745544665,1745544750,85,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4518 n_samples 111 const 10 max_depth 1 threshold 0.5543308605597309,4518,111,10.0,1,0.5543308605597309,0.74,75,0,,i7185,75,519.33203125,496.015234375,-1,0.9994920576283708,4711511
1745545374,1745545419,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 3721 n_samples 143 const 10 max_depth 20 threshold 0.37339170400136135,3721,143,10.0,20,0.3733917040013613,0.73,37,0,,i7183,37,505.76171875,490.994140625,-1,0.9970908755079424,4711822
1745546165,1745546191,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 5000 n_samples 399 const 0.001 max_depth 1 threshold 0.7048508878225677,5000,399,0.001,1,0.7048508878225677,0.73,15,0,,i7181,15,489.01953125,484.5234375,-1,0.9949205762837088,4712230
1745547117,1745547131,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1 n_samples 2523 const 10 max_depth 20 threshold 0.001,1,2523,10.0,20,0.001,0.68,4,0,,i7181,4,483.2109375,483.0572916666667,-1,0.000184706316956,4712716
1745547956,1745548001,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 3633 n_samples 217 const 10 max_depth 20 threshold 0.999,3633,217,10.0,20,0.999,0.73,35,0,,i7182,35,496.875,488.3098958333333,-1,0.9920114517916512,4713111
1745548736,1745548781,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1300 n_samples 142 const 0.001 max_depth 1 threshold 0.001,1300,142,0.001,1,0.001,0.74,32,0,,i7183,32,499.54296875,490.1901041666667,-1,0.9966752862947912,4713459
1745549466,1745549498,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier BNDM recent_samples_size 789 n_samples 121 const 10 max_depth 20 threshold 0.001,789,121,10.0,20,0.001,0.73,22,0,,i7182,22,492.00390625,486.84921875,-1,0.9945511636497968,4713793
