start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1747409246,1747410162,916,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 382 significance 0.9763233312796802 gamma 0.8737894423808903 max_node_size 2162 max_tree_depth 289 max_time_stationary 3069,382,0.9763233312796802,0.8737894423808903,2162,289,3069,,,1,,i7164,5082005
1747409250,1747410216,966,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1014 significance 0.6759034072011709 gamma 0.30470619789138437 max_node_size 1234 max_tree_depth 2961 max_time_stationary 4795,1014,0.6759034072011709,0.3047061978913843,1234,2961,4795,,,1,,i7145,5082012
1747409250,1747410220,970,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2944 significance 0.7113163974843919 gamma 0.24974206911213695 max_node_size 3296 max_tree_depth 3053 max_time_stationary 929,2944,0.7113163974843919,0.2497420691121369,3296,3053,929,,,1,,i7186,5082000
1747409254,1747410351,1097,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2788 significance 0.19674683296121656 gamma 0.6684344949256629 max_node_size 3188 max_tree_depth 3409 max_time_stationary 4856,2788,0.1967468329612165,0.6684344949256629,3188,3409,4856,,,1,,i7143,5082020
1747409256,1747410648,1392,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1327 significance 0.5563511943630874 gamma 0.19444970434717834 max_node_size 2829 max_tree_depth 1758 max_time_stationary 3370,1327,0.5563511943630874,0.1944497043471783,2829,1758,3370,,,1,,i7153,5082006
1747409230,1747410697,1467,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3229 significance 0.7394394764620811 gamma 0.6971224271506071 max_node_size 388 max_tree_depth 4720 max_time_stationary 221,3229,0.7394394764620811,0.6971224271506071,388,4720,221,,,1,,i7146,5081998
1747409252,1747410761,1509,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1104 significance 0.4588772509302944 gamma 0.7739549644365906 max_node_size 4343 max_tree_depth 1598 max_time_stationary 2164,1104,0.4588772509302944,0.7739549644365906,4343,1598,2164,,,1,,i7143,5082019
1747409233,1747410777,1544,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2909 significance 0.3711708132158965 gamma 0.9408976956941187 max_node_size 784 max_tree_depth 4110 max_time_stationary 1296,2909,0.3711708132158965,0.9408976956941189,784,4110,1296,,,1,,i7149,5081996
1747409270,1747410860,1590,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1753 significance 0.8848243392109871 gamma 0.4208646792657673 max_node_size 545 max_tree_depth 725 max_time_stationary 437,1753,0.8848243392109871,0.4208646792657673,545,725,437,,,1,,i7170,5082022
1747409245,1747410905,1660,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3531 significance 0.03909880788624287 gamma 0.3874136794414371 max_node_size 2378 max_tree_depth 1470 max_time_stationary 824,3531,0.0390988078862428,0.3874136794414371,2378,1470,824,,,1,,i7180,5082002
1747409251,1747411012,1761,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1604 significance 0.23044317767582834 gamma 0.8745100145563484 max_node_size 4896 max_tree_depth 4441 max_time_stationary 2772,1604,0.2304431776758283,0.8745100145563484,4896,4441,2772,,,1,,i7144,5082016
1747409251,1747411031,1780,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4353 significance 0.27554484060406687 gamma 0.2711223373468965 max_node_size 1822 max_tree_depth 4878 max_time_stationary 3927,4353,0.2755448406040668,0.2711223373468965,1822,4878,3927,,,1,,i7144,5082017
