start_time,end_time,run_time,program_string,recent_samples_size,feature_id,p,big_windowSize,small_windowSize,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1748426222,1748426795,573,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1521 feature_id 2 p 328 big_windowSize 647 small_windowSize 117,1521,2,328,647,117,0.1,556.0,0,,i7132,556.0,687.8203125,617.3630792025862,-1.0,0.0,5215800
1748426745,1748427223,478,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1291 feature_id 22 p 46 big_windowSize 129 small_windowSize 22,1291,22,46,129,22,0.1,458.0,0,,i7109,458.0,687.09375,568.6064453125,-1.0,0.0,5216422
1748440434,1748442989,2555,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1774 feature_id 13 p 189 big_windowSize 1706 small_windowSize 81,1774,13,189,1706,81,0.1,2545.0,0,,i7176,2545.0,687.01953125,686.5845391536965,-1.0,0.0,5217916
1748490068,1748490865,797,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1481 feature_id 4 p 130 big_windowSize 1396 small_windowSize 221,1481,4,130,1396,221,0.1,780.0,0,,i7133,780.0,687.44140625,649.015087890625,-1.0,0.0,5228911
1748490869,1748491835,966,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 967 feature_id 16 p 80 big_windowSize 502 small_windowSize 46,967,16,80,502,46,0.1,951.0,0,,i7180,951.0,673.75,662.1281008376288,-1.0,0.0,5229710
1748525031,1748525652,621,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1965 feature_id 12 p 104 big_windowSize 941 small_windowSize 162,1965,12,104,941,162,0.1,611.0,0,,i7182,611.0,686.86328125,686.8538818359375,-1.0,0.0,5236799
1748534549,1748535067,518,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1576 feature_id 18 p 30 big_windowSize 1137 small_windowSize 229,1576,18,30,1137,229,0.1,503.0,0,,i7164,503.0,687.625,687.6133549528302,-1.0,0.0,5239723
1748567863,1748568717,854,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1124 feature_id 26 p 236 big_windowSize 713 small_windowSize 171,1124,26,236,713,171,0.19,840.0,0,,i7023,840.0,687.6015625,687.5541878633721,-1.0,0.0,5247756
1748602673,1748603480,807,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1426 feature_id 15 p 458 big_windowSize 890 small_windowSize 123,1426,15,458,890,123,0.1,789.0,0,,i7119,789.0,687.37109375,687.3641975308642,-1.0,0.0,5255780
1748606302,1748608245,1943,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1879 feature_id 21 p 309 big_windowSize 1462 small_windowSize 57,1879,21,309,1462,57,0.1,1930.0,0,,i7074,1930.0,687.71875,673.9461338141026,-1.0,0.0,5257333
1748604370,1748608522,4152,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1636 feature_id 8 p 177 big_windowSize 404 small_windowSize 29,1636,8,177,404,29,0.1,4068.0,0,,i7004,4068.0,642.65234375,544.3238080684597,-1.0,0.0,5256806
1748647216,1748648294,1078,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 251 feature_id 26 p 452 big_windowSize 242 small_windowSize 35,251,26,452,242,35,0.19,1068.0,0,,i7161,1068.0,687.20703125,687.2016198394496,-1.0,0.0,5265792
1748679583,1748680413,830,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1560 feature_id 22 p 146 big_windowSize 786 small_windowSize 196,1560,22,146,786,196,0.1,816.0,0,,i7056,816.0,687.40234375,661.8931361607143,-1.0,0.0,5272813
1748691730,1748693514,1784,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1991 feature_id 18 p 424 big_windowSize 611 small_windowSize 28,1991,18,424,611,28,0.1,1775.0,0,,i7027,1775.0,687.09765625,687.0944878472222,-1.0,0.0,5275204
1748061195,1748061202,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 851 feature_id 15 p 496 big_windowSize 837 small_windowSize 516,851,15,496,837,516,,,1,,i7057,,,,,,5187719
1748061196,1748061202,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1552 feature_id 8 p 60 big_windowSize 893 small_windowSize 449,1552,8,60,893,449,,,1,,i7131,,,,,,5187718
1749856542,1749857184,642,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1842 feature_id 20 p 399 big_windowSize 1178 small_windowSize 158,1842,20,399,1178,158,0.1,632.0,0,,i7066,632.0,687.32421875,687.3133877840909,-1.0,0.0,5426252
