start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1750031524,1750032042,518,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1794 significance 0.2830079902280122 gamma 0.23925812359713017 max_node_size 3926 max_tree_depth 3150 max_time_stationary 3164,1794,0.2830079902280122,0.2392581235971301,3926,3150,3164,,,1,,i7146,5451614,,,,,
1750031524,1750032042,518,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1401 significance 0.5962725040093064 gamma 0.7006089800596237 max_node_size 3681 max_tree_depth 1386 max_time_stationary 2927,1401,0.5962725040093064,0.7006089800596237,3681,1386,2927,,,1,,i7166,5451599,,,,,
1750031493,1750032045,552,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4339 significance 0.9921612122952939 gamma 0.9506803850699216 max_node_size 4361 max_tree_depth 2442 max_time_stationary 1895,4339,0.992161212295294,0.9506803850699216,4361,2442,1895,,,1,,i7150,5451586,,,,,
1750031493,1750032045,552,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4821 significance 0.33969201024994256 gamma 0.5568076632879675 max_node_size 4941 max_tree_depth 2009 max_time_stationary 1203,4821,0.3396920102499425,0.5568076632879675,4941,2009,1203,,,1,,i7153,5451583,,,,,
1750031525,1750032051,526,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 790 significance 0.6760047713126988 gamma 0.9030036106519401 max_node_size 939 max_tree_depth 1919 max_time_stationary 4310,790,0.6760047713126988,0.90300361065194,939,1919,4310,,,1,,i7144,5451624,,,,,
1750031553,1750032054,501,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2232 significance 0.24964564415067433 gamma 0.6123653005640953 max_node_size 1954 max_tree_depth 1515 max_time_stationary 1072,2232,0.2496456441506743,0.6123653005640953,1954,1515,1072,,,1,,i7134,5451678,,,,,
1750031396,1750032055,659,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 653 significance 0.8067152296081185 gamma 0.32591196374222636 max_node_size 3269 max_tree_depth 2323 max_time_stationary 81,653,0.8067152296081185,0.3259119637422263,3269,2323,81,,,1,,i7170,5451498,,,,,
1750031524,1750032056,532,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3391 significance 0.10743987175449729 gamma 0.16435462741553783 max_node_size 779 max_tree_depth 2962 max_time_stationary 580,3391,0.1074398717544972,0.1643546274155378,779,2962,580,,,1,,i7147,5451609,,,,,
1750031553,1750032073,520,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2971 significance 0.7348132560364902 gamma 0.02537855632416904 max_node_size 4995 max_tree_depth 2886 max_time_stationary 3723,2971,0.7348132560364902,0.025378556324169,4995,2886,3723,,,1,,i7134,5451673,,,,,
1750031553,1750032085,532,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 13 significance 0.024301726805046203 gamma 0.6029544723052531 max_node_size 387 max_tree_depth 2354 max_time_stationary 2535,13,0.0243017268050462,0.6029544723052531,387,2354,2535,,,1,,i7139,5451640,,,,,
