start_time,end_time,run_time,program_string,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1748061557,1748061563,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3158 window_size 2813 ev_threshold 0.12978076192177831 delta 0.6494834947641939 divergence_metric str\(\'kl\'\) sample_period 0.029488392667844893 online_scaling False,3158,2813,0.1297807619217783,0.6494834947641939,str\(\'kl\'\),0.0294883926678448,False,,,1,,i7131,5187785
1748061557,1748061564,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4147 window_size 3364 ev_threshold 0.4698878014869988 delta 0.4566992642078549 divergence_metric str\(\'intersection\'\) sample_period 0.039162852028384806 online_scaling False,4147,3364,0.4698878014869988,0.4566992642078549,str\(\'intersection\'\),0.0391628520283848,False,,,1,,i7166,5187784
1748061586,1748061593,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2333 window_size 1994 ev_threshold 0.286906575512141 delta 0.24688357365503907 divergence_metric str\(\'kl\'\) sample_period 0.062058110395446425 online_scaling True,2333,1994,0.286906575512141,0.246883573655039,str\(\'kl\'\),0.0620581103954464,True,,,1,,i7017,5187792
1748061586,1748061593,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2791 window_size 4601 ev_threshold 0.9512813654951752 delta 0.9874908787719905 divergence_metric str\(\'intersection\'\) sample_period 0.051536498032510286 online_scaling False,2791,4601,0.9512813654951752,0.9874908787719904,str\(\'intersection\'\),0.0515364980325102,False,,,1,,i7030,5187791
1748061587,1748061594,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3628 window_size 1788 ev_threshold 0.5539142982121557 delta 0.8409440331030636 divergence_metric str\(\'intersection\'\) sample_period 0.012481124978512526 online_scaling True,3628,1788,0.5539142982121557,0.8409440331030636,str\(\'intersection\'\),0.0124811249785125,True,,,1,,i7166,5187789
1748061587,1748061594,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4437 window_size 551 ev_threshold 0.025616854978725314 delta 0.3698338864184916 divergence_metric str\(\'intersection\'\) sample_period 0.022602664409205317 online_scaling True,4437,551,0.0256168549787253,0.3698338864184916,str\(\'intersection\'\),0.0226026644092053,True,,,1,,i7131,5187790
1748061587,1748061594,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier PCACD recent_samples_size 520 window_size 2846 ev_threshold 0.736895583672449 delta 0.6111497426442802 divergence_metric str\(\'kl\'\) sample_period 0.07817910162732006 online_scaling False,520,2846,0.736895583672449,0.6111497426442802,str\(\'kl\'\),0.07817910162732,False,,,1,,i7169,5187788
1748061616,1748061623,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier PCACD recent_samples_size 555 window_size 2053 ev_threshold 0.9167793686315417 delta 0.7574327313695103 divergence_metric str\(\'intersection\'\) sample_period 0.08906950783915818 online_scaling True,555,2053,0.9167793686315416,0.7574327313695103,str\(\'intersection\'\),0.0890695078391581,True,,,1,,i7030,5187796
1748061617,1748061623,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2660 window_size 377 ev_threshold 0.6478811894971878 delta 0.6384893277976662 divergence_metric str\(\'kl\'\) sample_period 0.04063519014976919 online_scaling True,2660,377,0.6478811894971878,0.6384893277976662,str\(\'kl\'\),0.0406351901497691,True,,,1,,i7017,5187797
1748061617,1748061624,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4489 window_size 4466 ev_threshold 0.31476345809549094 delta 0.0013400810230523347 divergence_metric str\(\'kl\'\) sample_period 0.011009131520986558 online_scaling False,4489,4466,0.3147634580954909,0.0013400810230523,str\(\'kl\'\),0.0110091315209865,False,,,1,,i7166,5187794
