start_time,end_time,run_time,program_string,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747436498,1747441651,5153,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4561 batch_size 1971 detection_buf_size 3439 overlap 0.9646831571310759 alpha 0.6461274714898319 gamma 5.775763736364432 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 4712,4561,1971,3439,0.964683157131076,0.6461274714898319,5.775763736364432,str\(\'ks-test\'\),str\(\'full\'\),4712,0.19,5127.0,0,,i7161,5127.0,511.2265625,469.3701361867704,-1.0,0.0,5086810
1747465381,1747473439,8058,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1824 batch_size 1297 detection_buf_size 846 overlap 0.7060000586379319 alpha 0.7332779536768794 gamma 9.498013887311332 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 4323,1824,1297,846,0.7060000586379319,0.7332779536768794,9.498013887311332,str\(\'t-test\'\),str\(\'full\'\),4323,0.19,8029.0,0,,i7150,8029.0,511.1015625,477.151566386816,-1.0,0.0,5088824
1747492156,1747497896,5740,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 942 batch_size 1724 detection_buf_size 3846 overlap 0.9132475974969566 alpha 0.6131677823252976 gamma 0.41454038938693705 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 440,942,1724,3846,0.9132475974969566,0.6131677823252976,0.414540389386937,str\(\'ks-test\'\),str\(\'full\'\),440,0.19,5715.0,0,,i7064,5715.0,524.546875,477.1130630999127,-1.0,0.0,5091669
1747494457,1747507293,12836,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 319 batch_size 590 detection_buf_size 150 overlap 0.605776782028377 alpha 0.14065570799261332 gamma 3.8861089942064138 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 3006,319,590,150,0.605776782028377,0.1406557079926133,3.8861089942064138,str\(\'ks-test\'\),str\(\'bounded\'\),3006,0.19,12818.0,0,,i7175,12818.0,511.828125,450.6559303146921,-1.0,0.0,5091782
1747516526,1747526442,9916,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 619 batch_size 872 detection_buf_size 2130 overlap 0.8662315464001149 alpha 0.5247064986005425 gamma 9.276879683339969 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 4791,619,872,2130,0.8662315464001149,0.5247064986005425,9.276879683339969,str\(\'ks-test\'\),str\(\'full\'\),4791,0.19,9888.0,0,,i7051,9888.0,511.74609375,439.8590080492425,-1.0,0.0,5093450
1747550933,1747557154,6221,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4502 batch_size 1687 detection_buf_size 4271 overlap 0.6944635034706443 alpha 0.0048901513647288085 gamma 1.165857467518188 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 3078,4502,1687,4271,0.6944635034706443,0.0048901513647288,1.165857467518188,str\(\'ks-test\'\),str\(\'bounded\'\),3078,0.19,6206.0,0,,i7099,6206.0,511.1640625,489.1819609123794,-1.0,0.0,5096172
1745671492,1745671512,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3852 batch_size 28 detection_buf_size 3386 overlap 0.033501613203436136 alpha 0.38403474405035376 gamma 2.840700206199661 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 2285,3852,28,3386,0.0335016132034361,0.3840347440503537,2.840700206199661,str\(\'t-test\'\),str\(\'full\'\),2285,,,1,,i7179,,,,,,4765665
1750621209,1750626242,5033,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3073 batch_size 2114 detection_buf_size 1413 overlap 0.9829379918053747 alpha 0.7970668341796845 gamma 6.945113436087967 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 8,3073,2114,1413,0.9829379918053748,0.7970668341796845,6.945113436087967,str\(\'ks-test\'\),str\(\'bounded\'\),8,0.19,5018.0,0,,i7163,5018.0,510.515625,388.8253503224207,-1.0,0.0,5534274
1750621194,1750633732,12538,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4466 batch_size 2992 detection_buf_size 3563 overlap 0.18763497571274637 alpha 0.623565590141341 gamma 8.122903957786038 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 20,4466,2992,3563,0.1876349757127463,0.623565590141341,8.122903957786038,str\(\'t-test\'\),str\(\'bounded\'\),20,0.19,12498.0,0,,i7162,12498.0,513.61328125,388.336075,-1.0,0.0,5534268
1750636131,1750643714,7583,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2515 batch_size 1267 detection_buf_size 3627 overlap 0.750516632117331 alpha 0.71539117491059 gamma 6.313509376257659 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 18,2515,1267,3627,0.750516632117331,0.71539117491059,6.313509376257659,str\(\'ks-test\'\),str\(\'bounded\'\),18,0.19,7521.0,0,,i7171,7521.0,520.9140625,455.4157380893095,-1.0,0.0,5534958
