start_time,end_time,run_time,program_string,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744540563,1744540588,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 9 batch_size 173 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.999 subsets 15,1,9,173,str\(\'KL\'\),2,str\(\'tstat\'\),0.999,15,0.08,4,0,,i7048,4,634.24609375,633.9348958333334,-1,0,4320840
1744540561,1744540593,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3615 feature_id 9 batch_size 1 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.999 subsets 68,3615,9,1,str\(\'H\'\),3,str\(\'stdev\'\),0.999,68,0.08,7,0,,i7044,7,621.03515625,620.83203125,-1,0,4320853
1744547895,1744547907,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 9 batch_size 1 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'tstat\'\) significance 0.001 subsets 1,5000,9,1,str\(\'H\'\),1,str\(\'tstat\'\),0.001,1,,,1,,i7169,,,,,,4324719
1744547895,1744547907,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 9 batch_size 3174 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 29,1,9,3174,str\(\'H\'\),1,str\(\'stdev\'\),0.999,29,0.08,3,0,,i7139,3,633.765625,633.6171875,-1,0,4324725
1744547895,1744547908,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3966 feature_id 9 batch_size 1 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'tstat\'\) significance 0.999 subsets 65,3966,9,1,str\(\'KL\'\),1,str\(\'tstat\'\),0.999,65,,,1,,i7176,,,,,,4324717
1744547895,1744547908,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3588 feature_id 9 batch_size 1480 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.999 subsets 1,3588,9,1480,str\(\'KL\'\),2,str\(\'tstat\'\),0.999,1,0.08,4,0,,i7167,4,633.19921875,632.88671875,-1,0,4324721
1744547895,1744547914,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2433 feature_id 9 batch_size 1008 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 58,2433,9,1008,str\(\'KL\'\),1,str\(\'stdev\'\),0.999,58,0.08,5,0,,i7144,5,634.6484375,634.49609375,-1,0,4324723
1744547911,1744547924,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 888 feature_id 9 batch_size 334 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.999 subsets 19,888,9,334,str\(\'H\'\),3,str\(\'stdev\'\),0.999,19,0.08,3,0,,i7186,3,634.3046875,634.1328125,-1,0,4324727
1744547911,1744547930,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1022 feature_id 9 batch_size 983 divergence str\(\'H\'\) detect_batch 1 statistic str\(\'tstat\'\) significance 0.001 subsets 57,1022,9,983,str\(\'H\'\),1,str\(\'tstat\'\),0.001,57,0.08,6,0,,i7180,6,633.37890625,633.1588541666666,-1,0,4324729
1744547924,1744547937,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 9 batch_size 794 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.001 subsets 1,1,9,794,str\(\'H\'\),2,str\(\'tstat\'\),0.001,1,0.08,4,0,,i7180,4,634.65625,634.34375,-1,0,4324730
1744547925,1744547937,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 9 batch_size 1 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 77,1,9,1,str\(\'KL\'\),1,str\(\'stdev\'\),0.999,77,,,1,,i7176,,,,,,4324732
1744547925,1744547937,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 9 batch_size 1781 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 57,5000,9,1781,str\(\'KL\'\),1,str\(\'stdev\'\),0.001,57,0.08,4,0,,i7169,4,634.05859375,633.9166666666666,-1,0,4324736
1744547925,1744547938,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 9 batch_size 908 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.999 subsets 1,5000,9,908,str\(\'KL\'\),2,str\(\'stdev\'\),0.999,1,0.08,5,0,,i7160,5,634.484375,634.234375,-1,0,4324738
1744547925,1744547938,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2445 feature_id 9 batch_size 456 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.999 subsets 76,2445,9,456,str\(\'KL\'\),3,str\(\'tstat\'\),0.999,76,0.08,4,0,,i7155,4,633.85546875,633.62890625,-1,0,4324739
1744547925,1744547938,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4848 feature_id 9 batch_size 323 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 60,4848,9,323,str\(\'KL\'\),1,str\(\'stdev\'\),0.999,60,0.08,4,0,,i7174,4,633.5859375,633.4309895833334,-1,0,4324734
1744547931,1744547944,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1256 feature_id 9 batch_size 4770 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.001 subsets 100,1256,9,4770,str\(\'KL\'\),3,str\(\'tstat\'\),0.001,100,0.08,3,0,,i7153,3,633.12109375,632.94921875,-1,0,4324741
1744547951,1744547964,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 386 feature_id 9 batch_size 1464 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.001 subsets 77,386,9,1464,str\(\'H\'\),3,str\(\'tstat\'\),0.001,77,0.08,3,0,,i7180,3,634.5078125,634.3190104166666,-1,0,4324745
1744547951,1744547964,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 9 batch_size 1 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.999 subsets 1,1,9,1,str\(\'KL\'\),1,str\(\'stdev\'\),0.999,1,,,1,,i7186,,,,,,4324743
1744547954,1744547967,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4379 feature_id 9 batch_size 282 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.001 subsets 63,4379,9,282,str\(\'KL\'\),1,str\(\'stdev\'\),0.001,63,0.08,4,0,,i7180,4,634.5703125,634.41796875,-1,0,4324747
1744547955,1744547967,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 9 batch_size 4748 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.999 subsets 100,5000,9,4748,str\(\'KL\'\),3,str\(\'tstat\'\),0.999,100,0.08,3,0,,i7174,3,632.9375,632.734375,-1,0,4324751
1744547955,1744547967,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 5000 feature_id 9 batch_size 3892 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.999 subsets 76,5000,9,3892,str\(\'H\'\),2,str\(\'tstat\'\),0.999,76,0.08,3,0,,i7176,3,634.6015625,634.4010416666666,-1,0,4324750
1744547955,1744547968,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4536 feature_id 9 batch_size 1412 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.001 subsets 1,4536,9,1412,str\(\'H\'\),2,str\(\'stdev\'\),0.001,1,0.08,4,0,,i7168,4,634.3671875,634.1184895833334,-1,0,4324754
1744547971,1744547984,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1 feature_id 9 batch_size 3320 divergence str\(\'H\'\) detect_batch 2 statistic str\(\'tstat\'\) significance 0.999 subsets 100,1,9,3320,str\(\'H\'\),2,str\(\'tstat\'\),0.999,100,0.08,3,0,,i7184,3,634.015625,633.81640625,-1,0,4324757
