start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_clusters,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1744543242,1744543255,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 809 n_samples 1 n_clusters 1 threshold 0.5278276827854237,809,1,1,0.5278276827854237,,,1,,i7041,4322580,,,,,
1744543242,1744543255,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 491 n_samples 1 n_clusters 1 threshold 0.001,491,1,1,0.001,,,1,,i7049,4322572,,,,,
1744543242,1744543255,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4196 n_samples 1 n_clusters 1 threshold 0.001,4196,1,1,0.001,,,1,,i7036,4322587,,,,,
1744543242,1744543255,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1129 n_samples 1 n_clusters 10 threshold 0.5555069238125468,1129,1,10,0.5555069238125468,,,1,,i7040,4322582,,,,,
1744543242,1744543255,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3303 n_samples 1 n_clusters 1 threshold 0.22009995896704057,3303,1,1,0.2200999589670405,,,1,,i7036,4322589,,,,,
1744543242,1744543255,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2921 n_samples 1 n_clusters 10 threshold 0.001,2921,1,10,0.001,,,1,,i7034,4322594,,,,,
1744543242,1744543255,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2704 n_samples 1 n_clusters 1 threshold 0.001,2704,1,1,0.001,,,1,,i7030,4322607,,,,,
1744543242,1744543255,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2313 n_samples 1 n_clusters 1 threshold 0.001,2313,1,1,0.001,,,1,,i7040,4322581,,,,,
1744543243,1744543255,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1490 n_samples 1 n_clusters 10 threshold 0.001,1490,1,10,0.001,,,1,,i7031,4322600,,,,,
1744543243,1744543255,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2158 n_samples 1 n_clusters 10 threshold 0.5258729097184572,2158,1,10,0.5258729097184572,,,1,,i7052,4322570,,,,,
1744543243,1744543255,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3522 n_samples 1 n_clusters 4 threshold 0.001,3522,1,4,0.001,,,1,,i7063,4322559,,,,,
1744543243,1744543256,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 5000 n_samples 1 n_clusters 10 threshold 0.5393665042591581,5000,1,10,0.5393665042591581,,,1,,i7054,4322567,,,,,
1744543243,1744543256,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 893 n_samples 1 n_clusters 1 threshold 0.001,893,1,1,0.001,,,1,,i7079,4322556,,,,,
1744543214,1744543265,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1063 n_samples 194 n_clusters 7 threshold 0.999,1063,194,7,0.999,0.73,39.0,0,,i7092,4322543,39.0,502.38671875,489.9954427083333,-1.0,0.9977835241965276
1744543242,1744543280,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 871 n_samples 183 n_clusters 10 threshold 0.999,871,183,10,0.999,0.74,30.0,0,,i7033,4322597,30.0,504.53515625,491.13046875,-1.0,0.9984299963058736
1744543243,1744543281,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 799 n_samples 171 n_clusters 1 threshold 0.999,799,171,1,0.999,0.74,27.0,0,,i7045,4322575,27.0,498.61328125,488.5046875,-1.0,0.9992842630217952
1744543242,1744543299,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 900 n_samples 111 n_clusters 10 threshold 0.999,900,111,10,0.999,0.74,47.0,0,,i7035,4322591,47.0,517.83984375,497.390625,-1.0,0.999769117103805
1744543243,1744543299,56,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3088 n_samples 158 n_clusters 10 threshold 0.999,3088,158,10,0.999,0.73,46.0,0,,i7039,4322583,46.0,508.86328125,492.95424107142856,-1.0,0.9994227927595124
1744543242,1744543305,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3835 n_samples 207 n_clusters 1 threshold 0.999,3835,207,1,0.999,0.74,51.0,0,,i7042,4322577,51.0,520.2578125,498.77587890625,-1.0,0.9986147026228296
1744543242,1744543311,69,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1743 n_samples 185 n_clusters 6 threshold 0.999,1743,185,6,0.999,0.73,62.0,0,,i7037,4322585,62.0,524.17578125,500.14409722222223,-1.0,0.997391023272996
1744543242,1744543324,82,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1788 n_samples 152 n_clusters 1 threshold 0.999,1788,152,1,0.999,0.74,68.0,0,,i7060,4322564,68.0,534.359375,503.8220486111111,-1.0,0.9970446989287034
1744543242,1744543362,120,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3550 n_samples 86 n_clusters 10 threshold 0.999,3550,86,10,0.999,0.73,111.0,0,,i7031,4322602,111.0,550.69140625,512.0200892857143,-1.0,0.9993304396010344
1744543214,1744543541,327,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 778 n_samples 15 n_clusters 10 threshold 0.999,778,15,10,0.999,0.73,317.0,0,,i7064,4322549,317.0,576.99609375,527.8980928308823,-1.0,0.9997922053934244
1744543242,1744543675,433,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1594 n_samples 22 n_clusters 10 threshold 0.999,1594,22,10,0.999,0.74,425.0,0,,i7030,4322605,425.0,597.3828125,534.7288194444444,-1.0,0.999722940524566
1745405685,1745405743,58,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1946 n_samples 499 n_clusters 9 threshold 0.6009038355350494,1946,499,9,0.6009038355350494,0.73,39.0,0,,i7185,4621101,39.0,504.5078125,492.6126302083333,-1.0,0.993096601403768
1745405709,1745405797,88,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4397 n_samples 1532 n_clusters 6 threshold 0.9743768962621688,4397,1532,6,0.9743768962621688,0.7,22.0,0,,i7184,4621132,22.0,483.78125,478.05859375,-1.0,0.9968830809013668
1745405748,1745405806,58,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 100 n_samples 2119 n_clusters 1 threshold 0.310093053933233,100,2119,1,0.310093053933233,0.67,27.0,0,,i7184,4621175,27.0,482.49609375,480.26953125,-1.0,0.0415589213151089
1745405704,1745405861,157,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3638 n_samples 3074 n_clusters 3 threshold 0.11737728367745877,3638,3074,3,0.1173772836774587,0.71,138.0,0,,i7185,4621118,138.0,490.1171875,489.22998046875,-1.0,0.8218969338751385
1745405836,1745405875,39,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1296 n_samples 1809 n_clusters 3 threshold 0.8282230792306363,1296,1809,3,0.8282230792306363,0.69,20.0,0,,i7184,4621288,20.0,490.5390625,486.6552734375,-1.0,0.6582933136313261
1745405728,1745405902,174,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1108 n_samples 3958 n_clusters 5 threshold 0.490606575878337,1108,3958,5,0.490606575878337,0.67,125.0,0,,i7184,4621154,125.0,482.875,479.8515625,-1.0,0.2302364240857037
1745405843,1745405921,78,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3767 n_samples 223 n_clusters 1 threshold 0.7046156150605529,3767,223,1,0.7046156150605529,0.73,54.0,0,,i7182,4621374,54.0,516.421875,495.99755859375,-1.0,0.9997460288141854
1745405849,1745405925,76,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3047 n_samples 4224 n_clusters 7 threshold 0.3130225991662592,3047,4224,7,0.3130225991662592,0.69,52.0,0,,i7183,4621332,52.0,491.78515625,489.51513671875,-1.0,0.5628001477650536
1745405835,1745405936,101,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2649 n_samples 1163 n_clusters 4 threshold 0.18429259969852865,2649,1163,4,0.1842925996985286,0.69,70.0,0,,i7183,4621226,70.0,489.30078125,488.16753472222223,-1.0,0.9827761359438492
1745405879,1745405958,79,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier SPLL recent_samples_size 498 n_samples 2807 n_clusters 10 threshold 0.18917136554047465,498,2807,10,0.1891713655404746,0.7,61.0,0,,i7184,4621423,61.0,491.52734375,489.5017361111111,-1.0,0.1609715552271887
