Unnamed: 0,end_time,run_time,program_string,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,start_time
1746335719.0,1746335732,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1789 n_samples 253 n_permutations 2 update_interval 250 n_consecutive_deviations 4,1789,253,2,250,4,,,1,,i7179,4935596,,,,,,
1746335719.0,1746335732,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 377 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,377,2,2,10,,,1,,i7176,4935599,,,,,,
1746335719.0,1746335732,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 972 n_samples 249 n_permutations 2 update_interval 250 n_consecutive_deviations 3,972,249,2,250,3,,,1,,i7176,4935597,,,,,,
1746335719.0,1746335732,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1 n_samples 435 n_permutations 2 update_interval 2 n_consecutive_deviations 10,1,435,2,2,10,,,1,,i7179,4935593,,,,,,
1746335719.0,1746335732,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 332 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,332,2,2,10,,,1,,i7180,4935592,,,,,,
1746335719.0,1746335733,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3251 n_samples 242 n_permutations 2 update_interval 250 n_consecutive_deviations 5,3251,242,2,250,5,,,1,,i7184,4935591,,,,,,
1746335719.0,1746335750,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1 n_samples 982 n_permutations 2 update_interval 250 n_consecutive_deviations 1,1,982,2,250,1,0.91,0.0,0,,i7175,4935603,0.0,752.27734375,752.2473958333334,-1.0,0.0,
1746335719.0,1746335750,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3858 n_samples 1 n_permutations 2 update_interval 2 n_consecutive_deviations 10,3858,1,2,2,10,,,1,,i7175,4935601,,,,,,
1746335719.0,1746335751,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 268 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,268,2,2,10,,,1,,i7175,4935602,,,,,,
1746335719.0,1746335751,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4389 n_samples 220 n_permutations 2 update_interval 250 n_consecutive_deviations 6,4389,220,2,250,6,,,1,,i7175,4935605,,,,,,
1746335739.0,1746335752,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1 n_samples 1524 n_permutations 2 update_interval 2 n_consecutive_deviations 7,1,1524,2,2,7,0.91,0.0,0,,i7176,4935616,0.0,752.625,752.5755208333334,-1.0,0.0,
1746335739.0,1746335752,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 2073 n_permutations 1000 update_interval 250 n_consecutive_deviations 6,5000,2073,1000,250,6,0.91,0.0,0,,i7176,4935618,0.0,752.9453125,752.8958333333334,-1.0,0.0,
1746335739.0,1746335752,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 4026 n_permutations 2 update_interval 250 n_consecutive_deviations 4,5000,4026,2,250,4,0.91,0.0,0,,i7179,4935614,0.0,752.875,752.8450520833334,-1.0,0.0,
1746335739.0,1746335752,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 172 n_permutations 2 update_interval 250 n_consecutive_deviations 8,5000,172,2,250,8,,,1,,i7179,4935612,,,,,,
1746335739.0,1746335752,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2628 n_samples 931 n_permutations 2 update_interval 2 n_consecutive_deviations 8,2628,931,2,2,8,0.91,0.0,0,,i7184,4935608,0.0,751.5859375,751.5364583333334,-1.0,0.0,
1746335739.0,1746335752,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2678 n_samples 403 n_permutations 2 update_interval 2 n_consecutive_deviations 10,2678,403,2,2,10,,,1,,i7180,4935610,,,,,,
1746335739.0,1746335752,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 4272 n_permutations 93 update_interval 250 n_consecutive_deviations 8,5000,4272,93,250,8,0.91,0.0,0,,i7179,4935613,0.0,752.44140625,752.4114583333334,-1.0,0.0,
1746335739.0,1746335752,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 5000 n_samples 224 n_permutations 2 update_interval 2 n_consecutive_deviations 10,5000,224,2,2,10,,,1,,i7181,4935609,,,,,,
1746335749.0,1746335761,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1414 n_samples 244 n_permutations 2 update_interval 250 n_consecutive_deviations 4,1414,244,2,250,4,,,1,,i7176,4935620,,,,,,
