start_time,end_time,run_time,program_string,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1747957053,1747957066,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1827 window_size 2034 ev_threshold 0.3712892710249871 delta 0.07937100910395384 divergence_metric str\(\'intersection\'\) sample_period 0.09985035939142109 online_scaling True,1827,2034,0.3712892710249871,0.0793710091039538,str\(\'intersection\'\),0.099850359391421,True,,,1,,i7166,5180477
1747957053,1747957066,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 519 window_size 3462 ev_threshold 0.8491109920926392 delta 0.576374889805913 divergence_metric str\(\'intersection\'\) sample_period 0.05845213878899813 online_scaling False,519,3462,0.8491109920926392,0.576374889805913,str\(\'intersection\'\),0.0584521387889981,False,,,1,,i7166,5180475
1747957053,1747957066,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2544 window_size 2901 ev_threshold 0.3803464258387685 delta 0.3773529411982745 divergence_metric str\(\'kl\'\) sample_period 0.026149070775136354 online_scaling False,2544,2901,0.3803464258387685,0.3773529411982745,str\(\'kl\'\),0.0261490707751363,False,,,1,,i7166,5180476
1747956960,1747957087,127,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4843 window_size 692 ev_threshold 0.2730180824082345 delta 0.5599182970579714 divergence_metric str\(\'intersection\'\) sample_period 0.029105429127812388 online_scaling True,4843,692,0.2730180824082345,0.5599182970579714,str\(\'intersection\'\),0.0291054291278123,True,,,1,,i7033,5180455
1747957080,1747957093,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 564 window_size 1958 ev_threshold 0.6714732517004013 delta 0.9855798059869557 divergence_metric str\(\'kl\'\) sample_period 0.06864749160595239 online_scaling True,564,1958,0.6714732517004013,0.9855798059869556,str\(\'kl\'\),0.0686474916059523,True,,,1,,i7166,5180483
1747957103,1747957136,33,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3330 window_size 3922 ev_threshold 0.2869515390656889 delta 0.2154414202235639 divergence_metric str\(\'intersection\'\) sample_period 0.04346601307392121 online_scaling False,3330,3922,0.2869515390656889,0.2154414202235639,str\(\'intersection\'\),0.0434660130739212,False,,,1,,i7169,5180482
1747957025,1747957137,112,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2174 window_size 122 ev_threshold 0.9873832593951374 delta 0.48543993213027714 divergence_metric str\(\'kl\'\) sample_period 0.06146892781369389 online_scaling True,2174,122,0.9873832593951374,0.4854399321302771,str\(\'kl\'\),0.0614689278136938,True,,,1,,i7038,5180471
1747957062,1747957659,597,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1028 window_size 1113 ev_threshold 0.5152772187031806 delta 0.6677151738032698 divergence_metric str\(\'intersection\'\) sample_period 0.08455269241705538 online_scaling True,1028,1113,0.5152772187031806,0.6677151738032698,str\(\'intersection\'\),0.0845526924170553,True,,,1,,i7168,5180474
1747997650,1747997656,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1454 window_size 4924 ev_threshold 0.3947186368443072 delta 0.5174342377390713 divergence_metric str\(\'kl\'\) sample_period 0.04619770557619632 online_scaling True,1454,4924,0.3947186368443072,0.5174342377390713,str\(\'kl\'\),0.0461977055761963,True,,,1,,i7037,5182450
1747997650,1747997656,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4720 window_size 4813 ev_threshold 0.21821147942729294 delta 0.8753351574800908 divergence_metric str\(\'kl\'\) sample_period 0.0189101676736027 online_scaling False,4720,4813,0.2182114794272929,0.8753351574800908,str\(\'kl\'\),0.0189101676736027,False,,,1,,i7020,5182451
1747997651,1747997657,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2983 window_size 3253 ev_threshold 0.9157839728146792 delta 0.37269549649581313 divergence_metric str\(\'kl\'\) sample_period 0.02784829025156796 online_scaling False,2983,3253,0.9157839728146792,0.3726954964958131,str\(\'kl\'\),0.0278482902515679,False,,,1,,i7043,5182449
1747997650,1747997663,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 993 window_size 4648 ev_threshold 0.9428719150573015 delta 0.7655281265918166 divergence_metric str\(\'kl\'\) sample_period 0.09826358440332116 online_scaling False,993,4648,0.9428719150573016,0.7655281265918166,str\(\'kl\'\),0.0982635844033211,False,,,1,,i7056,5182448
1747997680,1747997686,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3668 window_size 2690 ev_threshold 0.0055866310093551875 delta 0.7825541046336293 divergence_metric str\(\'intersection\'\) sample_period 0.09202998271211982 online_scaling True,3668,2690,0.0055866310093551,0.7825541046336293,str\(\'intersection\'\),0.0920299827121198,True,,,1,,i7043,5182455
1747997680,1747997687,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2301 window_size 1033 ev_threshold 0.46462371687777343 delta 0.2644144492018968 divergence_metric str\(\'kl\'\) sample_period 0.059676533425226816 online_scaling True,2301,1033,0.4646237168777734,0.2644144492018968,str\(\'kl\'\),0.0596765334252268,True,,,1,,i7037,5182456
1747997682,1747997689,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1388 window_size 1777 ev_threshold 0.8316440931316466 delta 0.1716814884711057 divergence_metric str\(\'intersection\'\) sample_period 0.08900383587926626 online_scaling True,1388,1777,0.8316440931316466,0.1716814884711057,str\(\'intersection\'\),0.0890038358792662,True,,,1,,i7020,5182457
1747997681,1747997693,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1 window_size 2575 ev_threshold 0.3222094489596784 delta 0.672582802856341 divergence_metric str\(\'intersection\'\) sample_period 0.06307784711942077 online_scaling False,1,2575,0.3222094489596784,0.672582802856341,str\(\'intersection\'\),0.0630778471194207,False,,,1,,i7056,5182454
1747997682,1747997694,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4938 window_size 1575 ev_threshold 0.5247903135791421 delta 0.3127482067942619 divergence_metric str\(\'intersection\'\) sample_period 0.06592953335493804 online_scaling False,4938,1575,0.5247903135791421,0.3127482067942619,str\(\'intersection\'\),0.065929533354938,False,,,1,,i7157,5182452
