start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747542150,1747542677,527,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 1238 n_reference_samples 1311 recent_samples_proportion 0.42326848757267 threshold 0.18689807106740772,1238,1311,0.42326848757267,0.1868980710674077,0.75,504.0,0,,i7186,504.0,2282.75390625,1645.3092570754718,-1.0,0.9407749753027572,5095521
1747542476,1747542727,251,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 4677 n_reference_samples 3959 recent_samples_proportion 0.878766015291214 threshold 0.06546546877548098,4677,3959,0.878766015291214,0.0654654687754809,0.7,238.0,0,,i7017,238.0,1691.09765625,1345.5727163461538,-1.0,0.9929276077179748,5095549
1747542692,1747542818,126,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2431 n_reference_samples 2978 recent_samples_proportion 0.5364002830684185 threshold 0.3537298647761345,2431,2978,0.5364002830684185,0.3537298647761345,0.69,105.0,0,,i7186,105.0,1269.0390625,1131.6430288461538,-1.0,0.8103165392081684,5095560
1747542357,1747542841,484,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 1468 n_reference_samples 1723 recent_samples_proportion 0.8470573113411665 threshold 0.425203698432073,1468,1723,0.8470573113411665,0.425203698432073,0.74,465.0,0,,i7120,465.0,2193.21875,1590.9710618622448,-1.0,0.8493433642135223,5095540
1747542754,1747542863,109,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 3581 n_reference_samples 2267 recent_samples_proportion 0.2543645289428532 threshold 0.8674473896641284,3581,2267,0.2543645289428532,0.8674473896641284,0.58,87.0,0,,i7089,87.0,1059.73046875,1045.661221590909,-1.0,0.0695512355529764,5095564
1747541850,1747542981,1131,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 830 n_reference_samples 167 recent_samples_proportion 0.49012247410975396 threshold 0.7666532015874982,830,167,0.4901224741097539,0.7666532015874982,0.8,1092.0,0,,i7081,1092.0,2003.53515625,1619.0706263950892,-1.0,0.962510276125538,5095480
1747542833,1747542996,163,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 3137 n_reference_samples 4725 recent_samples_proportion 0.5898253860715776 threshold 0.5159920412395149,3137,4725,0.5898253860715776,0.5159920412395149,0.68,142.0,0,,i7186,142.0,1333.05078125,1177.900275735294,-1.0,0.6555598156860307,5095568
1747542846,1747543011,165,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 2103 n_reference_samples 581 recent_samples_proportion 0.36990661758743226 threshold 0.0015135637894272804,2103,581,0.3699066175874322,0.0015135637894272,0.69,145.0,0,,i7038,145.0,1301.99609375,1147.5006893382354,-1.0,0.9994991468225184,5095571
1747542970,1747543046,76,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 1007 n_reference_samples 3186 recent_samples_proportion 0.996873201424256 threshold 0.8076371135096997,1007,3186,0.996873201424256,0.8076371135096997,0.56,60.0,0,,i7087,60.0,1050.8359375,1041.1455078125,-1.0,0.0313050506725249,5095576
1747542543,1747543130,587,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier D3 recent_samples_size 709 n_reference_samples 758 recent_samples_proportion 0.15893268426135182 threshold 0.5806922544147819,709,758,0.1589326842613518,0.5806922544147819,0.77,563.0,0,,i7181,563.0,2334.67578125,1663.071967690678,-1.0,0.9318442450242828,5095553
