start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1745406501,1745406565,64,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier D3 recent_samples_size 1240 n_reference_samples 1 recent_samples_proportion 0.001 threshold 0.8157061793000381,1240,1,0.001,0.8157061793000381,,,1,,i7174,4622466,,,,,
1745406740,1745406766,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier D3 recent_samples_size 3466 n_reference_samples 1161 recent_samples_proportion 0.001 threshold 0.09548697919720418,3466,1161,0.001,0.0954869791972041,,,1,,i7175,4622792,,,,,
1745407047,1745407079,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier D3 recent_samples_size 1292 n_reference_samples 1 recent_samples_proportion 0.001 threshold 0.8169217613605526,1292,1,0.001,0.8169217613605526,,,1,,i7175,4623116,,,,,
1745407264,1745407296,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier D3 recent_samples_size 1228 n_reference_samples 1 recent_samples_proportion 0.001 threshold 0.9728440869163743,1228,1,0.001,0.9728440869163744,,,1,,i7173,4623326,,,,,
1745407525,1745407545,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier D3 recent_samples_size 1297 n_reference_samples 1 recent_samples_proportion 0.001 threshold 0.7915763516048135,1297,1,0.001,0.7915763516048135,,,1,,i7174,4623610,,,,,
1745407753,1745407772,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier D3 recent_samples_size 4017 n_reference_samples 21 recent_samples_proportion 0.001 threshold 0.999,4017,21,0.001,0.999,,,1,,i7167,4623858,,,,,
1745408112,1745408125,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier D3 recent_samples_size 1230 n_reference_samples 1 recent_samples_proportion 0.001 threshold 0.8056310848898611,1230,1,0.001,0.8056310848898611,,,1,,i7173,4624214,,,,,
1745408400,1745408419,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier D3 recent_samples_size 1203 n_reference_samples 1 recent_samples_proportion 0.001 threshold 0.9829294652783513,1203,1,0.001,0.9829294652783512,,,1,,i7177,4624480,,,,,
1745408636,1745408675,39,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier D3 recent_samples_size 1292 n_reference_samples 1 recent_samples_proportion 0.001 threshold 0.8074389295977451,1292,1,0.001,0.8074389295977451,,,1,,i7178,4624644,,,,,
1745409066,1745409098,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier D3 recent_samples_size 3675 n_reference_samples 1236 recent_samples_proportion 0.001 threshold 0.034001852748615925,3675,1236,0.001,0.0340018527486159,,,1,,i7183,4625048,,,,,
