start_time,end_time,run_time,program_string,recent_samples_size,feature_id,p,big_windowSize,small_windowSize,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1747668336,1747668349,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1570 feature_id 2 p 25 big_windowSize 611 small_windowSize 503,1570,2,25,611,503,,,1,,i7158,5149936
1747683140,1747683147,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1554 feature_id 0 p 413 big_windowSize 1368 small_windowSize 934,1554,0,413,1368,934,,,1,,i7182,5153614
1747683141,1747683154,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1151 feature_id 4 p 233 big_windowSize 327 small_windowSize 240,1151,4,233,327,240,,,1,,i7185,5153612
1747683141,1747683154,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1845 feature_id 4 p 390 big_windowSize 566 small_windowSize 260,1845,4,390,566,260,,,1,,i7184,5153613
1747683141,1747683154,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1935 feature_id 3 p 357 big_windowSize 1232 small_windowSize 532,1935,3,357,1232,532,,,1,,i7173,5153615
1747698050,1747698063,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 828 feature_id 3 p 253 big_windowSize 667 small_windowSize 456,828,3,253,667,456,,,1,,i7173,5156947
1747698050,1747698063,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1209 feature_id 2 p 492 big_windowSize 1090 small_windowSize 1055,1209,2,492,1090,1055,,,1,,i7172,5156948
1747698050,1747698063,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1211 feature_id 3 p 178 big_windowSize 948 small_windowSize 513,1211,3,178,948,513,,,1,,i7157,5156950
1747712941,1747712954,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1708 feature_id 2 p 160 big_windowSize 1589 small_windowSize 955,1708,2,160,1589,955,,,1,,i7171,5160132
1747727822,1747727835,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1485 feature_id 1 p 282 big_windowSize 993 small_windowSize 255,1485,1,282,993,255,,,1,,i7156,5163087
1747727823,1747727835,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1821 feature_id 2 p 429 big_windowSize 303 small_windowSize 121,1821,2,429,303,121,,,1,,i7139,5163089
1747727823,1747727835,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1473 feature_id 2 p 249 big_windowSize 1252 small_windowSize 800,1473,2,249,1252,800,,,1,,i7147,5163088
1747727823,1747727836,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1569 feature_id 3 p 337 big_windowSize 1475 small_windowSize 1053,1569,3,337,1475,1053,,,1,,i7133,5163090
1747727874,1747727887,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1018 feature_id 1 p 386 big_windowSize 905 small_windowSize 768,1018,1,386,905,768,,,1,,i7124,5163100
1747727874,1747727887,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1174 feature_id 2 p 211 big_windowSize 555 small_windowSize 380,1174,2,211,555,380,,,1,,i7123,5163101
1747727875,1747727888,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1531 feature_id 2 p 406 big_windowSize 1515 small_windowSize 701,1531,2,406,1515,701,,,1,,i7139,5163096
1747727875,1747727888,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1636 feature_id 1 p 99 big_windowSize 1426 small_windowSize 1292,1636,1,99,1426,1292,,,1,,i7129,5163099
1747727876,1747727895,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 881 feature_id 1 p 61 big_windowSize 750 small_windowSize 202,881,1,61,750,202,,,1,,i7132,5163098
1747727875,1747727901,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1803 feature_id 0 p 9 big_windowSize 1560 small_windowSize 442,1803,0,9,1560,442,,,1,,i7146,5163095
1747743375,1747743388,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1982 feature_id 4 p 63 big_windowSize 1017 small_windowSize 315,1982,4,63,1017,315,,,1,,i7183,5173450
1747743375,1747743388,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 843 feature_id 2 p 9 big_windowSize 207 small_windowSize 72,843,2,9,207,72,,,1,,i7183,5173451
1747743405,1747743411,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1598 feature_id 2 p 239 big_windowSize 1380 small_windowSize 217,1598,2,239,1380,217,,,1,,i7186,5173452
1747743405,1747743411,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1317 feature_id 3 p 410 big_windowSize 1161 small_windowSize 414,1317,3,410,1161,414,,,1,,i7186,5173453
1747744549,1747744562,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1418 feature_id 2 p 301 big_windowSize 1143 small_windowSize 1081,1418,2,301,1143,1081,,,1,,i7184,5173896
1747744549,1747744562,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1799 feature_id 2 p 217 big_windowSize 687 small_windowSize 602,1799,2,217,687,602,,,1,,i7184,5173898
1747744549,1747744562,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1527 feature_id 0 p 325 big_windowSize 639 small_windowSize 345,1527,0,325,639,345,,,1,,i7184,5173897
1747744549,1747744562,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1893 feature_id 3 p 376 big_windowSize 775 small_windowSize 248,1893,3,376,775,248,,,1,,i7183,5173899
1747745573,1747745586,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1469 feature_id 0 p 42 big_windowSize 375 small_windowSize 156,1469,0,42,375,156,,,1,,i7181,5174251
1747745573,1747745586,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1966 feature_id 0 p 151 big_windowSize 1511 small_windowSize 1048,1966,0,151,1511,1048,,,1,,i7184,5174248
1747745573,1747745586,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1825 feature_id 4 p 346 big_windowSize 1429 small_windowSize 960,1825,4,346,1429,960,,,1,,i7184,5174249
1747745573,1747745586,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1692 feature_id 1 p 416 big_windowSize 1035 small_windowSize 574,1692,1,416,1035,574,,,1,,i7183,5174250
1747746626,1747746639,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 529 feature_id 4 p 500 big_windowSize 269 small_windowSize 196,529,4,500,269,196,,,1,,i7181,5174664
1747746626,1747746639,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1770 feature_id 4 p 412 big_windowSize 1593 small_windowSize 1293,1770,4,412,1593,1293,,,1,,i7181,5174666
1747746626,1747746639,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1160 feature_id 1 p 466 big_windowSize 64 small_windowSize 30,1160,1,466,64,30,,,1,,i7183,5174661
1747746626,1747746639,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1704 feature_id 4 p 117 big_windowSize 712 small_windowSize 123,1704,4,117,712,123,,,1,,i7180,5174668
1747746627,1747746640,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1882 feature_id 0 p 93 big_windowSize 1472 small_windowSize 699,1882,0,93,1472,699,,,1,,i7181,5174663
1747746656,1747746669,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1836 feature_id 1 p 184 big_windowSize 826 small_windowSize 471,1836,1,184,826,471,,,1,,i7184,5174670
1747746657,1747746670,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1291 feature_id 4 p 273 big_windowSize 458 small_windowSize 378,1291,4,273,458,378,,,1,,i7183,5174672
1747746657,1747746670,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1514 feature_id 3 p 147 big_windowSize 1116 small_windowSize 836,1514,3,147,1116,836,,,1,,i7183,5174673
1747747710,1747747723,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1611 feature_id 4 p 292 big_windowSize 875 small_windowSize 727,1611,4,292,875,727,,,1,,i7181,5175026
1747747710,1747747723,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1624 feature_id 0 p 106 big_windowSize 1228 small_windowSize 1217,1624,0,106,1228,1217,,,1,,i7181,5175027
1747747710,1747747723,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1788 feature_id 1 p 254 big_windowSize 1068 small_windowSize 93,1788,1,254,1068,93,,,1,,i7180,5175029
1747747710,1747747723,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1670 feature_id 2 p 446 big_windowSize 1455 small_windowSize 440,1670,2,446,1455,440,,,1,,i7180,5175028
1747747710,1747747723,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1991 feature_id 3 p 157 big_windowSize 1373 small_windowSize 1314,1991,3,157,1373,1314,,,1,,i7183,5175025
1747748582,1747748595,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1272 feature_id 4 p 236 big_windowSize 1086 small_windowSize 693,1272,4,236,1086,693,,,1,,i7181,5175380
1747748582,1747748595,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1849 feature_id 2 p 340 big_windowSize 1689 small_windowSize 663,1849,2,340,1689,663,,,1,,i7180,5175381
1747748582,1747748595,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1550 feature_id 2 p 362 big_windowSize 496 small_windowSize 16,1550,2,362,496,16,,,1,,i7179,5175382
1747748612,1747748625,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1446 feature_id 2 p 20 big_windowSize 741 small_windowSize 484,1446,2,20,741,484,,,1,,i7184,5175384
1747748612,1747748625,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1064 feature_id 0 p 212 big_windowSize 846 small_windowSize 114,1064,0,212,846,114,,,1,,i7184,5175383
1747749725,1747749738,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1239 feature_id 3 p 89 big_windowSize 1061 small_windowSize 204,1239,3,89,1061,204,,,1,,i7181,5175760
1747749725,1747749738,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 749 feature_id 3 p 245 big_windowSize 549 small_windowSize 162,749,3,245,549,162,,,1,,i7181,5175761
1747749725,1747749738,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1942 feature_id 1 p 7 big_windowSize 1850 small_windowSize 50,1942,1,7,1850,50,,,1,,i7181,5175762
1747750476,1747750495,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1409 feature_id 1 p 113 big_windowSize 754 small_windowSize 600,1409,1,113,754,600,,,1,,i7138,5176077
1747808481,1747808506,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1809 feature_id 1 p 403 big_windowSize 1290 small_windowSize 1091,1809,1,403,1290,1091,,,1,,i7061,5178140
1747808481,1747808506,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1466 feature_id 0 p 451 big_windowSize 1013 small_windowSize 962,1466,0,451,1013,962,,,1,,i7061,5178141
1747808489,1747808508,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1136 feature_id 3 p 474 big_windowSize 804 small_windowSize 359,1136,3,474,804,359,,,1,,i7060,5178142
1747808483,1747808508,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1744 feature_id 1 p 77 big_windowSize 421 small_windowSize 263,1744,1,77,421,263,,,1,,i7060,5178143
1747808503,1747808516,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1921 feature_id 2 p 102 big_windowSize 1645 small_windowSize 932,1921,2,102,1645,932,,,1,,i7060,5178144
1747808503,1747808516,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1253 feature_id 2 p 297 big_windowSize 659 small_windowSize 238,1253,2,297,659,238,,,1,,i7060,5178145
1747876225,1747876238,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1678 feature_id 0 p 181 big_windowSize 1270 small_windowSize 1000,1678,0,181,1270,1000,,,1,,i7182,5179084
1747876255,1747876268,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1251 feature_id 2 p 189 big_windowSize 761 small_windowSize 299,1251,2,189,761,299,,,1,,i7182,5179085
1747876285,1747876298,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1862 feature_id 0 p 354 big_windowSize 394 small_windowSize 330,1862,0,354,394,330,,,1,,i7182,5179086
1747876285,1747876298,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1085 feature_id 1 p 228 big_windowSize 1048 small_windowSize 879,1085,1,228,1048,879,,,1,,i7167,5179087
1747876286,1747876299,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1467 feature_id 4 p 34 big_windowSize 1411 small_windowSize 524,1467,4,34,1411,524,,,1,,i7164,5179088
1747876315,1747876328,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1918 feature_id 2 p 384 big_windowSize 1809 small_windowSize 621,1918,2,384,1809,621,,,1,,i7182,5179089
1747949065,1747949078,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1039 feature_id 0 p 335 big_windowSize 807 small_windowSize 558,1039,0,335,807,558,,,1,,i7147,5180274
1747949065,1747949078,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 937 feature_id 0 p 222 big_windowSize 587 small_windowSize 473,937,0,222,587,473,,,1,,i7075,5180275
1747949005,1747949393,388,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1133 feature_id 1 p 11 big_windowSize 656 small_windowSize 171,1133,1,11,656,171,,,1,,i7079,5180271
1747998102,1747998108,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 865 feature_id 4 p 468 big_windowSize 512 small_windowSize 243,865,4,468,512,243,,,1,,i7043,5182551
1747998102,1747998108,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1943 feature_id 3 p 479 big_windowSize 1702 small_windowSize 487,1943,3,479,1702,487,,,1,,i7020,5182553
1747998102,1747998109,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1426 feature_id 0 p 66 big_windowSize 1085 small_windowSize 393,1426,0,66,1085,393,,,1,,i7043,5182550
