start_time,end_time,run_time,program_string,recent_samples_size,feature_id,p,big_windowSize,small_windowSize,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1747653571,1747653578,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1462 feature_id 3 p 276 big_windowSize 140 small_windowSize 115,1462,3,276,140,115,,,1,,i7129,5145047
1747653571,1747653584,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1975 feature_id 2 p 417 big_windowSize 1755 small_windowSize 1214,1975,2,417,1755,1214,,,1,,i7132,5145044
1747653571,1747653584,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1533 feature_id 3 p 118 big_windowSize 878 small_windowSize 386,1533,3,118,878,386,,,1,,i7128,5145049
1747653591,1747653604,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1863 feature_id 1 p 80 big_windowSize 1181 small_windowSize 810,1863,1,80,1181,810,,,1,,i7135,5145058
1747653592,1747653605,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1748 feature_id 4 p 152 big_windowSize 1294 small_windowSize 657,1748,4,152,1294,657,,,1,,i7137,5145055
1747668275,1747668288,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1761 feature_id 0 p 484 big_windowSize 923 small_windowSize 629,1761,0,484,923,629,,,1,,i7170,5149916
1747668275,1747668288,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1819 feature_id 3 p 242 big_windowSize 1660 small_windowSize 1576,1819,3,242,1660,1576,,,1,,i7147,5149917
1747668276,1747668289,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 851 feature_id 0 p 309 big_windowSize 466 small_windowSize 160,851,0,309,466,160,,,1,,i7143,5149919
1747668277,1747668297,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1957 feature_id 2 p 263 big_windowSize 1281 small_windowSize 416,1957,2,263,1281,416,,,1,,i7145,5149918
1747668328,1747668341,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1938 feature_id 3 p 207 big_windowSize 974 small_windowSize 906,1938,3,207,974,906,,,1,,i7137,5149933
