start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1745953492,1745953505,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 999 n_samples 24 k_neighbors 98 n_permutations 456 significance_level 0.003658603945747018,999,24,98,456,0.003658603945747,,,1,,i7180,4845299
1745970601,1745970614,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4088 n_samples 7 k_neighbors 55 n_permutations 711 significance_level 0.5559563374780119,4088,7,55,711,0.5559563374780119,,,1,,i7170,4848834
1745979672,1745979710,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2404 n_samples 18 k_neighbors 49 n_permutations 912 significance_level 0.39594868597388266,2404,18,49,912,0.3959486859738826,,,1,,i7173,4850437
1747361273,1747361298,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 950 n_samples 22 k_neighbors 69 n_permutations 120 significance_level 0.9493897370118648,950,22,69,120,0.9493897370118648,,,1,,i7116,5063577
1747396850,1747396863,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2773 n_samples 16 k_neighbors 96 n_permutations 938 significance_level 0.1490581307839602,2773,16,96,938,0.1490581307839602,,,1,,i7157,5075673
