start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747269837,1747270424,587,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 4599 n_reference_samples 1604 recent_samples_proportion 0.7009504069406539 threshold 0.885028908694163,4599,1604,0.7009504069406539,0.885028908694163,0.23,572.0,0,,i7174,5040469,572.0,887.89453125,759.7104166666667,-1.0,0.8814177814711226
1747270089,1747270442,353,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3086 n_reference_samples 1050 recent_samples_proportion 0.2480995581969619 threshold 0.9594924041219056,3086,1050,0.2480995581969619,0.9594924041219056,0.15,342.0,0,,i7171,5040515,342.0,619.36328125,529.9336993243244,-1.0,0.2366670980244864
1747270018,1747270475,457,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3067 n_reference_samples 4551 recent_samples_proportion 0.45642376856692135 threshold 0.3918912150915712,3067,4551,0.4564237685669213,0.3918912150915712,0.11,439.0,0,,i7184,5040499,439.0,784.59375,622.5252207880435,-1.0,0.6707065505818145
1747269941,1747270497,556,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 428 n_reference_samples 1041 recent_samples_proportion 0.8303743346855045 threshold 0.5354303219225257,428,1041,0.8303743346855045,0.5354303219225257,0.18,536.0,0,,i7172,5040487,536.0,877.9765625,667.85107421875,-1.0,0.407388753644936
1747270199,1747270750,551,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 413 n_reference_samples 4532 recent_samples_proportion 0.6210783683825284 threshold 0.09675451413169503,413,4532,0.6210783683825284,0.096754514131695,0.06,535.0,0,,i7184,5040533,535.0,596.26171875,528.7376534598214,-1.0,0.0908755196020566
1747270292,1747270789,497,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1943 n_reference_samples 1619 recent_samples_proportion 0.3453942255396396 threshold 0.6170889376848936,1943,1619,0.3453942255396396,0.6170889376848936,0.27,486.0,0,,i7182,5040550,486.0,893.44921875,766.6858915441177,-1.0,0.9950130827670448
1747270434,1747270927,493,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 4602 n_reference_samples 2801 recent_samples_proportion 0.9687229357436299 threshold 0.4507021889090538,4602,2801,0.96872293574363,0.4507021889090538,0.21,463.0,0,,i7181,5040572,463.0,930.7265625,761.077168367347,-1.0,0.9966484850097146
1747270511,1747270963,452,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3799 n_reference_samples 2498 recent_samples_proportion 0.7309187166914344 threshold 0.3255106062144041,3799,2498,0.7309187166914344,0.3255106062144041,0.21,436.0,0,,i7182,5040591,436.0,917.703125,750.3430706521739,-1.0,0.999508973520191
1747270637,1747271110,473,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1458 n_reference_samples 3172 recent_samples_proportion 0.10758905472047627 threshold 0.743407412469387,1458,3172,0.1075890547204762,0.743407412469387,0.16,450.0,0,,i7170,5040615,450.0,902.15625,682.6993018617021,-1.0,0.4549258883679028
1747270788,1747271243,455,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3518 n_reference_samples 3849 recent_samples_proportion 0.48590282548218966 threshold 0.8342094964124263,3518,3849,0.4859028254821896,0.8342094964124263,0.14,433.0,0,,i7170,5040638,433.0,901.0390625,691.2543308423913,-1.0,0.8819575047919044
1747270893,1747271366,473,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 3268 n_reference_samples 1548 recent_samples_proportion 0.8091748250294477 threshold 0.6412050572801381,3268,1548,0.8091748250294477,0.6412050572801381,0.24,449.0,0,,i7181,5040652,449.0,940.546875,764.5009142287234,-1.0,0.9989769154428956
1747270974,1747271443,469,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 931 n_reference_samples 2862 recent_samples_proportion 0.4342456063851714 threshold 0.2872131569404155,931,2862,0.4342456063851714,0.2872131569404155,0.13,454.0,0,,i7180,5040672,454.0,791.2734375,626.5372721354166,-1.0,0.3244936543056349
1747270702,1747271571,869,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier D3 recent_samples_size 1191 n_reference_samples 483 recent_samples_proportion 0.8588844909686595 threshold 0.2228597485013306,1191,483,0.8588844909686595,0.2228597485013306,0.38,849.0,0,,i7170,5040623,849.0,868.88671875,752.526400862069,-1.0,0.9999165841150004
