start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747701930,1747704831,2901,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4300 n_samples 170 k_neighbors 17 n_permutations 606 significance_level 0.14042281042970717,4300,170,17,606,0.1404228104297071,0.78,2882.0,0,,i7173,5157779,2882.0,870.69140625,798.1544315732758,-1.0,0.9985726280436608
1747692240,1747706016,13776,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 233 n_samples 746 k_neighbors 3 n_permutations 125 significance_level 0.9770714740250259,233,746,3,125,0.977071474025026,0.67,13761.0,0,,i7106,5155618,13761.0,828.0,707.7119048429557,-1.0,0.7629722921914358
1747723465,1747726077,2612,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4651 n_samples 360 k_neighbors 34 n_permutations 37 significance_level 0.8233195237629115,4651,360,34,37,0.8233195237629115,0.76,2594.0,0,,i7154,5162336,2594.0,915.1171875,820.5175930343512,-1.0,0.9985726280436608
1747725314,1747729083,3769,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 588 n_samples 300 k_neighbors 97 n_permutations 216 significance_level 0.6937355653252453,588,300,97,216,0.6937355653252453,0.78,3755.0,0,,i7181,5162675,3755.0,880.140625,800.7309957837301,-1.0,0.9998320738874896
1747721523,1747729605,8082,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1903 n_samples 1600 k_neighbors 76 n_permutations 4 significance_level 0.31205003925040364,1903,1600,76,4,0.3120500392504036,0.7,8058.0,0,,i7134,5161883,8058.0,978.6171875,768.0706416511772,-1.0,0.9884130982367758
1747734703,1747735856,1153,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 259 n_samples 86 k_neighbors 57 n_permutations 591 significance_level 0.5365964474454522,259,86,57,591,0.5365964474454522,0.8,1142.0,0,,i7005,5171223,1142.0,854.796875,787.6395566239316,-1.0,0.9480268681780016
1747738795,1747738808,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3100 n_samples 1098 k_neighbors 32 n_permutations 254 significance_level 0.42275134443305434,3100,1098,32,254,0.4227513444330543,,,1,,i7160,5171768,,,,,
1747739036,1747739049,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 719 n_samples 4588 k_neighbors 83 n_permutations 721 significance_level 0.7456860057935119,719,4588,83,721,0.7456860057935119,,,1,,i7151,5171855,,,,,
1747739246,1747739253,7,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 832 n_samples 1092 k_neighbors 12 n_permutations 179 significance_level 0.20221335115469993,832,1092,12,179,0.2022133511546999,,,1,,i7179,5171919,,,,,
1747739398,1747739410,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2832 n_samples 4477 k_neighbors 62 n_permutations 834 significance_level 0.8770504571907223,2832,4477,62,834,0.8770504571907223,,,1,,i7184,5171969,,,,,
