start_time,end_time,run_time,program_string,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747918044,1747918102,58,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 299 window_size 3098 ev_threshold 0.8870644724126905 delta 0.2023139642626047 divergence_metric str\(\'intersection\'\) sample_period 0.08095491286367178 online_scaling True,299,3098,0.8870644724126905,0.2023139642626047,str\(\'intersection\'\),0.0809549128636717,True,0.71,49.0,0,,i7167,5179663,49.0,482.69921875,482.4899553571428,-1.0,0.0
1747918135,1747918199,64,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3891 window_size 4366 ev_threshold 0.9810615060832352 delta 0.6007250381167978 divergence_metric str\(\'intersection\'\) sample_period 0.04402305860072375 online_scaling True,3891,4366,0.9810615060832352,0.6007250381167978,str\(\'intersection\'\),0.0440230586007237,True,0.71,50.0,0,,i7167,5179664,50.0,483.6875,483.501953125,-1.0,0.0
1747918226,1747918346,120,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4897 window_size 3208 ev_threshold 0.2288176665827632 delta 0.77211974115856 divergence_metric str\(\'kl\'\) sample_period 0.027840706473216417 online_scaling True,4897,3208,0.2288176665827632,0.77211974115856,str\(\'kl\'\),0.0278407064732164,True,0.71,106.0,0,,i7167,5179665,106.0,487.45703125,483.70132211538464,-1.0,0.0
1747918418,1747918475,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 459 window_size 4096 ev_threshold 0.6735249991752207 delta 0.7846733095217496 divergence_metric str\(\'intersection\'\) sample_period 0.022438159668818118 online_scaling False,459,4096,0.6735249991752207,0.7846733095217496,str\(\'intersection\'\),0.0224381596688181,False,0.71,29.0,0,,i7167,5179666,29.0,484.734375,483.65546875,-1.0,0.0
1747918499,1747918625,126,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4426 window_size 4592 ev_threshold 0.4599762536454946 delta 0.24823267544806005 divergence_metric str\(\'kl\'\) sample_period 0.08595646740868688 online_scaling False,4426,4592,0.4599762536454946,0.24823267544806,str\(\'kl\'\),0.0859564674086868,False,0.71,115.0,0,,i7167,5179667,115.0,487.08984375,486.40150669642856,-1.0,0.0
1747918742,1747918799,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4036 window_size 598 ev_threshold 0.17216864909231663 delta 0.042092388261109594 divergence_metric str\(\'kl\'\) sample_period 0.07274447577074171 online_scaling True,4036,598,0.1721686490923166,0.0420923882611095,str\(\'kl\'\),0.0727444757707417,True,0.71,46.0,0,,i7167,5179668,46.0,484.66015625,483.84765625,-1.0,0.0
1747920709,1747922007,1298,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 1162 window_size 709 ev_threshold 0.9476105146240443 delta 0.9868905396740884 divergence_metric str\(\'intersection\'\) sample_period 0.03569408589042723 online_scaling True,1162,709,0.9476105146240444,0.9868905396740884,str\(\'intersection\'\),0.0356940858904272,True,0.71,60.0,0,,i7166,5179669,60.0,484.8359375,484.21484375,-1.0,0.0
1747926821,1747927208,387,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 4747 window_size 1991 ev_threshold 0.9171039815824479 delta 0.33847883639484644 divergence_metric str\(\'intersection\'\) sample_period 0.0887510481569916 online_scaling True,4747,1991,0.917103981582448,0.3384788363948464,str\(\'intersection\'\),0.0887510481569916,True,0.71,55.0,0,,i7030,5179675,55.0,357.25390625,356.03466796875,-1.0,0.0
1747926820,1747927218,398,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 3251 window_size 4018 ev_threshold 0.07199959996342659 delta 0.931281923379749 divergence_metric str\(\'intersection\'\) sample_period 0.06908700197935105 online_scaling False,3251,4018,0.0719995999634265,0.931281923379749,str\(\'intersection\'\),0.069087001979351,False,0.71,30.0,0,,i7032,5179674,30.0,373.390625,371.415625,-1.0,0.0
1747926820,1747927221,401,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier PCACD recent_samples_size 2491 window_size 51 ev_threshold 0.5832761725373566 delta 0.17714469406940042 divergence_metric str\(\'kl\'\) sample_period 0.030052476478740577 online_scaling True,2491,51,0.5832761725373566,0.1771446940694004,str\(\'kl\'\),0.0300524764787405,True,0.7,66.0,0,,i7164,5179672,66.0,389.51171875,383.1506076388889,-1.0,0.0575129294421869
