start_time,end_time,run_time,program_string,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747332541,1747332852,311,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3000 batch_size 4329 detection_buf_size 3583 overlap 0.7197206327226013 alpha 0.6696881328187883 gamma 6.286507167978213 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 1485,3000,4329,3583,0.7197206327226013,0.6696881328187883,6.286507167978213,str\(\'ks-test\'\),str\(\'bounded\'\),1485,,,-9,,i7175,5055850,,,,,
1747379390,1747379585,195,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 146 batch_size 1169 detection_buf_size 2423 overlap 0.45619315654598175 alpha 0.16174028342217206 gamma 8.244978490142152 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 3817,146,1169,2423,0.4561931565459817,0.161740283422172,8.244978490142152,str\(\'t-test\'\),str\(\'full\'\),3817,,,-9,,i7183,5069424,,,,,
1747401525,1747401847,322,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3035 batch_size 2559 detection_buf_size 4434 overlap 0.6020631536934524 alpha 0.2431771402694285 gamma 4.149898004475982 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 1628,3035,2559,4434,0.6020631536934524,0.2431771402694285,4.149898004475982,str\(\'t-test\'\),str\(\'bounded\'\),1628,,,-9,,i7152,5077484,,,,,
1750029424,1750033490,4066,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3141 batch_size 1039 detection_buf_size 2049 overlap 0.34463154975883664 alpha 0.3066581018511206 gamma 7.112368585607969 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 3,3141,1039,2049,0.3446315497588366,0.3066581018511206,7.112368585607969,str\(\'ks-test\'\),str\(\'bounded\'\),3,0.32,4038.0,0,,i7090,5450812,4038.0,699.62890625,693.372219442734,-1.0,0.0
1747738464,1747738470,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4473 batch_size 1294 detection_buf_size 725 overlap 0.5775820881631225 alpha 0.440482518594712 gamma 9.749797534171492 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 3204,4473,1294,725,0.5775820881631225,0.440482518594712,9.749797534171492,str\(\'t-test\'\),str\(\'full\'\),3204,,,1,,i7135,5171660,,,,,
1747738886,1747738899,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1283 batch_size 2662 detection_buf_size 4430 overlap 0.17728884679824114 alpha 0.6337113553788513 gamma 0.5162465778281913 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 24,1283,2662,4430,0.1772888467982411,0.6337113553788513,0.5162465778281913,str\(\'ks-test\'\),str\(\'bounded\'\),24,,,1,,i7151,5171801,,,,,
1747739158,1747739170,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1268 batch_size 988 detection_buf_size 1459 overlap 0.5039864601437002 alpha 0.4269537181183696 gamma 5.9667992172269155 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 2151,1268,988,1459,0.5039864601437002,0.4269537181183696,5.966799217226916,str\(\'t-test\'\),str\(\'bounded\'\),2151,,,1,,i7178,5171889,,,,,
1747739368,1747739374,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4487 batch_size 4861 detection_buf_size 2762 overlap 0.249939849819988 alpha 0.74835671874322 gamma 4.222423680663109 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 3969,4487,4861,2762,0.249939849819988,0.74835671874322,4.222423680663109,str\(\'ks-test\'\),str\(\'full\'\),3969,,,1,,i7160,5171965,,,,,
1747739850,1747739856,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3305 batch_size 1920 detection_buf_size 653 overlap 0.813227684861049 alpha 0.7902034538947046 gamma 1.993667389633134 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 2550,3305,1920,653,0.813227684861049,0.7902034538947046,1.993667389633134,str\(\'t-test\'\),str\(\'full\'\),2550,,,1,,i7179,5172129,,,,,
1747740633,1747740639,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 243 batch_size 3286 detection_buf_size 4507 overlap 0.431870799086988 alpha 0.0966212621089071 gamma 7.800116189149209 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 775,243,3286,4507,0.431870799086988,0.0966212621089071,7.800116189149209,str\(\'ks-test\'\),str\(\'bounded\'\),775,,,1,,i7179,5172443,,,,,
