start_time,end_time,run_time,program_string,recent_samples_size,n_samples,const,max_depth,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745407292,1745407766,474,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2592 n_samples 3081 const 0.15547781552746892 max_depth 13 threshold 0.14209766004420818,2592,3081,0.1554778155274689,13,0.1420976600442081,0.07,455,0,,i7175,455,631.7890625,548.6610514322916,-1,0.4195719818216496,4623361
1745407336,1745407965,629,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 897 n_samples 3946 const 0.8585878459932283 max_depth 2 threshold 0.10069885022193194,897,3946,0.8585878459932283,2,0.1006988502219319,0.08,601,0,,i7173,601,595.01171875,528.9332217261905,-1,0.1136516633803813,4623411
1745407753,1745408162,409,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1269 n_samples 2075 const 4.7845473242672165 max_depth 1 threshold 0.9421306503154337,1269,2075,4.7845473242672165,1,0.9421306503154336,0.13,388,0,,i7167,388,755.58203125,597.6868330792682,-1,0.3055483286838371,4623849
1745407164,1745408269,1105,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 159 n_samples 3549 const 9.151604385018349 max_depth 8 threshold 0.9802009962797165,159,3549,9.151604385018349,8,0.9802009962797164,0.04,1087,0,,i7177,1087,526.12109375,501.6533643018018,-1,0.0223680822868397,4623242
1745407311,1745408291,980,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1046 n_samples 2497 const 6.758721139723436 max_depth 9 threshold 0.8348525172397494,1046,2497,6.758721139723436,9,0.8348525172397494,0.1,961,0,,i7173,961,677.62890625,597.8656728316327,-1,0.2089355997805035,4623385
1745407527,1745408734,1207,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 3153 n_samples 4416 const 9.854714694852941 max_depth 18 threshold 0.7750674136485904,3153,4416,9.85471469485294,18,0.7750674136485904,0.09,1180,0,,i7167,1180,560.64453125,466.84339192708336,-1,0.3568409818184933,4623623
1745407256,1745408837,1581,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2149 n_samples 4973 const 3.793660632578656 max_depth 20 threshold 0.5780426309108734,2149,4973,3.793660632578656,20,0.5780426309108734,0.03,1557,0,,i7174,1557,546.2265625,512.5162925237341,-1,0.2151128842372383,4623314
1745407608,1745410519,2911,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 480 n_samples 4600 const 7.124512990885415 max_depth 12 threshold 0.6892198260836303,480,4600,7.124512990885415,12,0.6892198260836303,0.05,2888,0,,i7173,2888,545.68359375,500.67860019329896,-1,0.0519432970376539,4623707
1745407369,1745410857,3488,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2298 n_samples 1471 const 8.512891310312785 max_depth 12 threshold 0.34581282176077366,2298,1471,8.512891310312785,12,0.3458128217607736,0.06,3467,0,,i7177,3467,733.4765625,597.9979293517192,-1,0.7791927416456736,4623497
1745407416,1745410873,3457,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1411 n_samples 2524 const 6.1981468384163465 max_depth 15 threshold 0.4638734521754086,1411,2524,6.1981468384163465,15,0.4638734521754086,0.12,3434,0,,i7173,3434,730.640625,629.476844743497,-1,0.2792984769161192,4623533
1745415394,1745415910,516,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 4143 n_samples 4844 const 1.6897504734694957 max_depth 15 threshold 0.8821023405212909,4143,4844,1.6897504734694957,15,0.8821023405212909,0.1,494,0,,i7173,494,702.83203125,583.9604116586538,-1,0.4259188034284379,4631342
1745415428,1745415933,505,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1731 n_samples 4373 const 7.600277060696856 max_depth 9 threshold 0.239286339212209,1731,4373,7.600277060696856,9,0.239286339212209,0.11,483,0,,i7171,483,666.1484375,565.7864583333334,-1,0.1974670428347333,4631398
1745415280,1745415971,691,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2448 n_samples 3131 const 2.392751065851189 max_depth 4 threshold 0.8728004886507988,2448,3131,2.392751065851189,4,0.8728004886507988,0.06,669,0,,i7173,669,610.7421875,535.1456634963768,-1,0.3907434519657516,4631243
1745415310,1745415972,662,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2892 n_samples 3817 const 3.7436495793005453 max_depth 7 threshold 0.43600386480428277,2892,3817,3.743649579300545,7,0.4360038648042827,0.07,641,0,,i7173,641,640.9609375,550.6793915719697,-1,0.3781580239543368,4631267
1745415456,1745416032,576,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 3472 n_samples 3687 const 6.265322275526822 max_depth 2 threshold 0.5513342141117901,3472,3687,6.265322275526822,2,0.5513342141117901,0.1,557,0,,i7173,557,710.5078125,587.2729660560345,-1,0.4696539773821209,4631464
1745415366,1745416051,685,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2743 n_samples 2320 const 9.029221503969282 max_depth 3 threshold 0.6399117212239653,2743,2320,9.029221503969282,3,0.6399117212239653,0.08,661,0,,i7171,661,718.640625,583.0166440217391,-1,0.5899581703153978,4631321
1745415729,1745416214,485,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1948 n_samples 3025 const 9.789097269785591 max_depth 1 threshold 0.737587627934292,1948,3025,9.789097269785591,1,0.737587627934292,0.13,467,0,,i7171,467,778.546875,615.8577008928571,-1,0.3214749010619969,4631710
1745415807,1745416345,538,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 2713 n_samples 4883 const 5.956194227340632 max_depth 8 threshold 0.0507796022221446,2713,4883,5.956194227340632,8,0.0507796022221446,0.06,520,0,,i7167,520,583.484375,530.3695023148148,-1,0.2776851686105573,4631804
1745415529,1745416464,935,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 126 n_samples 4100 const 4.4446444803969944 max_depth 13 threshold 0.8268729596789927,126,4100,4.444644480396994,13,0.8268729596789927,0.04,919,0,,i7171,919,513.59375,492.8849318484043,-1,0.0153395049064321,4631532
1745415394,1745418244,2850,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1197 n_samples 2908 const 2.8844589756894856 max_depth 17 threshold 0.32150941134244204,1197,2908,2.8844589756894856,17,0.321509411342442,0.11,2813,0,,i7176,2813,673.07421875,541.0375717756184,-1,0.2056345852178935,4631295
1745415488,1745418790,3302,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 19 n_samples 1849 const 0.5707632916402072 max_depth 19 threshold 0.48829931336268784,19,1849,0.5707632916402072,19,0.4882993133626878,0.03,3276,0,,i7171,3276,502.87109375,486.0888139204545,-1,0.0051316550658466,4631495
1745424023,1745424521,498,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1613 n_samples 2916 const 0.001 max_depth 6 threshold 0.999,1613,2916,0.001,6,0.999,0.12,441,0,,i7182,441,740.6171875,602.4913563829788,-1,0.2763726083876701,4641598
1745430145,1745430617,472,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 1858 n_samples 3307 const 5.118226421640039 max_depth 1 threshold 0.999,1858,3307,5.118226421640039,1,0.999,0.12,459,0,,i7182,459,733.890625,605.1566569010416,-1,0.2806516178398172,4646479
1745447890,1745448298,408,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier BNDM recent_samples_size 5000 n_samples 4339 const 0.001 max_depth 20 threshold 0.999,5000,4339,0.001,20,0.999,0.11,391,0,,i7178,391,773.29296875,608.305431547619,-1,0.5748932614844511,4660280
