start_time,end_time,run_time,program_string,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1748316018,1748317760,1742,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2623 batch_size 975 detection_buf_size 214 overlap 0.01425284475274384 alpha 0.13992639238759874 gamma 9.946867335258982 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 4019,2623,975,214,0.0142528447527438,0.1399263923875987,9.946867335258982,str\(\'t-test\'\),str\(\'full\'\),4019,0.73,1730.0,0,,i7174,1730.0,537.89453125,534.7708928571428,-1.0,0.0,5208015
1748330909,1748330975,66,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 74 batch_size 825 detection_buf_size 707 overlap 0.7172290908340365 alpha 0.7603669982589781 gamma 1.4115168653260917 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 1514,74,825,707,0.7172290908340365,0.7603669982589781,1.4115168653260917,str\(\'t-test\'\),str\(\'full\'\),1514,0.73,56.0,0,,i7185,56.0,529.20703125,525.8955078125,-1.0,0.0,5208986
1748331029,1748331088,59,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4394 batch_size 1169 detection_buf_size 3882 overlap 0.5304284658432007 alpha 0.7374338376354426 gamma 5.031017394553871 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 2011,4394,1169,3882,0.5304284658432007,0.7374338376354426,5.031017394553871,str\(\'t-test\'\),str\(\'full\'\),2011,0.73,48.0,0,,i7184,48.0,529.81640625,525.30078125,-1.0,0.0,5208994
1748331276,1748331329,53,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2729 batch_size 1306 detection_buf_size 4644 overlap 0.737622283777222 alpha 0.04399992073327303 gamma 2.3812365721054376 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 1110,2729,1306,4644,0.737622283777222,0.043999920733273,2.3812365721054376,str\(\'ks-test\'\),str\(\'bounded\'\),1110,0.73,42.0,0,,i7183,42.0,526.5078125,526.0256696428571,-1.0,0.0,5209016
1748331196,1748331333,137,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4118 batch_size 435 detection_buf_size 488 overlap 0.47429489987529816 alpha 0.29065967986918984 gamma 0.33352696657367054 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 4230,4118,435,488,0.4742948998752981,0.2906596798691898,0.3335269665736705,str\(\'ks-test\'\),str\(\'full\'\),4230,0.73,129.0,0,,i7183,129.0,529.78125,528.0216145833333,-1.0,0.0,5209008
1748331329,1748331374,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1410 batch_size 1078 detection_buf_size 3206 overlap 0.9218328329734504 alpha 0.8917025350872427 gamma 7.57378229796514 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 4578,1410,1078,3206,0.9218328329734504,0.8917025350872427,7.57378229796514,str\(\'ks-test\'\),str\(\'full\'\),4578,0.73,33.0,0,,i7182,33.0,531.80078125,526.8515625,-1.0,0.0,5209018
1748331449,1748331528,79,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3341 batch_size 759 detection_buf_size 1385 overlap 0.8596661760639399 alpha 0.6026414831802249 gamma 3.9540165545921773 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 3786,3341,759,1385,0.8596661760639399,0.6026414831802249,3.954016554592177,str\(\'ks-test\'\),str\(\'full\'\),3786,0.73,58.0,0,,i7180,58.0,529.1796875,525.79150390625,-1.0,0.0,5209033
1748331156,1748331723,567,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2383 batch_size 521 detection_buf_size 2386 overlap 0.07340334935300052 alpha 0.07434743526391685 gamma 2.8782914058435707 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 1644,2383,521,2386,0.0734033493530005,0.0743474352639168,2.8782914058435707,str\(\'t-test\'\),str\(\'full\'\),1644,0.73,525.0,0,,i7183,525.0,535.8984375,530.9514914772727,-1.0,0.0,5209005
1748331625,1748331724,99,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2883 batch_size 803 detection_buf_size 4697 overlap 0.43432920294068755 alpha 0.9303033312689513 gamma 2.5567437927043066 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 472,2883,803,4697,0.4343292029406875,0.9303033312689512,2.556743792704306,str\(\'t-test\'\),str\(\'bounded\'\),472,0.73,89.0,0,,i7178,89.0,530.47265625,527.5965909090909,-1.0,0.0,5209054
1748331576,1748331786,210,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 186 batch_size 166 detection_buf_size 1497 overlap 0.9774854303821922 alpha 0.2518399140816182 gamma 5.314872955900618 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 840,186,166,1497,0.9774854303821922,0.2518399140816182,5.314872955900618,str\(\'t-test\'\),str\(\'bounded\'\),840,0.73,203.0,0,,i7179,203.0,530.7734375,529.3836616847826,-1.0,0.0,5209048
