start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1746854012,1746854093,81,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier IBDD recent_samples_size 479 n_samples 1 n_permutations 747 update_interval 77 n_consecutive_deviations 10,479,1,747,77,10,0.57,1.0,0,,i7184,1.0,621.5859375,621.40625,-1.0,0.6395,5023350
1746854018,1746854093,75,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier IBDD recent_samples_size 634 n_samples 516 n_permutations 2 update_interval 194 n_consecutive_deviations 10,634,516,2,194,10,,,1,,i7184,,,,,,5023349
