start_time,end_time,run_time,program_string,recent_samples_size,feature_id,threshold,window_size,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747341429,1747343353,1924,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1809 feature_id 9 threshold 0.6790334666837007 window_size 1087,1809,9,0.6790334666837007,1087,0.5,1903.0,0,,i7181,1903.0,522.45703125,510.3629169365285,-1.0,0.0,5058629
1747342746,1747344411,1665,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 4736 feature_id 9 threshold 0.9676649575307965 window_size 1970,4736,9,0.9676649575307964,1970,0.5,1652.0,0,,i7078,1652.0,510.8515625,402.1991489955357,-1.0,0.0,5058898
1747343260,1747345476,2216,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1938 feature_id 8 threshold 0.38995398637466133 window_size 3227,1938,8,0.3899539863746613,3227,0.5,2200.0,0,,i7179,2200.0,520.21875,512.0461007882883,-1.0,0.0,5058994
1747345262,1747347113,1851,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2205 feature_id 4 threshold 0.7143800089471042 window_size 3839,2205,4,0.7143800089471042,3839,0.5,1834.0,0,,i7111,1834.0,509.49609375,477.0739037298387,-1.0,0.0,5059298
1747346988,1747349015,2027,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 1292 feature_id 6 threshold 0.8829851527158171 window_size 4953,1292,6,0.8829851527158171,4953,0.5,2007.0,0,,i7089,2007.0,517.578125,480.1385083128079,-1.0,0.0,5059480
1747347786,1747350005,2219,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2530 feature_id 8 threshold 0.5177262061983346 window_size 2574,2530,8,0.5177262061983346,2574,0.5,2195.0,0,,i7168,2195.0,509.46484375,480.8525830518018,-1.0,0.0,5059584
1747348931,1747350469,1538,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 763 feature_id 6 threshold 0.24227635510824622 window_size 740,763,6,0.2422763551082462,740,0.5,1514.0,0,,i7167,1514.0,509.91796875,499.0118709415584,-1.0,0.0,5059693
1747356728,1747358222,1494,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 120 feature_id 8 threshold 0.734332094149664 window_size 2447,120,8,0.734332094149664,2447,0.5,1480.0,0,,i7152,1480.0,519.16015625,511.921015625,-1.0,0.0,5062171
1747356509,1747358251,1742,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2303 feature_id 9 threshold 0.8094642402622849 window_size 3014,2303,9,0.8094642402622849,3014,0.5,1726.0,0,,i7180,1726.0,522.62890625,513.2428794642857,-1.0,0.0,5062103
1747357308,1747358755,1447,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier IKS recent_samples_size 2957 feature_id 8 threshold 0.15754919802770018 window_size 3685,2957,8,0.1575491980277001,3685,0.5,1437.0,0,,i7186,1437.0,523.86328125,515.7021885702055,-1.0,0.0,5062360
