start_time,end_time,run_time,program_string,recent_samples_size,feature_id,threshold,window_size,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747239580,1747239605,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 794 feature_id 57 threshold 0.7094636631812901 window_size 1288,794,57,0.7094636631812901,1288,0.17,14.0,0,,i7184,14.0,790.0078125,789.9697265625,-1.0,0.0,5034413
1747239586,1747239618,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 408 feature_id 86 threshold 0.9899540777094662 window_size 2256,408,86,0.9899540777094662,2256,0.17,14.0,0,,i7179,14.0,791.1015625,791.064453125,-1.0,0.0,5034416
1747239618,1747239650,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 3922 feature_id 41 threshold 0.48015701294504104 window_size 4965,3922,41,0.480157012945041,4965,0.17,15.0,0,,i7186,15.0,790.75390625,790.7314453125,-1.0,0.0,5034418
1747239703,1747239734,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2220 feature_id 76 threshold 0.5597217237185687 window_size 4527,2220,76,0.5597217237185687,4527,0.17,14.0,0,,i7178,14.0,790.69921875,790.677734375,-1.0,0.0,5034442
1747239753,1747239784,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 4259 feature_id 111 threshold 0.9339780877307058 window_size 2561,4259,111,0.9339780877307058,2561,0.17,13.0,0,,i7178,13.0,791.05859375,791.021484375,-1.0,0.0,5034453
1747239880,1747239911,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 4499 feature_id 0 threshold 0.6530935561675578 window_size 3469,4499,0,0.6530935561675578,3469,0.17,14.0,0,,i7179,14.0,790.1875,790.166015625,-1.0,0.0,5034473
1747239981,1747240019,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1522 feature_id 35 threshold 0.7778677658103407 window_size 4165,1522,35,0.7778677658103407,4165,0.17,14.0,0,,i7181,14.0,790.31640625,790.2939453125,-1.0,0.0,5034489
1747239803,1747240099,296,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 119 feature_id 16 threshold 0.4067898647654802 window_size 280,119,16,0.4067898647654802,280,0.17,278.0,0,,i7176,278.0,791.1484375,790.7266927083333,-1.0,0.4453400503778337,5034461
1747240075,1747240100,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 2875 feature_id 55 threshold 0.8059799254927784 window_size 4459,2875,55,0.8059799254927784,4459,0.17,14.0,0,,i7180,14.0,790.79296875,790.7568359375,-1.0,0.0,5034518
1747240187,1747240225,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier IKS recent_samples_size 1106 feature_id 20 threshold 0.6812627010382711 window_size 2519,1106,20,0.6812627010382711,2519,0.17,14.0,0,,i7181,14.0,791.12890625,791.1064453125,-1.0,0.0,5034543
