start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744560316,1744560329,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3464 n_reference_samples 2303 n_recent_samples 1789 threshold 0.6340502152625708 stability_offset 1e-12,3464,2303,1789,0.6340502152625708,1e-12,0.55,0,0,,i7062,0,632.73046875,632.7005208333334,-1,0.0,4329523
1744560317,1744560329,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 684 n_reference_samples 1 n_recent_samples 1 threshold 0.4075501059258274 stability_offset 0.9,684,1,1,0.4075501059258274,0.9,0.55,3,0,,i7056,3,639.25390625,634.8046875,-1,0.0,4329530
1744560345,1744560357,12,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3809 n_reference_samples 2129 n_recent_samples 2803 threshold 0.6245374449819103 stability_offset 0.9,3809,2129,2803,0.6245374449819103,0.9,0.55,0,0,,i7057,0,633.88671875,633.8567708333334,-1,0.0,4329535
1744560317,1744560436,119,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 724 n_reference_samples 1 n_recent_samples 1 threshold 0.7394695245578367 stability_offset 0.9,724,1,1,0.7394695245578367,0.9,0.54,105,0,,i7056,105,636.0078125,634.8560697115385,-1,1.0,4329528
1744560316,1744560474,158,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3085 n_reference_samples 1 n_recent_samples 1 threshold 0.8402995345778915 stability_offset 0.9,3085,1,1,0.8402995345778915,0.9,0.54,149,0,,i7062,149,643.328125,635.9731158088235,-1,1.0,4329524
1744560317,1744560569,252,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3666 n_reference_samples 1 n_recent_samples 1 threshold 0.6958692945062999 stability_offset 0.9,3666,1,1,0.6958692945062999,0.9,0.55,242,0,,i7091,242,648.3046875,640.8599537037037,-1,1.0,4329522
1744560297,1744560573,276,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1909 n_reference_samples 1 n_recent_samples 1 threshold 0.6798329159641302 stability_offset 0.9,1909,1,1,0.6798329159641302,0.9,0.57,255,0,,i7057,255,642.4140625,636.240234375,-1,1.0,4329516
1744560297,1744560605,308,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4978 n_reference_samples 1 n_recent_samples 22 threshold 0.7424541662136936 stability_offset 0.9,4978,1,22,0.7424541662136936,0.9,0.57,287,0,,i7057,287,649.75390625,641.6527217741935,-1,1.0,4329511
1744560335,1744560650,315,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 5000 n_reference_samples 1 n_recent_samples 1 threshold 0.9287986901149023 stability_offset 0.9,5000,1,1,0.9287986901149023,0.9,0.56,296,0,,i7055,296,634.21875,536.1563720703125,-1,1.0,4329533
1744560297,1744560721,424,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2567 n_reference_samples 552 n_recent_samples 119 threshold 0.8534674348963335 stability_offset 0.9,2567,552,119,0.8534674348963335,0.9,0.56,402,0,,i7057,402,641.1640625,640.250363372093,-1,1.0,4329510
1744560317,1744560722,405,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4988 n_reference_samples 243 n_recent_samples 1714 threshold 0.7204841014544625 stability_offset 0.9,4988,243,1714,0.7204841014544625,0.9,0.55,395,0,,i7056,395,636.62109375,636.4533110119048,-1,1.0,4329529
1744560297,1744560781,484,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4292 n_reference_samples 144 n_recent_samples 178 threshold 0.6457680533313669 stability_offset 0.9,4292,144,178,0.6457680533313669,0.9,0.56,464,0,,i7057,464,650.70703125,643.7094228316327,-1,1.0,4329515
1744560317,1744560840,523,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2915 n_reference_samples 28 n_recent_samples 288 threshold 0.9374026948597193 stability_offset 0.9,2915,28,288,0.9374026948597192,0.9,0.55,511,0,,i7056,511,642.625,641.6238425925926,-1,1.0,4329526
1744560287,1744560878,591,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4099 n_reference_samples 1 n_recent_samples 286 threshold 0.8824182865653084 stability_offset 0.9,4099,1,286,0.8824182865653084,0.9,0.57,582,0,,i7059,582,647.51953125,642.5328509221312,-1,1.0,4329508
1744560317,1744560915,598,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4151 n_reference_samples 118 n_recent_samples 244 threshold 0.8602604438396668 stability_offset 0.9,4151,118,244,0.8602604438396668,0.9,0.57,584,0,,i7059,584,651.66796875,645.3149974385246,-1,1.0,4329525
