start_time,end_time,run_time,program_string,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744591584,1744591603,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1 significance 0.001 gamma 0.999 max_node_size 1 max_tree_depth 5000 max_time_stationary 1202,1,0.001,0.999,1,5000,1202,0.91,1,0,,i7109,1,752.3515625,752.2421875,-1,0.0,4337116
1744591584,1744591604,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4249 significance 0.31612538548828395 gamma 0.999 max_node_size 1873 max_tree_depth 5000 max_time_stationary 3454,4249,0.3161253854882839,0.999,1873,5000,3454,0.91,8,0,,i7110,8,754.52734375,754.3372395833334,-1,0.0,4337115
1744591539,1744591609,70,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4486 significance 0.001 gamma 0.999 max_node_size 3256 max_tree_depth 1 max_time_stationary 1,4486,0.001,0.999,3256,1,1,0.92,53,0,,i7113,53,754.04296875,750.1015625,-1,0.4850187265917603,4337093
1744591558,1744591622,64,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3902 significance 0.001 gamma 0.001 max_node_size 2013 max_tree_depth 1 max_time_stationary 1,3902,0.001,0.001,2013,1,1,0.92,51,0,,i7113,51,752.37109375,748.482421875,-1,0.4850187265917603,4337105
1744591554,1744591623,69,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 5000 significance 0.001 gamma 0.001 max_node_size 2754 max_tree_depth 1 max_time_stationary 1,5000,0.001,0.001,2754,1,1,0.92,58,0,,i7113,58,752.33984375,747.34912109375,-1,0.4850187265917603,4337097
1744591539,1744591640,101,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2692 significance 0.3566896157007702 gamma 0.001 max_node_size 5000 max_tree_depth 1 max_time_stationary 5000,2692,0.3566896157007702,0.001,5000,1,5000,0.91,83,0,,i7114,83,752.33203125,745.7265625,-1,0.602996254681648,4337090
1744591578,1744591641,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4350 significance 0.001 gamma 0.999 max_node_size 997 max_tree_depth 1 max_time_stationary 1,4350,0.001,0.999,997,1,1,0.92,50,0,,i7114,50,752.75,748.9380580357143,-1,0.4850187265917603,4337108
1744591584,1744591647,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 708 significance 0.001 gamma 0.001 max_node_size 470 max_tree_depth 5000 max_time_stationary 2636,708,0.001,0.001,470,5000,2636,0.91,54,0,,i7113,54,752.54296875,740.34716796875,-1,1.0,4337110
1744591554,1744591680,126,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2387 significance 0.999 gamma 0.001 max_node_size 4761 max_tree_depth 1 max_time_stationary 3163,2387,0.999,0.001,4761,1,3163,0.92,105,0,,i7112,105,753.015625,745.9453125,-1,1.0,4337101
1744591555,1744591725,170,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Ozone 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 5000 significance 0.001 gamma 0.001 max_node_size 5000 max_tree_depth 4498 max_time_stationary 1602,5000,0.001,0.001,5000,4498,1602,0.91,158,0,,i7130,158,753.87109375,739.0151909722222,-1,1.0,4337096
