start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1747597354,1747599184,1830,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3627 n_samples 176 n_permutations 859 update_interval 206 n_consecutive_deviations 3,3627,176,859,206,3,0.78,1799.0,0,,i7090,5115327,1799.0,1450.84375,1337.86276614011,-1.0,0.9999827292007764
1747595208,1747599238,4030,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1319 n_samples 3239 n_permutations 833 update_interval 167 n_consecutive_deviations 4,1319,3239,833,167,4,0.8,4012.0,0,,i7140,5113157,4012.0,1506.98046875,1448.0925383839951,-1.0,0.9952937072115948
1747599379,1747599687,308,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 68 n_samples 363 n_permutations 279 update_interval 250 n_consecutive_deviations 4,68,363,279,250,4,0.67,296.0,0,,i7129,5116935,296.0,1300.30078125,1147.316650390625,-1.0,0.2427998038037208
1747594975,1747599783,4808,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3029 n_samples 826 n_permutations 481 update_interval 42 n_consecutive_deviations 9,3029,826,481,42,9,0.84,4776.0,0,,i7131,5112845,4776.0,1356.3984375,1244.371248372396,-1.0,0.9985026217073222
1747594683,1747600240,5557,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 3930 n_samples 4195 n_permutations 619 update_interval 194 n_consecutive_deviations 8,3930,4195,619,194,8,0.79,5526.0,0,,i7099,5112611,5526.0,1529.1328125,1423.3979448198197,-1.0,0.9981502974031626
1747598383,1747600791,2408,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2832 n_samples 3373 n_permutations 715 update_interval 226 n_consecutive_deviations 1,2832,3373,715,226,1,0.79,2391.0,0,,i7091,5116182,2391.0,2364.47265625,1816.7772140819504,-1.0,0.989119396489192
1747599042,1747601838,2796,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 515 n_samples 4370 n_permutations 993 update_interval 137 n_consecutive_deviations 10,515,4370,993,137,10,0.8,2781.0,0,,i7087,5116717,2781.0,2311.44140625,1748.3193638392856,-1.0,0.9631752018956428
1747599999,1747602026,2027,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2693 n_samples 1907 n_permutations 49 update_interval 145 n_consecutive_deviations 8,2693,1907,49,145,8,0.8,2013.0,0,,i7168,5117383,2013.0,1756.62890625,1536.4037224264705,-1.0,0.9981900202413768
1747598060,1747602618,4558,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1415 n_samples 688 n_permutations 99 update_interval 103 n_consecutive_deviations 6,1415,688,99,103,6,0.82,4538.0,0,,i7127,5115907,4538.0,1398.3671875,1274.8373166803729,-1.0,0.9982193806000568
1747597704,1747603157,5453,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 1900 n_samples 2645 n_permutations 455 update_interval 82 n_consecutive_deviations 7,1900,2645,455,82,7,0.82,5434.0,0,,i7104,5115636,5434.0,1333.9453125,1229.212836869266,-1.0,0.9965043902371626
1747600601,1747603229,2628,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 2347 n_samples 1452 n_permutations 809 update_interval 39 n_consecutive_deviations 1,2347,1452,809,39,1,0.84,2611.0,0,,i7121,5117850,2611.0,1329.84765625,1305.8138070342206,-1.0,0.9999930916803106
1747599711,1747603476,3765,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier IBDD recent_samples_size 4297 n_samples 3069 n_permutations 910 update_interval 126 n_consecutive_deviations 8,4297,3069,910,126,8,0.8,3748.0,0,,i7085,5117175,3748.0,1379.671875,1323.7745254476126,-1.0,0.9999447334424848
