start_time,end_time,run_time,program_string,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1744527669,1744527738,69,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4053 feature_id 0 batch_size 3096 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'tstat\'\) significance 0.08036024527077273 subsets 26,4053,0,3096,str\(\'KL\'\),1,str\(\'tstat\'\),0.0803602452707727,26,0.16,59.0,0,,i7177,59.0,689.5390625,689.24951171875,-1.0,0.0522492211838006,4307107
1744527639,1744527740,101,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4465 feature_id 26 batch_size 1428 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.3496717923525416 subsets 46,4465,26,1428,str\(\'KL\'\),3,str\(\'stdev\'\),0.3496717923525416,46,0.21,86.0,0,,i7183,86.0,689.26171875,686.2496448863636,-1.0,0.2242118380062305,4307086
1744527639,1744527740,101,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2956 feature_id 26 batch_size 2625 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.999 subsets 45,2956,26,2625,str\(\'H\'\),3,str\(\'tstat\'\),0.999,45,0.21,86.0,0,,i7183,86.0,688.6953125,685.6708096590909,-1.0,0.1962616822429906,4307085
1744527639,1744527741,102,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier CDBD recent_samples_size 2652 feature_id 26 batch_size 1090 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.4129438916073492 subsets 40,2652,26,1090,str\(\'H\'\),3,str\(\'stdev\'\),0.4129438916073492,40,0.21,91.0,0,,i7001,91.0,688.48828125,688.4397786458334,-1.0,0.2716510903426791,4307084
1744527640,1744527741,101,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier CDBD recent_samples_size 3150 feature_id 26 batch_size 3401 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.6472241460070132 subsets 1,3150,26,3401,str\(\'KL\'\),3,str\(\'tstat\'\),0.6472241460070132,1,0.21,90.0,0,,i7183,90.0,687.64453125,684.6104403409091,-1.0,0.2542803738317757,4307088
1744527641,1744527741,100,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1519 feature_id 26 batch_size 194 divergence str\(\'KL\'\) detect_batch 2 statistic str\(\'stdev\'\) significance 0.7414531668711731 subsets 13,1519,26,194,str\(\'KL\'\),2,str\(\'stdev\'\),0.7414531668711731,13,0.22,91.0,0,,i7170,91.0,688.3203125,688.2522786458334,-1.0,0.1861433021806853,4307091
1744527641,1744527742,101,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1571 feature_id 26 batch_size 1631 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.1863293119733199 subsets 42,1571,26,1631,str\(\'H\'\),3,str\(\'stdev\'\),0.1863293119733199,42,0.22,89.0,0,,i7153,89.0,687.53515625,686.8984375,-1.0,0.259626168224299,4307094
1744527668,1744527744,76,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier CDBD recent_samples_size 668 feature_id 0 batch_size 2869 divergence str\(\'H\'\) detect_batch 3 statistic str\(\'tstat\'\) significance 0.9665691589516624 subsets 1,668,0,2869,str\(\'H\'\),3,str\(\'tstat\'\),0.9665691589516624,1,0.17,67.0,0,,i7182,67.0,688.64453125,688.5551215277778,-1.0,0.2502554517133956,4307101
1744527644,1744527745,101,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier CDBD recent_samples_size 1001 feature_id 26 batch_size 3252 divergence str\(\'KL\'\) detect_batch 3 statistic str\(\'stdev\'\) significance 0.43140610589258405 subsets 43,1001,26,3252,str\(\'KL\'\),3,str\(\'stdev\'\),0.431406105892584,43,0.21,88.0,0,,i7001,88.0,687.984375,687.9204545454545,-1.0,0.2431401869158878,4307083
1744527641,1744527748,107,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 RialtoBridgeTimelapse 2000 HoeffdingTreeClassifier CDBD recent_samples_size 4930 feature_id 26 batch_size 3855 divergence str\(\'KL\'\) detect_batch 1 statistic str\(\'stdev\'\) significance 0.6500079178087897 subsets 16,4930,26,3855,str\(\'KL\'\),1,str\(\'stdev\'\),0.6500079178087897,16,0.22,97.0,0,,i7164,97.0,687.97265625,687.9254557291666,-1.0,0.2633146417445483,4307093
