start_time,end_time,run_time,program_string,recent_samples_size,max_window_size,min_window_size,min_p_value,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS
1745704750,1745704763,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 2527 min_p_value 0.0001,1,1,2527,0.0001,,,1,,i7181,4777811,,,,,
1745705679,1745705692,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 2179 min_p_value 0.0001,5000,1,2179,0.0001,,,1,,i7180,4778043,,,,,
1745706537,1745706550,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 2223 min_p_value 0.0001,1,1,2223,0.0001,,,1,,i7183,4778240,,,,,
1745707436,1745707450,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 5000 min_p_value 0.999,1,1,5000,0.999,,,1,,i7179,4778471,,,,,
1745708396,1745708434,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 2310 min_p_value 0.0001,1,1,2310,0.0001,,,1,,i7174,4778742,,,,,
1745709816,1745709829,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 2054 min_p_value 0.0001,5000,1,2054,0.0001,,,1,,i7171,4779150,,,,,
1745711229,1745711242,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 2222 min_p_value 0.0001,5000,1,2222,0.0001,,,1,,i7168,4779556,,,,,
1745712437,1745712450,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 2480 min_p_value 0.0001,1,1,2480,0.0001,,,1,,i7184,4779882,,,,,
1745713478,1745713492,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 2033 min_p_value 0.0001,1,1,2033,0.0001,,,1,,i7184,4780141,,,,,
1745714359,1745714372,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 2182 min_p_value 0.0001,5000,1,2182,0.0001,,,1,,i7180,4780381,,,,,
1745714918,1745714931,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 2204 min_p_value 0.0001,1,1,2204,0.0001,,,1,,i7179,4780506,,,,,
1745715960,1745715973,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 2073 min_p_value 0.0001,5000,1,2073,0.0001,,,1,,i7176,4780773,,,,,
1745716937,1745716950,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 2100 min_p_value 0.0001,1,1,2100,0.0001,,,1,,i7176,4781007,,,,,
1745717757,1745717771,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 5000 min_p_value 0.999,1,1,5000,0.999,,,1,,i7174,4781207,,,,,
1745719810,1745719823,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 2187 min_p_value 0.0001,5000,1,2187,0.0001,,,1,,i7172,4781723,,,,,
1745720598,1745720611,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 1950 min_p_value 0.0001,1,1,1950,0.0001,,,1,,i7171,4781942,,,,,
1745722678,1745722691,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 2213 min_p_value 0.0001,5000,1,2213,0.0001,,,1,,i7168,4782489,,,,,
1745723558,1745723571,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 5000 min_p_value 0.999,1,1,5000,0.999,,,1,,i7167,4782723,,,,,
1745725692,1745725706,14,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 2175 min_p_value 0.0001,5000,1,2175,0.0001,,,1,,i7185,4783270,,,,,
1745726419,1745726432,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 5000 min_p_value 0.0001,1,1,5000,0.0001,,,1,,i7181,4783446,,,,,
1745728320,1745728333,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 2176 min_p_value 0.0001,1,1,2176,0.0001,,,1,,i7186,4783890,,,,,
1745729100,1745729113,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 2530 min_p_value 0.0001,1,1,2530,0.0001,,,1,,i7180,4784065,,,,,
1745730253,1745730266,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 2019 min_p_value 0.0001,1,1,2019,0.0001,,,1,,i7185,4784342,,,,,
1745731259,1745731272,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 5000 max_window_size 1 min_window_size 2154 min_p_value 0.0001,5000,1,2154,0.0001,,,1,,i7179,4784584,,,,,
1745732444,1745732457,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 PokerHand 2000 HoeffdingTreeClassifier DAWIDD recent_samples_size 1 max_window_size 1 min_window_size 1993 min_p_value 0.0001,1,1,1993,0.0001,,,1,,i7175,4784886,,,,,
