start_time,end_time,run_time,program_string,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1746787605,1746788632,1027,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1491 n_subspaces 44 feature_percentage 0.001 alpha 0.6260400229775396 window_size 292 mode EDFSMode.RANDOM,1491,44,0.001,0.6260400229775396,292,EDFSMode.RANDOM,0.37,1015,0,,i7181,1015,890.91796875,765.9009164663462,-1,0.9998399316801356,5014406
1746797397,1746798885,1488,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 303 n_subspaces 1 feature_percentage 0.0277421118399344 alpha 0.999 window_size 278 mode EDFSMode.RANDOM,303,1,0.0277421118399344,0.999,278,EDFSMode.RANDOM,0.08,1463,0,,i7186,1463,516.85546875,433.1991138842282,-1,0.1501472403094413,5020245
1745669072,1745669926,854,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3781 n_subspaces 39 feature_percentage 0.39162700495310127 alpha 0.3005224710311741 window_size 840 mode EDFSMode.RANDOM,3781,39,0.3916270049531012,0.3005224710311741,840,EDFSMode.RANDOM,0.26,838,0,,i7184,838,897.7109375,767.9870548691861,-1,0.999908467974838,4764615
1745669252,1745670082,830,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2972 n_subspaces 35 feature_percentage 0.19392347945459187 alpha 0.8673447373211384 window_size 416 mode EDFSMode.RANDOM,2972,35,0.1939234794545918,0.8673447373211384,416,EDFSMode.RANDOM,0.3,815,0,,i7183,815,890.01953125,775.9747953869048,-1,0.9997641810386224,4764722
1745668912,1745670268,1356,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4423 n_subspaces 73 feature_percentage 0.005839963678270579 alpha 0.42907682394981383 window_size 926 mode EDFSMode.RANDOM,4423,73,0.0058399636782705,0.4290768239498138,926,EDFSMode.RANDOM,0.26,1342,0,,i7184,1342,907.5078125,773.9983747718978,-1,0.9995675900880284,4764493
1745669433,1745670531,1098,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1123 n_subspaces 94 feature_percentage 0.11829785518161953 alpha 0.6028554216194898 window_size 815 mode EDFSMode.RANDOM,1123,94,0.1182978551816195,0.6028554216194898,815,EDFSMode.RANDOM,0.23,1081,0,,i7181,1081,922.32421875,752.752709740991,-1,0.6886454748235078,4764826
1745669311,1745670542,1231,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3669 n_subspaces 57 feature_percentage 0.3302120134420693 alpha 0.9956032115425915 window_size 442 mode EDFSMode.RANDOM,3669,57,0.3302120134420693,0.9956032115425916,442,EDFSMode.RANDOM,0.34,1216,0,,i7183,1216,853.2421875,753.0554750504032,-1,0.9996703945300822,4764757
1745669732,1745671084,1352,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2427 n_subspaces 51 feature_percentage 0.23238478879630567 alpha 0.6859502435121685 window_size 301 mode EDFSMode.RANDOM,2427,51,0.2323847887963056,0.6859502435121685,301,EDFSMode.RANDOM,0.26,1332,0,,i7181,1332,936.7421875,767.0550608915441,-1,0.9999842186163516,4764962
1745669011,1745671569,2558,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1314 n_subspaces 1 feature_percentage 0.18166378866136074 alpha 0.16312180198915302 window_size 523 mode EDFSMode.RANDOM,1314,1,0.1816637886613607,0.163121801989153,523,EDFSMode.RANDOM,0.09,2540,0,,i7184,2540,733.7265625,600.1396179199219,-1,0.2589134382088941,4764570
1745668932,1745671624,2692,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 SensorStream 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1891 n_subspaces 86 feature_percentage 0.29473868354968724 alpha 0.0343255645595491 window_size 328 mode EDFSMode.RANDOM,1891,86,0.2947386835496872,0.0343255645595491,328,EDFSMode.RANDOM,0.38,2674,0,,i7184,2674,872.0390625,763.7467592592593,-1,0.9997641810386224,4764515
