start_time,end_time,run_time,program_string,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1747728974,1747731551,2577,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1864 n_samples 257 k_neighbors 24 n_permutations 67 significance_level 0.31792682663351296,1864,257,24,67,0.3179268266335129,0.73,2551.0,0,,i7161,2551.0,563.0546875,519.945844479572,-1.0,0.9991919098633172,5163414
1747738464,1747738470,6,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2134 n_samples 3634 k_neighbors 16 n_permutations 829 significance_level 0.17582839384675025,2134,3634,16,829,0.1758283938467502,,,1,,i7111,,,,,,5171663
1747738855,1747738868,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4789 n_samples 1963 k_neighbors 54 n_permutations 99 significance_level 0.6413213624600321,4789,1963,54,99,0.6413213624600321,,,1,,i7151,,,,,,5171791
1747739036,1747739049,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4245 n_samples 2528 k_neighbors 84 n_permutations 234 significance_level 0.6005608657505364,4245,2528,84,234,0.6005608657505364,,,1,,i7167,,,,,,5171852
1747739187,1747739200,13,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 1275 n_samples 1858 k_neighbors 46 n_permutations 964 significance_level 0.06853939724341035,1275,1858,46,964,0.0685393972434103,,,1,,i7167,,,,,,5171903
1747735754,1747747755,12001,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2866 n_samples 369 k_neighbors 71 n_permutations 185 significance_level 0.0025031086560338735,2866,369,71,185,0.0025031086560338,0.71,11990.0,0,,i7140,11990.0,487.4765625,405.5987369791667,-1.0,0.5770687107499076,5171384
1747758029,1747761934,3905,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3960 n_samples 111 k_neighbors 44 n_permutations 286 significance_level 0.19830569805949927,3960,111,44,286,0.1983056980594992,0.74,3795.0,0,,i7105,3795.0,575.93359375,524.7365837696335,-1.0,0.999861470262283,5177038
1747796919,1747801805,4886,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 943 n_samples 64 k_neighbors 56 n_permutations 897 significance_level 0.8094531936310232,943,64,56,897,0.8094531936310232,0.75,4870.0,0,,i7033,4870.0,543.33203125,496.03044318762784,-1.0,1.0,5178052
1747825134,1747828094,2960,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 617 n_samples 171 k_neighbors 48 n_permutations 169 significance_level 0.5778570326343179,617,171,48,169,0.5778570326343179,0.73,2952.0,0,,i7033,2952.0,552.66796875,511.8397911405724,-1.0,0.9997922053934244,5178374
1747932087,1747943287,11200,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4108 n_samples 450 k_neighbors 95 n_permutations 83 significance_level 0.7604891023393721,4108,450,95,83,0.7604891023393721,0.73,11191.0,0,,i7182,11191.0,495.8359375,431.4289481026786,-1.0,0.9996998522349464,5180084
1747949577,1747950610,1033,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2701 n_samples 9 k_neighbors 17 n_permutations 450 significance_level 0.9373501609191298,2701,9,17,450,0.9373501609191298,0.71,921.0,0,,i7079,921.0,483.0234375,386.5573886303192,-1.0,0.0,5180312
1748004610,1748011070,6460,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 4537 n_samples 124 k_neighbors 23 n_permutations 646 significance_level 0.8485803736429661,4537,124,23,646,0.8485803736429661,0.74,6444.0,0,,i7056,6444.0,512.35546875,470.2655645317337,-1.0,0.999722940524566,5184359
1748004008,1748012436,8428,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2203 n_samples 129 k_neighbors 79 n_permutations 873 significance_level 0.05490640988573432,2203,129,79,873,0.0549064098857343,0.73,8393.0,0,,i7179,8393.0,484.203125,434.7926668400713,-1.0,0.9996998522349464,5184335
