start_time,end_time,run_time,program_string,recent_samples_size,n_samples,n_clusters,threshold,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1745490584,1745490611,27,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4345 n_samples 3268 n_clusters 7 threshold 0.9735256793165554,4345,3268,7,0.9735256793165554,0.74,14.0,0,,i7186,14.0,527.890625,526.2958984375,-1.0,0.6842626400148524,4685652
1745490886,1745490926,40,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 5000 n_samples 2599 n_clusters 5 threshold 0.999,5000,2599,5,0.999,0.74,25.0,0,,i7186,25.0,532.78125,529.13125,-1.0,0.952905501578068,4685752
1745491216,1745491255,39,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 5000 n_samples 1443 n_clusters 7 threshold 0.999,5000,1443,7,0.999,0.74,28.0,0,,i7181,28.0,533.59375,529.96875,-1.0,0.9395383377684262,4685870
1745491621,1745491654,33,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4528 n_samples 2018 n_clusters 1 threshold 0.999,4528,2018,1,0.999,0.74,6.0,0,,i7186,6.0,528.578125,526.5885416666666,-1.0,0.9990717247354416,4685992
1745491940,1745491999,59,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 5000 n_samples 1531 n_clusters 5 threshold 0.8927467244814938,5000,1531,5,0.8927467244814938,0.75,45.0,0,,i7185,45.0,533.203125,530.6082589285714,-1.0,0.9972151742063248,4686111
1745492493,1745492525,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 4618 n_samples 3212 n_clusters 4 threshold 0.8741357666236832,4618,3212,4,0.8741357666236832,0.73,15.0,0,,i7183,15.0,532.9375,528.4306640625,-1.0,0.7022711801472863,4686290
1745492962,1745493019,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 2076 n_samples 2742 n_clusters 8 threshold 0.999,2076,2742,8,0.999,0.73,41.0,0,,i7180,41.0,533.32421875,530.7092633928571,-1.0,0.5138931864595582,4686451
1745493593,1745493639,46,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 1706 n_samples 4515 n_clusters 4 threshold 0.999,1706,4515,4,0.999,0.73,32.0,0,,i7185,32.0,533.3828125,530.3509114583334,-1.0,0.2111516801782288,4686654
1745494220,1745494251,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 3283 n_samples 477 n_clusters 6 threshold 0.804382501853411,3283,477,6,0.804382501853411,0.75,16.0,0,,i7181,16.0,531.91015625,528.3369140625,-1.0,0.9778451636858716,4686867
1745494779,1745494818,39,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 NOAAWeather 2000 HoeffdingTreeClassifier SPLL recent_samples_size 885 n_samples 492 n_clusters 6 threshold 0.7920527610862377,885,492,6,0.7920527610862377,0.75,20.0,0,,i7182,20.0,530.58984375,528.53828125,-1.0,0.9664583204406212,4687045
