start_time,end_time,run_time,program_string,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID
1745417722,1745417760,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2208 n_reference_samples 1801 n_recent_samples 4700 threshold 0.810047436401248 stability_offset 0.7,2208,1801,4700,0.810047436401248,0.7,,,-9,,i7178,4633394
1745417761,1745417788,27,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2570 n_reference_samples 1074 n_recent_samples 3573 threshold 0.5014930091444403 stability_offset 1e-08,2570,1074,3573,0.5014930091444403,1e-08,,,-9,,i7174,4633441
1745417800,1745417819,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 983 n_reference_samples 2809 n_recent_samples 514 threshold 0.444476902384311 stability_offset 0.01,983,2809,514,0.444476902384311,0.01,,,-9,,i7186,4633482
1745417860,1745417884,24,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 664 n_reference_samples 2378 n_recent_samples 3158 threshold 0.1477758106868714 stability_offset 1e-11,664,2378,3158,0.1477758106868714,1e-11,,,-9,,i7175,4633525
1745417947,1745417967,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1929 n_reference_samples 3326 n_recent_samples 1473 threshold 0.6086755658555776 stability_offset 0.001,1929,3326,1473,0.6086755658555776,0.001,,,-9,,i7180,4633602
1745417945,1745417985,40,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4129 n_reference_samples 380 n_recent_samples 4529 threshold 0.41526369796320795 stability_offset 0.6,4129,380,4529,0.4152636979632079,0.6,,,-9,,i7183,4633569
1745417941,1745417994,53,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2816 n_reference_samples 3761 n_recent_samples 256 threshold 0.827553981475532 stability_offset 0.2,2816,3761,256,0.827553981475532,0.2,,,-9,,i7176,4633549
1745417978,1745417998,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1284 n_reference_samples 660 n_recent_samples 1010 threshold 0.6751889610961079 stability_offset 1e-06,1284,660,1010,0.6751889610961079,1e-06,,,-9,,i7180,4633629
1745418091,1745418110,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3500 n_reference_samples 1466 n_recent_samples 2302 threshold 0.886276924284175 stability_offset 0.1,3500,1466,2302,0.886276924284175,0.1,,,-9,,i7180,4633701
1745418114,1745418133,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 58 n_reference_samples 4732 n_recent_samples 4246 threshold 0.07394711780175567 stability_offset 1e-10,58,4732,4246,0.0739471178017556,1e-10,,,-9,,i7180,4633721
1745418152,1745418175,23,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 126 n_reference_samples 910 n_recent_samples 2586 threshold 0.4623427487835288 stability_offset 0.8,126,910,2586,0.4623427487835288,0.8,,,-9,,i7180,4633750
1745418119,1745418176,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4696 n_reference_samples 2988 n_recent_samples 3108 threshold 0.3648306324314326 stability_offset 0.9,4696,2988,3108,0.3648306324314326,0.9,,,-9,,i7178,4633667
1745418211,1745418231,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 3588 n_reference_samples 2964 n_recent_samples 798 threshold 0.5310180008988827 stability_offset 1e-05,3588,2964,798,0.5310180008988827,1e-05,,,-9,,i7185,4633789
1745418249,1745418268,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 4784 n_reference_samples 1334 n_recent_samples 3791 threshold 0.2259340348113328 stability_offset 1e-09,4784,1334,3791,0.2259340348113328,1e-09,,,-9,,i7180,4633828
1745418277,1745418296,19,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1352 n_reference_samples 4951 n_recent_samples 2162 threshold 0.7809488213770092 stability_offset 0.01,1352,4951,2162,0.7809488213770092,0.01,,,-9,,i7180,4633850
1745418372,1745418393,21,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 1997 n_reference_samples 2324 n_recent_samples 438 threshold 0.9951238964926451 stability_offset 0.3,1997,2324,438,0.9951238964926452,0.3,,,-9,,i7180,4633927
1745418410,1745418439,29,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 2904 n_reference_samples 551 n_recent_samples 1565 threshold 0.6906047139428556 stability_offset 0.0001,2904,551,1565,0.6906047139428556,0.0001,,,-9,,i7185,4633960
1745418451,1745418476,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 ForestCovertype 2000 HoeffdingTreeClassifier UCDD recent_samples_size 732 n_reference_samples 3224 n_recent_samples 4936 threshold 0.255486808123067 stability_offset 0.7,732,3224,4936,0.255486808123067,0.7,,,-9,,i7180,4633993
