start_time,end_time,run_time,program_string,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1750636289,1750636341,52,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1568 batch_size 3998 detection_buf_size 3919 overlap 0.9297660671807826 alpha 0.9096436500810087 gamma 2.9991869737887757 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 1,1568,3998,3919,0.9297660671807826,0.9096436500810088,2.999186973788776,str\(\'ks-test\'\),1,str\(\'bounded\'\),0.52,15.0,0,,i7081,15.0,800.69140625,792.7373046875,-1.0,0.0,5535009
1750652695,1750653455,760,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3852 batch_size 1869 detection_buf_size 727 overlap 0.6767954638041556 alpha 0.45196932441927495 gamma 2.1934897932047024 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 2,3852,1869,727,0.6767954638041556,0.4519693244192749,2.1934897932047024,str\(\'t-test\'\),2,str\(\'bounded\'\),0.52,745.0,0,,i7186,745.0,806.671875,805.2160612824675,-1.0,0.0,5535646
1750781707,1750782938,1231,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2637 batch_size 1420 detection_buf_size 3613 overlap 0.6048883884269745 alpha 0.8915067722368986 gamma 2.0399042910411955 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 2,2637,1420,3613,0.6048883884269745,0.8915067722368986,2.0399042910411955,str\(\'ks-test\'\),2,str\(\'bounded\'\),0.52,781.0,0,,i7177,781.0,811.4453125,809.212744140625,-1.0,0.0,5540517
1750782300,1750784074,1774,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4182 batch_size 4167 detection_buf_size 625 overlap 0.7027165648397058 alpha 0.010511981382966041 gamma 1.0206883425563573 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 2,4182,4167,625,0.7027165648397058,0.010511981382966,1.020688342556357,str\(\'ks-test\'\),2,str\(\'bounded\'\),0.52,770.0,0,,i7162,770.0,820.078125,732.9930695564516,-1.0,0.0,5540536
1745471056,1745471076,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1853 batch_size 4339 detection_buf_size 3848 overlap 0.7190533845927566 alpha 0.6452354483474046 gamma 9.773770592759364 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 1272,1853,4339,3848,0.7190533845927566,0.6452354483474046,9.773770592759364,str\(\'t-test\'\),1272,str\(\'bounded\'\),,,-9,,i7176,,,,,,4675941
1745489015,1745489040,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 328 batch_size 4922 detection_buf_size 267 overlap 0.6451508080083876 alpha 0.310998217780143 gamma 7.483466246889905 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 2663,328,4922,267,0.6451508080083876,0.310998217780143,7.483466246889905,str\(\'ks-test\'\),2663,str\(\'full\'\),,,-9,,i7181,,,,,,4685136
1745514869,1745514892,23,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4771 batch_size 4642 detection_buf_size 4233 overlap 0.24731981846131385 alpha 0.03939471074938774 gamma 3.7426970992023127 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 294,4771,4642,4233,0.2473198184613138,0.0393947107493877,3.7426970992023127,str\(\'t-test\'\),294,str\(\'bounded\'\),,,-9,,i7180,,,,,,4696865
1745532232,1745532252,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1822 batch_size 4563 detection_buf_size 1319 overlap 0.89228093242459 alpha 0.5687408366668969 gamma 4.11155357989762 statistical_test str\(\'ks-test\'\) approximation_type str\(\'bounded\'\) subset_bound 828,1822,4563,1319,0.89228093242459,0.5687408366668969,4.11155357989762,str\(\'ks-test\'\),828,str\(\'bounded\'\),,,-9,,i7180,,,,,,4705454
1745542134,1745542154,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 1673 batch_size 4163 detection_buf_size 849 overlap 0.6189172913245857 alpha 0.27552708420157435 gamma 7.904545869842172 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 1677,1673,4163,849,0.6189172913245857,0.2755270842015743,7.904545869842172,str\(\'ks-test\'\),1677,str\(\'full\'\),,,-9,,i7180,,,,,,4710284
1745551136,1745551153,17,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 3048 batch_size 4926 detection_buf_size 4722 overlap 0.8801088553126901 alpha 0.32879325885139404 gamma 5.71827946437616 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 1965,3048,4926,4722,0.8801088553126901,0.328793258851394,5.71827946437616,str\(\'t-test\'\),1965,str\(\'full\'\),,,-9,,i7178,,,,,,4714565
1745560623,1745560651,28,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4269 batch_size 4479 detection_buf_size 1584 overlap 0.5259984850808979 alpha 0.41072843634523454 gamma 4.55621198820416 statistical_test str\(\'ks-test\'\) approximation_type str\(\'full\'\) subset_bound 4110,4269,4479,1584,0.5259984850808979,0.4107284363452345,4.55621198820416,str\(\'ks-test\'\),4110,str\(\'full\'\),,,-9,,i7181,,,,,,4718948
1745588584,1745588604,20,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 4917 batch_size 4963 detection_buf_size 1544 overlap 0.7125219572037459 alpha 0.6253813198562711 gamma 1.23676107238885 statistical_test str\(\'t-test\'\) approximation_type str\(\'full\'\) subset_bound 4431,4917,4963,1544,0.7125219572037459,0.6253813198562711,1.23676107238885,str\(\'t-test\'\),4431,str\(\'full\'\),,,-9,,i7176,,,,,,4731443
1745598607,1745598628,21,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 GasSensor 2000 HoeffdingTreeClassifier SlidShaps recent_samples_size 2882 batch_size 4680 detection_buf_size 1993 overlap 0.40711266526952383 alpha 0.9907993973493576 gamma 8.205739414813928 statistical_test str\(\'t-test\'\) approximation_type str\(\'bounded\'\) subset_bound 2683,2882,4680,1993,0.4071126652695238,0.9907993973493576,8.205739414813928,str\(\'t-test\'\),2683,str\(\'bounded\'\),,,-9,,i7181,,,,,,4735618
