start_time,end_time,run_time,program_string,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1746193644,1746193670,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1374 n_samples 1759 confidence 0.25 feature_proportion 0.999 n_clusters 1,1374,1759,0.999,1,0.25,0.71,14.0,0,,i7175,14.0,488.375,485.8408203125,-1.0,0.7296361285555966,4903364
1746195745,1746195783,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1209 n_samples 455 confidence 0.001 feature_proportion 0.999 n_clusters 1,1209,455,0.999,1,0.001,0.72,28.0,0,,i7179,28.0,495.8515625,488.9046875,-1.0,0.9979913188031032,4903800
1746197285,1746197311,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 5000 n_samples 5000 confidence 0.025 feature_proportion 0.999 n_clusters 50,5000,5000,0.999,50,0.025,0.69,14.0,0,,i7170,14.0,496.29296875,489.6513671875,-1.0,0.8080901366826746,4904087
1746198684,1746198710,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 5000 n_samples 3338 confidence 0.025 feature_proportion 0.999 n_clusters 25,5000,3338,0.999,25,0.025,0.71,12.0,0,,i7167,12.0,490.33984375,486.76171875,-1.0,0.8861285555966014,4904349
1746200684,1746200709,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1251 n_samples 1096 confidence 0.1 feature_proportion 0.999 n_clusters 1,1251,1096,0.999,1,0.1,0.72,16.0,0,,i7179,16.0,490.375,486.8583984375,-1.0,0.9651597709641668,4904790
1746202366,1746202399,33,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1279 n_samples 2110 confidence 0.05 feature_proportion 0.8832495853862901 n_clusters 1,1279,2110,0.8832495853862901,1,0.05,0.7,17.0,0,,i7181,17.0,486.69921875,485.1552734375,-1.0,0.5610685260435907,4905136
1746204036,1746204069,33,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 5000 n_samples 2333 confidence 0.005 feature_proportion 0.999 n_clusters 1,5000,2333,0.999,1,0.005,0.71,18.0,0,,i7181,18.0,491.4765625,486.958984375,-1.0,0.9695696342814925,4905432
1746206076,1746206109,33,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 909 n_samples 1475 confidence 0.05 feature_proportion 0.999 n_clusters 40,909,1475,0.999,40,0.05,0.73,18.0,0,,i7174,18.0,486.96875,485.333984375,-1.0,0.5876431473956409,4905843
1746208165,1746208191,26,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 945 n_samples 1090 confidence 0.25 feature_proportion 0.999 n_clusters 16,945,1090,0.999,16,0.25,0.74,15.0,0,,i7182,15.0,488.796875,486.1943359375,-1.0,0.8291004802364241,4906235
1746209486,1746209511,25,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python /data/horse/ws/s4122485-compPerfDD/benchmark/dfki/benchmarkdd/main.py 1 1 0 Electricity 2000 HoeffdingTreeClassifier CSDDM recent_samples_size 1236 n_samples 1353 confidence 0.25 feature_proportion 0.999 n_clusters 1,1236,1353,0.999,1,0.25,0.72,15.0,0,,i7169,15.0,491.7109375,487.193359375,-1.0,0.8846509050609531,4906528
