start_time,end_time,run_time,program_string,recent_samples_size,feature_id,p,big_windowSize,small_windowSize,ACCURACY,RUNTIME,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,REQLABELS,OO_Info_SLURM_JOB_ID
1749860372,1749860829,457,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 892 feature_id 0 p 279 big_windowSize 665 small_windowSize 3,892,0,279,665,3,0.04,434,0,,i7111,434.0,633.2265625,632.3956351902174,-1.0,0.0,5426418
1749860964,1749861008,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1901 feature_id 18 p 312 big_windowSize 949 small_windowSize 194,1901,18,312,949,194,0.04,33,0,,i7153,33.0,633.60546875,633.4830729166666,-1.0,0.0,5426426
1749861131,1749861200,69,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1599 feature_id 3 p 321 big_windowSize 1358 small_windowSize 139,1599,3,321,1358,139,0.04,58,0,,i7153,58.0,633.25,633.18115234375,-1.0,0.0,5426429
1749862101,1749862164,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1714 feature_id 19 p 386 big_windowSize 434 small_windowSize 36,1714,19,386,434,36,0.04,48,0,,i7098,48.0,632.37109375,632.2829241071429,-1.0,0.0,5426441
1749862329,1749862360,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1195 feature_id 1 p 68 big_windowSize 903 small_windowSize 85,1195,1,68,903,85,0.04,23,0,,i7098,23.0,633.4375,633.32578125,-1.0,0.0,5426444
1749862502,1749862653,151,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1972 feature_id 8 p 212 big_windowSize 1223 small_windowSize 18,1972,8,212,1223,18,0.06,140,0,,i7098,140.0,633.00390625,632.970458984375,-1.0,0.0,5426446
1749862628,1749862779,151,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1647 feature_id 11 p 89 big_windowSize 1263 small_windowSize 252,1647,11,89,1263,252,0.04,23,0,,i7150,23.0,501.9921875,501.834375,-1.0,0.0,5426448
1749863061,1749863174,113,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1645 feature_id 4 p 467 big_windowSize 1191 small_windowSize 64,1645,4,467,1191,64,0.04,100,0,,i7171,100.0,631.0390625,630.9930889423077,-1.0,0.0,5426456
1749863334,1749863646,312,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1423 feature_id 7 p 313 big_windowSize 934 small_windowSize 7,1423,7,313,934,7,0.04,293,0,,i7183,293.0,633.49609375,633.477783203125,-1.0,0.0,5426491
1749864002,1749864053,51,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 532 feature_id 2 p 311 big_windowSize 363 small_windowSize 44,532,2,311,363,44,0.04,39,0,,i7144,39.0,632.3046875,632.216796875,-1.0,0.0,5426651
1749864361,1749864405,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1769 feature_id 10 p 76 big_windowSize 1328 small_windowSize 217,1769,10,76,1328,217,0.04,22,0,,i7090,22.0,634.265625,634.14609375,-1.0,0.0,5426765
1749864599,1749864630,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1730 feature_id 11 p 59 big_windowSize 981 small_windowSize 147,1730,11,59,981,147,0.04,18,0,,i7174,18.0,634.14453125,633.994140625,-1.0,0.0,5426806
1749864923,1749864961,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 246 feature_id 15 p 460 big_windowSize 165 small_windowSize 32,246,15,460,165,32,0.04,26,0,,i7157,26.0,632.58203125,632.2578125,-1.0,0.0,5426810
1749865089,1749865202,113,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1957 feature_id 0 p 354 big_windowSize 1676 small_windowSize 160,1957,0,354,1676,160,0.04,77,0,,i7157,77.0,611.93359375,610.9578125,-1.0,0.0,5426814
1749865165,1749865203,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 726 feature_id 7 p 26 big_windowSize 633 small_windowSize 81,726,7,26,633,81,0.04,16,0,,i7161,16.0,487.73046875,487.4765625,-1.0,0.0,5426816
1749865314,1749865352,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1445 feature_id 19 p 163 big_windowSize 1145 small_windowSize 205,1445,19,163,1145,205,0.04,27,0,,i7176,27.0,633.8828125,633.76328125,-1.0,0.0,5426818
1749865493,1749865537,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1787 feature_id 14 p 121 big_windowSize 1709 small_windowSize 297,1787,14,121,1709,297,0.06,32,0,,i7176,32.0,631.12890625,631.0358072916666,-1.0,0.0,5426821
1749865912,1749866076,164,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1854 feature_id 16 p 418 big_windowSize 601 small_windowSize 10,1854,16,418,601,10,0.04,149,0,,i7139,149.0,632.53515625,632.4967830882352,-1.0,0.0,5426830
1749866782,1749866838,56,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1676 feature_id 17 p 193 big_windowSize 1449 small_windowSize 162,1676,17,193,1449,162,0.05,33,0,,i7053,33.0,632.75390625,632.6490885416666,-1.0,0.0,5426865
1749866963,1749867008,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 882 feature_id 11 p 428 big_windowSize 485 small_windowSize 83,882,11,428,485,83,0.04,32,0,,i7052,32.0,633.7265625,633.619140625,-1.0,0.0,5426920
1749867116,1749867179,63,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1568 feature_id 8 p 461 big_windowSize 1421 small_windowSize 291,1568,8,461,1421,291,0.06,52,0,,i7049,52.0,632.61328125,632.52392578125,-1.0,0.0,5426932
1749867225,1749867306,81,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1799 feature_id 11 p 334 big_windowSize 1070 small_windowSize 57,1799,11,334,1070,57,0.04,73,0,,i7048,73.0,632.37109375,632.317578125,-1.0,0.0,5426935
1749867600,1749867638,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1510 feature_id 1 p 8 big_windowSize 281 small_windowSize 12,1510,1,8,281,12,0.04,28,0,,i7046,28.0,633.62890625,633.5234375,-1.0,0.0,5426946
1749867923,1749867980,57,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1022 feature_id 20 p 446 big_windowSize 812 small_windowSize 123,1022,20,446,812,123,0.04,45,0,,i7046,45.0,633.1640625,633.0775669642857,-1.0,0.0,5426954
1749868233,1749868377,144,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1477 feature_id 0 p 436 big_windowSize 1403 small_windowSize 52,1477,0,436,1403,52,0.04,129,0,,i7164,129.0,632.6640625,632.6283854166667,-1.0,0.0,5426960
1749868413,1749868451,38,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1626 feature_id 2 p 238 big_windowSize 1583 small_windowSize 335,1626,2,238,1583,335,0.04,27,0,,i7164,27.0,633.18359375,633.0625,-1.0,0.0,5426964
1749868506,1749868594,88,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1989 feature_id 18 p 111 big_windowSize 1934 small_windowSize 70,1989,18,111,1934,70,0.04,67,0,,i7168,67.0,633.65234375,633.5811631944445,-1.0,0.0,5426965
1749868924,1749868974,50,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1700 feature_id 7 p 285 big_windowSize 723 small_windowSize 113,1700,7,285,723,113,0.04,37,0,,i7174,37.0,633.609375,633.5091145833334,-1.0,0.0,5426970
1749868705,1749869032,327,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1204 feature_id 10 p 231 big_windowSize 192 small_windowSize 1,1204,10,231,192,1,0.04,305,0,,i7154,305.0,632.8046875,632.7781723484849,-1.0,0.0,5426968
1749869580,1749869624,44,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 813 feature_id 20 p 143 big_windowSize 512 small_windowSize 42,813,20,143,512,42,0.04,31,0,,i7174,31.0,633.40234375,633.3046875,-1.0,0.0,5426975
1749869713,1749869745,32,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1109 feature_id 5 p 46 big_windowSize 1023 small_windowSize 166,1109,5,46,1023,166,0.06,18,0,,i7154,18.0,632.65625,632.5224609375,-1.0,0.0,5426978
1749869928,1749870053,125,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1613 feature_id 13 p 471 big_windowSize 1554 small_windowSize 215,1613,13,471,1554,215,0.05,115,0,,i7154,115.0,633.08203125,633.0373883928571,-1.0,0.0,5426980
1749870154,1749870254,100,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1739 feature_id 16 p 320 big_windowSize 1571 small_windowSize 86,1739,16,320,1571,86,0.04,90,0,,i7154,90.0,632.32421875,632.2770182291666,-1.0,0.0,5426981
1749870347,1749870378,31,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1403 feature_id 17 p 12 big_windowSize 1376 small_windowSize 302,1403,17,12,1376,302,0.05,10,0,,i7184,10.0,632.34375,632.1953125,-1.0,0.0,5426988
1749870455,1749870524,69,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1228 feature_id 3 p 134 big_windowSize 1102 small_windowSize 37,1228,3,134,1102,37,0.04,58,0,,i7184,58.0,633.51953125,633.44580078125,-1.0,0.0,5426999
1749870654,1749870699,45,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main.py 1 1 0 OutdoorObjects 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 1950 feature_id 5 p 21 big_windowSize 766 small_windowSize 97,1950,5,21,766,97,0.06,18,0,,i7183,18.0,633.890625,633.740234375,-1.0,0.0005,5427040
