start_time,end_time,run_time,program_string,lr,epochs,width_height,val_split,VAL_LOSS,RAM_USAGE,RUNTIME,exit_code,signal,hostname
1739435722,1739435844,122,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.015494184195995332 --epochs=42 --validation_split=0.2 --width=20 --height=20,0.015494184195995332,42,20,0.2,0.668,663.37,122,0,None,arbeitsrechner
1739435850,1739435938,88,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.06950759422034025 --epochs=32 --validation_split=0.2 --width=10 --height=10,0.06950759422034025,32,10,0.2,1.5351,636.46,88,0,None,arbeitsrechner
1739435947,1739436088,141,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.07653132816776634 --epochs=47 --validation_split=0.2 --width=15 --height=15,0.07653132816776634,47,15,0.2,1.5287,654.93,141,0,None,arbeitsrechner
1739436096,1739436197,101,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.03347421800717711 --epochs=36 --validation_split=0.2 --width=5 --height=5,0.03347421800717711,36,5,0.2,0.7231,645.79,101,0,None,arbeitsrechner
1739436205,1739436315,110,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.045293118339031935 --epochs=50 --validation_split=0.2 --width=10 --height=10,0.045293118339031935,50,10,0.2,1.5242,638.57,110,0,None,arbeitsrechner
1739436321,1739436418,97,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.08971171183511616 --epochs=40 --validation_split=0.2 --width=20 --height=20,0.08971171183511616,40,20,0.2,1.5455,671.05,97,0,None,arbeitsrechner
1739436425,1739436585,160,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.05925690326839686 --epochs=45 --validation_split=0.2 --width=5 --height=5,0.05925690326839686,45,5,0.2,1.5282,636.58,160,0,None,arbeitsrechner
1739436596,1739436689,93,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.0007455902174115181 --epochs=34 --validation_split=0.2 --width=15 --height=15,0.0007455902174115181,34,15,0.2,0.1743,649.64,93,0,None,arbeitsrechner
1739436697,1739436813,116,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.008106894791126251 --epochs=46 --validation_split=0.2 --width=5 --height=5,0.008106894791126251,46,5,0.2,0.1766,643.82,116,0,None,arbeitsrechner
1739436822,1739436945,123,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.05101750269532204 --epochs=35 --validation_split=0.2 --width=15 --height=15,0.05101750269532204,35,15,0.2,1.5335,652.18,123,0,None,arbeitsrechner
