trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
220,220_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4232,2885,51,206,0.686918877389282034329198722844
221,221_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,458,2136,44,897,0.484382443742826573895854380680
222,222_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2378,4182,87,288,0.106906840426847338232363426869
223,223_0,COMPLETED,SOBOL,0.570000000000000062172489379009,7563.000000000000000000000000000000,0.930000000000000048849813083507,3564,800,18,597,0.808563300810754337355490406480
224,224_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3466,3107,44,822,0.417640416231006394998104269689
225,225_0,COMPLETED,SOBOL,0.550000000000000044408920985006,127.000000000000000000000000000000,0.000000000000000000000000000000,2476,1914,62,13,0.744926955835893744861664345080
226,226_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,322,4273,21,684,0.866563661022111797471723093622
227,227_0,COMPLETED,SOBOL,0.579999999999999960031971113494,6566.000000000000000000000000000000,0.940000000000000057731597280508,4369,709,76,493,0.040157302878797054845882996688
228,228_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4757,4814,65,370,0.209015267184004177591916118217
229,229_0,COMPLETED,SOBOL,0.570000000000000062172489379009,347.000000000000000000000000000000,1.000000000000000000000000000000,1178,168,33,562,0.879486131101846702051716420101
230,230_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1613,3512,98,140,0.505895644266158295287993951206
231,231_0,FAILED,SOBOL,,,,3074,1509,4,948,0.334548614153638457224815283553
232,232_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2806,3771,92,617,0.648000096235424316581941184268
233,233_0,COMPLETED,SOBOL,0.550000000000000044408920985006,8773.000000000000000000000000000000,0.800000000000000044408920985006,1258,1250,10,300,0.445343635851517316570635784956
234,234_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,913,2592,71,879,0.067976660376414657638299843256
235,235_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4404,2389,27,196,0.769513094022870047794526726648
236,236_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4012,3291,14,68,0.977354979751631658402288849175
237,237_0,COMPLETED,SOBOL,0.550000000000000044408920985006,12529.000000000000000000000000000000,0.029999999999999998889776975375,51,1690,83,752,0.182257843680679793019194789849
238,238_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2115,4645,50,424,0.307671290319412926717035361435
239,239_0,COMPLETED,SOBOL,0.579999999999999960031971113494,4746.000000000000000000000000000000,0.989999999999999991118215802999,3195,376,56,740,0.603892051996663181689939392527
240,240_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3342,4526,8,165,0.021908918656408787883904665250
241,241_0,COMPLETED,SOBOL,0.579999999999999960031971113494,7927.000000000000000000000000000000,0.979999999999999982236431605997,1970,495,89,973,0.817007958261296129975903568265
242,242_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,197,3166,32,332,0.693062132569029931694615243032
243,243_0,COMPLETED,SOBOL,0.550000000000000044408920985006,5633.000000000000000000000000000000,0.000000000000000000000000000000,3863,1816,75,523,0.396843274425715208941767286888
244,244_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4570,2789,85,647,0.355170392895117426057538523310
245,245_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,746,2193,16,455,0.557828756812959958288899997569
246,246_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1425,3975,52,846,0.928851242527365728030019909056
247,247_0,COMPLETED,SOBOL,0.550000000000000044408920985006,885.000000000000000000000000000000,0.920000000000000039968028886506,2642,1046,46,37,0.227316712414845828460485677169
248,248_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2925,3628,59,399,0.790257011234760331497284369107
249,249_0,FAILED,SOBOL,,,,1759,1392,40,715,0.119788050850853325379752334356
250,250_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1033,4923,79,107,0.494830945232883068207740961952
251,251_0,COMPLETED,SOBOL,0.579999999999999960031971113494,165.000000000000000000000000000000,1.000000000000000000000000000000,4904,59,23,790,0.666179878879338494002126935811
252,252_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4204,4079,38,917,0.585522153900936204173888199875
253,253_0,COMPLETED,SOBOL,0.560000000000000053290705182008,3213.000000000000000000000000000000,0.709999999999999964472863211995,488,903,68,233,0.258237517829984442041535430690
254,254_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2308,2920,2,593,0.130271566025912749475779150998
255,255_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3632,2101,95,277,0.956679827703163065955038746324
256,256_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3621,2925,62,947,0.512106378236785508839545855153
257,257_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2316,2096,44,139,0.340512853492051348336389082760
258,258_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,475,4064,77,561,0.218369655847549443139499203426
