trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
29,29_0,COMPLETED,SOBOL,0.359999999999999986677323704498,1669.000000000000000000000000000000,0.170000000000000012212453270877,472,35,1225,str\(\'H\'\),str\(\'tstat\'\),0.130550305482000111867435521162,23,2
30,30_0,COMPLETED,SOBOL,0.260000000000000008881784197001,1749.000000000000000000000000000000,0.179999999999999993338661852249,1756,23,3371,str\(\'KL\'\),str\(\'tstat\'\),0.362004538876935844093907235219,30,1
31,31_0,COMPLETED,SOBOL,0.080000000000000001665334536938,1580.000000000000000000000000000000,0.040000000000000000832667268469,2630,40,1661,str\(\'H\'\),str\(\'stdev\'\),0.514334041804075270398755037604,61,1
32,32_0,COMPLETED,SOBOL,0.470000000000000028865798640254,1969.000000000000000000000000000000,0.309999999999999997779553950750,2501,2,839,str\(\'H\'\),str\(\'stdev\'\),0.243120809420943273515547389252,36,1
33,33_0,COMPLETED,SOBOL,0.479999999999999982236431605997,1506.000000000000000000000000000000,0.050000000000000002775557561563,1862,34,4130,str\(\'KL\'\),str\(\'tstat\'\),0.878820285527035616190971722972,54,2
34,34_0,COMPLETED,SOBOL,0.020000000000000000416333634234,1428.000000000000000000000000000000,0.000000000000000000000000000000,597,20,1276,str\(\'H\'\),str\(\'tstat\'\),0.611304612975567596144799153990,98,3
35,35_0,COMPLETED,SOBOL,0.429999999999999993338661852249,1442.000000000000000000000000000000,0.260000000000000008881784197001,3785,43,3610,str\(\'KL\'\),str\(\'stdev\'\),0.265033495539799324181018391755,17,1
36,36_0,COMPLETED,SOBOL,0.479999999999999982236431605997,1628.000000000000000000000000000000,0.160000000000000003330669073875,4658,15,4985,str\(\'KL\'\),str\(\'tstat\'\),0.674230060523375862580053308193,65,1
37,37_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1553.000000000000000000000000000000,0.020000000000000000416333634234,962,48,130,str\(\'H\'\),str\(\'stdev\'\),0.451365343697369081343850893973,46,2
38,38_0,COMPLETED,SOBOL,0.470000000000000028865798640254,2016.000000000000000000000000000000,0.460000000000000019984014443253,2207,7,2901,str\(\'KL\'\),str\(\'stdev\'\),0.056176261277869343757629394531,3,2
39,39_0,COMPLETED,SOBOL,0.470000000000000028865798640254,1967.000000000000000000000000000000,0.170000000000000012212453270877,3433,29,2131,str\(\'H\'\),str\(\'tstat\'\),0.816020233277231499258164149069,84,1
40,40_0,COMPLETED,SOBOL,0.250000000000000000000000000000,1642.000000000000000000000000000000,0.179999999999999993338661852249,3619,26,2692,str\(\'H\'\),str\(\'tstat\'\),0.715161946855485397556151383469,25,3
41,41_0,COMPLETED,SOBOL,0.440000000000000002220446049250,1775.000000000000000000000000000000,0.179999999999999993338661852249,1993,43,2194,str\(\'KL\'\),str\(\'stdev\'\),0.406535495748743425092897041395,94,2
42,42_0,COMPLETED,SOBOL,0.470000000000000028865798640254,1964.000000000000000000000000000000,0.359999999999999986677323704498,777,4,4423,str\(\'H\'\),str\(\'stdev\'\),0.085416196037083863545902318037,62,1
43,43_0,COMPLETED,SOBOL,0.020000000000000000416333634234,1418.000000000000000000000000000000,0.010000000000000000208166817117,4854,38,546,str\(\'KL\'\),str\(\'tstat\'\),0.790678260134533017478020155977,30,1
