trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_clusters,threshold
0,0_0,FAILED,SOBOL,,,,2620,2967,4,0.584129418611526451954318872595
1,1_0,COMPLETED,SOBOL,0.650000000000000022204460492503,5132.000000000000000000000000000000,0.300000000000000044408920985006,1904,413,9,0.316704389780759820727240594351
2,2_0,FAILED,SOBOL,,,,1248,4143,3,0.837797830760478978717742393201
3,3_0,FAILED,SOBOL,,,,4234,1698,8,0.078141776040196425645589783926
4,4_0,FAILED,SOBOL,,,,4678,4742,10,0.173671310678124440896041846827
5,5_0,FAILED,SOBOL,,,,159,2192,5,0.909901525020599399873333368305
6,6_0,FAILED,SOBOL,,,,1695,3461,6,0.435555605798959744046072728452
7,7_0,COMPLETED,SOBOL,0.589999999999999968913755310496,9697.000000000000000000000000000000,0.100000000000000005551115123126,3475,1012,1,0.664098106130957654968938186357
8,8_0,FAILED,SOBOL,,,,3208,3763,6,0.953447342665866059974177915137
9,9_0,FAILED,SOBOL,,,,1316,1297,1,0.192987862782552838103455883356
10,10_0,FAILED,SOBOL,,,,586,2566,10,0.715912800835445506386633951479
11,11_0,COMPLETED,SOBOL,0.830000000000000071054273576010,9333.000000000000000000000000000000,1.000000000000000000000000000000,4895,33,4,0.445628552498295915640369457833
12,12_0,FAILED,SOBOL,,,,4011,3234,2,0.303357266189530516697914208635
13,13_0,COMPLETED,SOBOL,0.570000000000000062172489379009,14214.000000000000000000000000000000,0.029999999999999998889776975375,825,771,7,0.534614310013130311638462899282
14,14_0,FAILED,SOBOL,,,,2278,4501,3,0.058444388883188369554488872382
15,15_0,FAILED,SOBOL,,,,2891,1964,9,0.795607468696311159739309459837
16,16_0,FAILED,SOBOL,,,,3075,4686,1,0.403174615116789925028939478580
17,17_0,FAILED,SOBOL,,,,2384,2132,6,0.633616976158693390175358217675
18,18_0,FAILED,SOBOL,,,,716,3362,5,0.141762203084304927447334421231
19,19_0,FAILED,SOBOL,,,,3824,916,9,0.879922764422371939119216222025
20,20_0,FAILED,SOBOL,,,,4767,2711,7,0.870228750171139875391190798837
21,21_0,COMPLETED,SOBOL,0.780000000000000026645352591004,2421.000000000000000000000000000000,0.890000000000000013322676295502,379,160,2,0.108573821233585471324190052655
22,22_0,FAILED,SOBOL,,,,1519,3930,8,0.616057143287733199876754497382
23,23_0,RUNNING,SOBOL,,,,3333,1481,4,0.346663719089701782838375265783
24,24_0,FAILED,SOBOL,,,,3736,3607,9,0.028009220704436302296080896213
25,25_0,RUNNING,SOBOL,,,,1722,1140,4,0.763181099921464878299559586594
26,26_0,FAILED,SOBOL,,,,128,4910,8,0.273393386244773883841929773553
27,27_0,FAILED,SOBOL,,,,4412,2376,3,0.502689715757966060216688219953
28,28_0,FAILED,SOBOL,,,,4183,4328,5,0.746390391424298305089735094953
29,29_0,FAILED,SOBOL,,,,963,1865,10,0.478013558447360986658480896949
30,30_0,FAILED,SOBOL,,,,2186,3095,1,0.983422087997198102193863178400
31,31_0,COMPLETED,SOBOL,0.589999999999999968913755310496,11066.000000000000000000000000000000,0.089999999999999996669330926125,2667,558,7,0.224900509759783734375915287274
32,32_0,FAILED,SOBOL,,,,2767,4128,10,0.367269654257223021609490842820
33,33_0,FAILED,SOBOL,,,,2086,1596,4,0.595938754467293607675060229667
34,34_0,FAILED,SOBOL,,,,1023,2826,6,0.120895338771864771509889635581
35,35_0,COMPLETED,SOBOL,0.709999999999999964472863211995,5757.000000000000000000000000000000,0.520000000000000017763568394003,4122,359,1,0.857419693721458320290196297719
36,36_0,FAILED,SOBOL,,,,4469,3565,3,0.890538596583530295269781618117
37,37_0,FAILED,SOBOL,,,,72,1026,8,0.130658832011744385770413146020
38,38_0,FAILED,SOBOL,,,,1817,4795,2,0.652517225949093671033551800065
39,39_0,FAILED,SOBOL,,,,3641,2334,7,0.384761911673471346251318436771
40,40_0,FAILED,SOBOL,,,,3429,2580,3,0.235756190914660684887493857786
41,41_0,COMPLETED,SOBOL,0.800000000000000044408920985006,2915.000000000000000000000000000000,0.959999999999999964472863211995,1424,136,7,0.973053484741598362361969520862
42,42_0,FAILED,SOBOL,,,,435,3905,4,0.496179047856479871203561060611
43,43_0,FAILED,SOBOL,,,,4710,1350,9,0.727737846422940481971863846411
44,44_0,RUNNING,SOBOL,,,,3885,4399,6,0.523048195231705870256178059208
45,45_0,FAILED,SOBOL,,,,655,1949,2,0.252547851178795079718497618160
46,46_0,FAILED,SOBOL,,,,2484,3179,10,0.776229771140962809816699063958
47,47_0,FAILED,SOBOL,,,,2974,630,5,0.015447627384215591866967187684
48,48_0,FAILED,SOBOL,,,,2947,3347,8,0.684425891119986751220949372509
49,49_0,COMPLETED,SOBOL,0.570000000000000062172489379009,14135.000000000000000000000000000000,0.050000000000000002775557561563,2222,814,2,0.414740289334207756777317399610
50,50_0,FAILED,SOBOL,,,,921,4545,9,0.922919977638870459024644787860
51,51_0,FAILED,SOBOL,,,,3916,2077,4,0.161140411842614406090490319912
52,52_0,FAILED,SOBOL,,,,4995,4033,1,0.088967238593846559302491527887
53,53_0,FAILED,SOBOL,,,,486,1495,7,0.827459921989589952673327388766
54,54_0,FAILED,SOBOL,,,,1377,2764,5,0.334839184705167991484842104910
55,55_0,COMPLETED,SOBOL,0.729999999999999982236431605997,3468.000000000000000000000000000000,0.540000000000000035527136788005,3147,303,10,0.565507099647074906734189880808
56,56_0,FAILED,SOBOL,,,,3535,4924,5,0.806193082256242643524046798120
57,57_0,FAILED,SOBOL,,,,1633,2480,10,0.047371712295338513909470634644
58,58_0,FAILED,SOBOL,,,,259,3749,1,0.553483865318819878709177828568
59,59_0,FAILED,SOBOL,,,,4578,1194,6,0.284974781347438699263818762120
60,60_0,FAILED,SOBOL,,,,4329,2993,8,0.466203793181106440624006381768
61,61_0,COMPLETED,SOBOL,0.640000000000000013322676295502,8961.000000000000000000000000000000,0.160000000000000003330669073875,1152,543,3,0.695824630616232786550767741574
62,62_0,FAILED,SOBOL,,,,1961,4273,7,0.205279161719605335312266447545
63,63_0,FAILED,SOBOL,,,,2564,1724,2,0.940668980700895218660662067123
64,64_0,FAILED,SOBOL,,,,2524,4823,7,0.038039559101685882502863478294
