trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,0_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,2636,2290,0.801013673305511431088632434694,0.124587364599108699203533490163
1,1_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2202,3940,0.315857326474040744912485934037,0.638298414869233998736319790623
2,2_0,COMPLETED,SOBOL,0.890000000000000013322676295502,2.000000000000000000000000000000,0.760000000000000008881784197001,932,159,0.532158721493557140824748330488,0.470914249630644932143042069583
3,3_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4257,3528,0.085955925052985548973083496094,0.766069492386654005144919210579
4,4_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4715,695,0.466981690727174270083565943423,0.969313245968893122395115824474
5,5_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,142,3108,0.914983118537813444604012147465,0.268661374690011167665204538935
6,6_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1724,1851,0.198096051866188643808541769431,0.622240187717601700434499889525
7,7_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3406,4419,0.685112426472827773515916760516,0.139656792310997840411701531593
8,8_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3665,590,0.160074209768325093072860454413,0.317975181786343430445640478865
9,9_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1523,3179,0.707483886577188969546625685325,0.926954896105453340915403259714
10,10_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,371,1936,0.428929274974390872809948405120,0.213332156838849179569805869505
11,11_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4466,4367,0.937385156014934217694190010661,0.541868127601221161171451967675
12,12_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3988,1418,0.572074934910982824121106204984,0.712948433386161872782338377874
13,13_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1142,4768,0.061576829642057420710621329363,0.041291547926142813107475149081
14,14_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1982,1050,0.840960709473118184220652437943,0.818307201964780683844935538218
15,15_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2875,2681,0.291447419466450807767898822931,0.427581335006281759714141799122
16,16_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3085,1159,0.745122996594756892285715821345,0.563459406476467861146772975189
17,17_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2104,2654,0.137772817000746727877924513450,0.174680512692779316141766798864
18,18_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1030,1377,0.983064670687541330984515752789,0.965841803289949840660710833617
19,19_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3808,4902,0.399074782239273173622962076479,0.296131623320281478495274996021
20,20_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4578,2149,0.017835826341062784722302225759,0.467200091503560566152941646578
21,21_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,552,4091,0.599966170333325887753517235979,0.793784359999000987961892406020
22,22_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.780000000000000026645352591004,1314,329,0.255747296703979387633154374271,0.066051199551671740950453681762
23,23_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3544,3367,0.861298369044438016928211254708,0.673079419802874334699538394489
24,24_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3138,1570,0.356179233349859736268427923278,0.869292753349989677502662743791
