trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
260,260_0,FAILED,SOBOL,1880,218,301,0.867545877097174567005311018875,0.273232138888910403018428496580,1.107561340389773274495155419572,str\(\'t-test\'\),str\(\'full\'\),164
261,261_0,FAILED,SOBOL,3552,2968,3081,0.083154162900522354817667292082,0.840816099449992138126219742844,7.498147516726517025631437718403,str\(\'ks-test\'\),str\(\'bounded\'\),4934
262,262_0,FAILED,SOBOL,4126,1748,1613,0.604060136459767860195313460281,0.506126449614763274098550027702,9.205041487288660562171571655199,str\(\'t-test\'\),str\(\'bounded\'\),2924
263,263_0,FAILED,SOBOL,130,3862,3756,0.320249307196587340573756819140,0.075724216373637312504918384093,2.813707608208060317878107525758,str\(\'ks-test\'\),str\(\'full\'\),1903
264,264_0,FAILED,SOBOL,576,1020,1486,0.038611651912331582114923378413,0.747679137807339411203599865985,4.082049018422142516726580652175,str\(\'t-test\'\),str\(\'full\'\),416
265,265_0,FAILED,SOBOL,3925,3301,4351,0.760963153857737828467122653819,0.177173234065994611441396955342,7.963257325301879241408187226625,str\(\'ks-test\'\),str\(\'bounded\'\),4405
266,266_0,FAILED,SOBOL,3400,2001,350,0.302447642793878923583861251245,0.483658236449584388871869577997,6.232858266883530617974429333117,str\(\'t-test\'\),str\(\'bounded\'\),2671
267,267_0,FAILED,SOBOL,2414,4896,2563,0.523487302774563456608802880510,0.911138533946126649709640332730,2.351175815220922338255604699953,str\(\'ks-test\'\),str\(\'full\'\),2431
268,268_0,FAILED,SOBOL,1397,1474,4422,0.700029388366267046883706370863,0.749831189809367026910535969364,3.413530129516497257924356745207,str\(\'t-test\'\),str\(\'bounded\'\),3511
269,269_0,FAILED,SOBOL,2870,4213,2199,0.469216037111356842892462282180,0.323306483078747985970835543412,9.569144321049563473025045823306,str\(\'ks-test\'\),str\(\'full\'\),1397
270,270_0,FAILED,SOBOL,4766,493,3744,0.966746376000344742607239822973,0.017860735867172478769093757478,6.277163481810131173688205308281,str\(\'t-test\'\),str\(\'full\'\),904
271,271_0,FAILED,SOBOL,657,2617,889,0.238513909678906205202864043713,0.589352683199569571392828493117,0.119551207136362802607720823289,str\(\'ks-test\'\),str\(\'bounded\'\),4269
272,272_0,FAILED,SOBOL,830,345,4169,0.565221023963764279685051405977,0.380323824161663659459975406207,9.849735960450022531631475430913,str\(\'ks-test\'\),str\(\'full\'\),4676
273,273_0,FAILED,SOBOL,4999,2763,1402,0.359412498204037533788834934967,0.952059882991015959952108005382,3.731356959545053531002167801489,str\(\'t-test\'\),str\(\'bounded\'\),541
274,274_0,FAILED,SOBOL,2989,1328,2668,0.828633476685732617283974832390,0.644419435508549187652249656821,0.463322238425724231003499653525,str\(\'ks-test\'\),str\(\'bounded\'\),2238
275,275_0,FAILED,SOBOL,1497,4360,514,0.122238355390727526650351819626,0.218141699293628338329753546532,6.580042943188921356068021850660,str\(\'t-test\'\),str\(\'full\'\),2625
276,276_0,FAILED,SOBOL,2197,2168,2406,0.165958048034459348940572454012,0.121135677590966231442770606463,7.618268096905202568791537487414,str\(\'ks-test\'\),str\(\'bounded\'\),1438
277,277_0,FAILED,SOBOL,3241,4731,4570,0.878228423103690092332840322342,0.548368978546932339668273925781,3.775505429931916179242534781224,str\(\'t-test\'\),str\(\'full\'\),3699
278,278_0,FAILED,SOBOL,3810,1185,759,0.432367616796866083284101023310,0.853150392415002012391767038935,2.069356442923657724008990044240,str\(\'ks-test\'\),str\(\'full\'\),4149
279,279_0,FAILED,SOBOL,442,3134,3516,0.647955544432625152317939409841,0.282400343716144586192484666753,5.911376845533029111834366631228,str\(\'t-test\'\),str\(\'bounded\'\),638
280,280_0,FAILED,SOBOL,260,1601,1101,0.990019337879493810383735308278,0.891980638792738367293111423351,7.155601536393166206551086361287,str\(\'ks-test\'\),str\(\'bounded\'\),1652
281,281_0,FAILED,SOBOL,4236,4007,3331,0.215038699178025122238366861893,0.461821565281599732966100191334,0.803456828054971983199550322752,str\(\'t-test\'\),str\(\'full\'\),3131
