trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
2581,2581_0,ABANDONED,SOBOL,,,,2484,96,481,1162,735
2582,2582_0,COMPLETED,SOBOL,0.170000000000000012212453270877,50.000000000000000000000000000000,0.000000000000000000000000000000,547,63,17,147,25
2583,2583_0,ABANDONED,SOBOL,,,,2955,70,365,1548,1958
2584,2584_0,ABANDONED,SOBOL,,,,2732,0,32,1003,445
2585,2585_0,ABANDONED,SOBOL,,,,145,121,318,664,1510
2586,2586_0,ABANDONED,SOBOL,,,,1949,38,181,1647,1221
2587,2587_0,ABANDONED,SOBOL,,,,4669,95,466,50,797
2588,2588_0,ABANDONED,SOBOL,,,,4274,53,251,419,506
2589,2589_0,ABANDONED,SOBOL,,,,1689,76,99,1758,1446
2590,2590_0,ABANDONED,SOBOL,,,,990,19,401,805,1781
2591,2591_0,COMPLETED,SOBOL,0.170000000000000012212453270877,246.000000000000000000000000000000,0.000000000000000000000000000000,3713,106,247,1402,232
2592,2592_0,ABANDONED,SOBOL,,,,3643,51,67,1504,1355
2593,2593_0,ABANDONED,SOBOL,,,,1060,74,288,157,663
2594,2594_0,COMPLETED,SOBOL,0.170000000000000012212453270877,317.000000000000000000000000000000,0.000000000000000000000000000000,1620,21,214,1141,77
2595,2595_0,ABANDONED,SOBOL,,,,4344,108,437,552,1878
2596,2596_0,ABANDONED,SOBOL,,,,4602,6,347,918,1665
2597,2597_0,ABANDONED,SOBOL,,,,2015,127,7,1265,348
2598,2598_0,ABANDONED,SOBOL,,,,78,32,495,313,888
2599,2599_0,ABANDONED,SOBOL,,,,2799,89,156,1902,1064
2600,2600_0,ABANDONED,SOBOL,,,,2888,31,449,1415,582
2601,2601_0,ABANDONED,SOBOL,,,,614,102,172,763,1404
2602,2602_0,ABANDONED,SOBOL,,,,2417,57,332,1809,1865
2603,2603_0,ABANDONED,SOBOL,,,,4825,64,54,400,184
2604,2604_0,ABANDONED,SOBOL,,,,3805,42,229,7,392
2605,2605_0,ABANDONED,SOBOL,,,,1534,83,391,1658,1590
2606,2606_0,ABANDONED,SOBOL,,,,833,12,113,643,1176
2607,2607_0,ABANDONED,SOBOL,,,,3245,117,272,1053,869
2608,2608_0,ABANDONED,SOBOL,,,,3323,9,175,328,1972
2609,2609_0,ABANDONED,SOBOL,,,,755,112,461,1980,41
2610,2610_0,ABANDONED,SOBOL,,,,1299,47,43,965,689
2611,2611_0,ABANDONED,SOBOL,,,,4039,86,327,1375,1262
2612,2612_0,ABANDONED,SOBOL,,,,4904,60,393,1219,1038
2613,2613_0,ABANDONED,SOBOL,,,,2338,69,242,567,980
2614,2614_0,ABANDONED,SOBOL,,,,380,26,261,1614,254
2615,2615_0,ABANDONED,SOBOL,,,,3122,99,109,204,1701
2616,2616_0,ABANDONED,SOBOL,,,,2565,37,309,721,216
2617,2617_0,ABANDONED,SOBOL,,,,312,92,93,1069,1767
2618,2618_0,ABANDONED,SOBOL,,,,2094,3,410,116,1493
2619,2619_0,ABANDONED,SOBOL,,,,4523,122,195,1705,551
2620,2620_0,ABANDONED,SOBOL,,,,4109,16,27,1825,780
2621,2621_0,ABANDONED,SOBOL,,,,1854,105,374,478,1206
2622,2622_0,ABANDONED,SOBOL,,,,1138,54,128,1462,1558
2623,2623_0,ABANDONED,SOBOL,,,,3565,79,477,872,491
2624,2624_0,ABANDONED,SOBOL,,,,3537,33,141,1084,677
2625,2625_0,ABANDONED,SOBOL,,,,1127,88,491,737,1368
2626,2626_0,ABANDONED,SOBOL,,,,1825,7,10,1690,1891
2627,2627_0,ABANDONED,SOBOL,,,,4099,126,357,101,92
2628,2628_0,ABANDONED,SOBOL,,,,4456,20,423,494,367
2629,2629_0,ABANDONED,SOBOL,,,,2044,109,209,1841,1682
2630,2630_0,ABANDONED,SOBOL,,,,244,50,291,857,1081
2631,2631_0,ABANDONED,SOBOL,,,,2516,75,75,1447,906
2632,2632_0,ABANDONED,SOBOL,,,,3055,13,275,1995,1388
2633,2633_0,ABANDONED,SOBOL,,,,331,116,122,344,563
2634,2634_0,FAILED,SOBOL,,,,2270,43,376,1358,165
2635,2635_0,ABANDONED,SOBOL,,,,4854,82,225,948,1849
2636,2636_0,ABANDONED,SOBOL,,,,4010,56,57,583,1578
2637,2637_0,ABANDONED,SOBOL,,,,1289,65,341,1235,378
2638,2638_0,ABANDONED,SOBOL,,,,726,30,157,188,854
2639,2639_0,ABANDONED,SOBOL,,,,3312,103,443,1598,1163
2640,2640_0,COMPLETED,SOBOL,0.170000000000000012212453270877,187.000000000000000000000000000000,0.000000000000000000000000000000,3234,27,96,779,57
2641,2641_0,ABANDONED,SOBOL,,,,805,98,255,1431,1991
2642,2642_0,ABANDONED,SOBOL,,,,1523,61,243,385,1281
2643,2643_0,ABANDONED,SOBOL,,,,3776,68,405,1794,706
2644,2644_0,ABANDONED,SOBOL,,,,4776,46,315,1674,993
2645,2645_0,ABANDONED,SOBOL,,,,2349,87,36,22,1052
2646,2646_0,ABANDONED,SOBOL,,,,565,8,462,1038,1716
2647,2647_0,ABANDONED,SOBOL,,,,2820,113,185,628,266
2648,2648_0,ABANDONED,SOBOL,,,,2750,55,477,173,1752
2649,2649_0,ABANDONED,SOBOL,,,,10,78,139,1520,203
2650,2650_0,ABANDONED,SOBOL,,,,1966,17,361,536,539
2651,2651_0,ABANDONED,SOBOL,,,,4534,104,21,1125,1479
2652,2652_0,ABANDONED,SOBOL,,,,4333,2,197,1281,1188
2653,2653_0,ABANDONED,SOBOL,,,,1591,123,420,933,763
2654,2654_0,ABANDONED,SOBOL,,,,1049,36,80,1885,475
2655,2655_0,ABANDONED,SOBOL,,,,3615,93,301,296,1540
2656,2656_0,ABANDONED,SOBOL,,,,3704,4,387,679,920
2657,2657_0,ABANDONED,SOBOL,,,,960,125,233,1019,1097
2658,2658_0,ABANDONED,SOBOL,,,,1680,34,269,36,1636
2659,2659_0,COMPLETED,SOBOL,0.170000000000000012212453270877,154.000000000000000000000000000000,0.000000000000000000000000000000,4244,91,117,1632,320
2660,2660_0,COMPLETED,SOBOL,0.170000000000000012212453270877,282.000000000000000000000000000000,0.000000000000000000000000000000,4621,49,168,1774,107
2661,2661_0,ABANDONED,SOBOL,,,,1879,72,453,435,1908
2662,2662_0,ABANDONED,SOBOL,,,,97,23,50,1387,1321
2663,2663_0,ABANDONED,SOBOL,,,,2663,110,336,790,629
2664,2664_0,ABANDONED,SOBOL,,,,2907,40,3,276,1147
2665,2665_0,ABANDONED,SOBOL,,,,478,81,351,1936,840
2666,2666_0,ABANDONED,SOBOL,,,,2436,14,153,889,425
2667,2667_0,ABANDONED,SOBOL,,,,4690,119,499,1291,1623
2668,2668_0,ABANDONED,SOBOL,,,,3865,29,284,1177,1832
2669,2669_0,ABANDONED,SOBOL,,,,1434,100,71,517,150
2670,2670_0,ABANDONED,SOBOL,,,,894,59,434,1532,611
2671,2671_0,ABANDONED,SOBOL,,,,3146,66,218,130,1434
2672,2672_0,COMPLETED,SOBOL,0.170000000000000012212453270877,356.000000000000000000000000000000,0.000000000000000000000000000000,3380,62,370,1496,283
2673,2673_0,ABANDONED,SOBOL,,,,659,71,31,837,1731
2674,2674_0,ABANDONED,SOBOL,,,,1356,24,473,1852,1004
2675,2675_0,ABANDONED,SOBOL,,,,3943,97,132,450,947
2676,2676_0,ABANDONED,SOBOL,,,,4924,11,89,82,722
2677,2677_0,ABANDONED,SOBOL,,,,2201,114,313,1741,1295
2678,2678_0,ABANDONED,SOBOL,,,,400,45,191,695,1943
2679,2679_0,FAILED,SOBOL,,,,2985,84,413,1098,12
2680,2680_0,ABANDONED,SOBOL,,,,2585,18,238,1579,1524
2681,2681_0,ABANDONED,SOBOL,,,,175,107,397,240,457
2682,2682_0,ABANDONED,SOBOL,,,,2114,52,105,1192,810
2683,2683_0,ABANDONED,SOBOL,,,,4386,77,265,595,1236
2684,2684_0,ABANDONED,SOBOL,,,,4166,39,457,998,1464
2685,2685_0,ABANDONED,SOBOL,,,,1758,94,179,1338,523
2686,2686_0,ABANDONED,SOBOL,,,,1195,1,323,354,248
2687,2687_0,ABANDONED,SOBOL,,,,3470,120,47,1951,1799
2688,2688_0,COMPLETED,SOBOL,0.170000000000000012212453270877,192.000000000000000000000000000000,0.000000000000000000000000000000,3448,57,463,458,81
2689,2689_0,ABANDONED,SOBOL,,,,1177,64,188,1859,1906
2690,2690_0,ABANDONED,SOBOL,,,,1736,31,316,813,1366
2691,2691_0,ABANDONED,SOBOL,,,,4148,102,38,1473,682
2692,2692_0,ABANDONED,SOBOL,,,,4407,12,245,1120,891
2693,2693_0,ABANDONED,SOBOL,,,,2133,117,406,718,1091
2694,2694_0,ABANDONED,SOBOL,,,,195,42,98,1733,1677
2695,2695_0,ABANDONED,SOBOL,,,,2604,83,257,74,368
2696,2696_0,ABANDONED,SOBOL,,,,3005,21,82,619,1853
2697,2697_0,ABANDONED,SOBOL,,,,419,108,304,1216,164
2698,2698_0,ABANDONED,SOBOL,,,,2222,51,198,233,578
2699,2699_0,ABANDONED,SOBOL,,,,4943,74,422,1572,1377
2700,2700_0,ABANDONED,SOBOL,,,,3921,32,364,1959,1165
2701,2701_0,ABANDONED,SOBOL,,,,1338,89,22,362,849
2702,2702_0,ABANDONED,SOBOL,,,,638,6,480,1315,388
2703,2703_0,ABANDONED,SOBOL,,,,3362,127,140,975,1563
2704,2704_0,ABANDONED,SOBOL,,,,3128,3,293,1655,716
2705,2705_0,ABANDONED,SOBOL,,,,872,122,77,58,1266
2706,2706_0,ABANDONED,SOBOL,,,,1416,37,424,1011,1992
2707,2707_0,COMPLETED,SOBOL,0.170000000000000012212453270877,200.000000000000000000000000000000,0.000000000000000000000000000000,3843,92,211,671,53
2708,2708_0,ABANDONED,SOBOL,,,,4709,54,12,797,281
2709,2709_0,ABANDONED,SOBOL,,,,2456,79,358,1395,1705
2710,2710_0,ABANDONED,SOBOL,,,,497,16,144,411,1057
2711,2711_0,ABANDONED,SOBOL,,,,2927,105,492,1750,992
2712,2712_0,ABANDONED,SOBOL,,,,2682,47,159,1299,1474
2713,2713_0,ABANDONED,SOBOL,,,,117,86,445,897,540
2714,2714_0,ABANDONED,SOBOL,,,,1899,9,58,1912,188
2715,2715_0,ABANDONED,SOBOL,,,,4641,112,343,253,1762
2716,2716_0,ABANDONED,SOBOL,,,,4226,26,378,154,1538
2717,2717_0,ABANDONED,SOBOL,,,,1658,99,226,1556,479
2718,2718_0,ABANDONED,SOBOL,,,,943,60,278,510,753
2719,2719_0,ABANDONED,SOBOL,,,,3683,69,124,1170,1203
2720,2720_0,COMPLETED,SOBOL,0.170000000000000012212453270877,140.000000000000000000000000000000,0.000000000000000000000000000000,3596,28,190,1802,322
2721,2721_0,ABANDONED,SOBOL,,,,1029,101,411,392,1629
2722,2722_0,ABANDONED,SOBOL,,,,1572,58,87,1407,1106
2723,2723_0,ABANDONED,SOBOL,,,,4313,67,310,755,908
2724,2724_0,ABANDONED,SOBOL,,,,4551,41,470,651,637
2725,2725_0,ABANDONED,SOBOL,,,,1987,80,130,1061,1319
2726,2726_0,ABANDONED,SOBOL,,,,28,15,368,14,1920
2727,2727_0,FAILED,SOBOL,,,,2771,118,29,1666,98
2728,2728_0,ABANDONED,SOBOL,,,,2838,48,322,1149,1611
2729,2729_0,ABANDONED,SOBOL,,,,586,73,45,559,435
2730,2730_0,ABANDONED,SOBOL,,,,2366,22,456,1512,832
2731,2731_0,ABANDONED,SOBOL,,,,4797,111,177,165,1149
2732,2732_0,ABANDONED,SOBOL,,,,3757,5,102,305,1425
2733,2733_0,ABANDONED,SOBOL,,,,1503,124,264,1894,623
2734,2734_0,ABANDONED,SOBOL,,,,786,35,236,910,148
2735,2735_0,ABANDONED,SOBOL,,,,3214,90,396,1257,1839
2736,2736_0,ABANDONED,SOBOL,,,,3292,38,48,124,944
2737,2737_0,ABANDONED,SOBOL,,,,707,95,334,1713,1012
2738,2738_0,ABANDONED,SOBOL,,,,1269,0,166,729,1721
2739,2739_0,ABANDONED,SOBOL,,,,3991,121,450,1076,295
2740,2740_0,COMPLETED,SOBOL,0.170000000000000012212453270877,3498.000000000000000000000000000000,0.000000000000000000000000000000,4876,19,266,1454,5
2741,2741_0,ABANDONED,SOBOL,,,,2288,106,115,865,1946
2742,2742_0,ABANDONED,SOBOL,,,,352,53,384,1817,1283
2743,2743_0,ABANDONED,SOBOL,,,,3072,76,232,470,731
2744,2744_0,ABANDONED,SOBOL,,,,2537,10,432,957,1248
2745,2745_0,ABANDONED,SOBOL,,,,262,115,216,1367,800
2746,2746_0,ABANDONED,SOBOL,,,,2066,44,283,320,465
2747,2747_0,ABANDONED,SOBOL,,,,4473,85,68,1972,1522
2748,2748_0,ABANDONED,SOBOL,,,,4079,63,150,1621,1809
2749,2749_0,ABANDONED,SOBOL,,,,1806,70,497,212,236
2750,2750_0,ABANDONED,SOBOL,,,,1107,25,1,1227,525
2751,2751_0,ABANDONED,SOBOL,,,,3518,96,350,575,1457
2752,2752_0,ABANDONED,SOBOL,,,,3586,14,18,1351,1647
2753,2753_0,ABANDONED,SOBOL,,,,1155,119,368,941,338
2754,2754_0,ABANDONED,SOBOL,,,,1875,40,137,1987,925
2755,2755_0,ABANDONED,SOBOL,,,,4127,81,484,335,1125
2756,2756_0,ABANDONED,SOBOL,,,,4503,59,300,196,1334
2757,2757_0,ABANDONED,SOBOL,,,,2075,66,86,1606,650
2758,2758_0,ABANDONED,SOBOL,,,,292,29,418,590,110
2759,2759_0,ABANDONED,SOBOL,,,,2546,100,202,1242,1934
2760,2760_0,FAILED,SOBOL,,,,3102,34,402,1697,422
2761,2761_0,ABANDONED,SOBOL,,,,361,91,250,108,1596
2762,2762_0,ABANDONED,SOBOL,,,,2318,4,253,1093,1135
2763,2763_0,ABANDONED,SOBOL,,,,4885,125,102,745,820
2764,2764_0,ABANDONED,SOBOL,,,,4060,23,184,849,607
2765,2765_0,ABANDONED,SOBOL,,,,1317,110,468,1439,1407
2766,2766_0,ABANDONED,SOBOL,,,,776,49,34,486,1820
2767,2767_0,FAILED,SOBOL,,,,3341,72,320,1833,131
2768,2768_0,ABANDONED,SOBOL,,,,3262,52,223,544,1024
2769,2769_0,ABANDONED,SOBOL,,,,854,77,382,1133,959
2770,2770_0,ABANDONED,SOBOL,,,,1551,18,120,180,310
2771,2771_0,ABANDONED,SOBOL,,,,3826,107,282,1527,1734
2772,2772_0,ABANDONED,SOBOL,,,,4806,1,442,1878,1963
2773,2773_0,COMPLETED,SOBOL,0.170000000000000012212453270877,147.000000000000000000000000000000,0.000000000000000000000000000000,2396,120,163,289,23
2774,2774_0,ABANDONED,SOBOL,,,,595,39,339,1272,750
2775,2775_0,ABANDONED,SOBOL,,,,2868,94,62,925,1299
